Name of Organisation,Type of Assistance,Eligibility,How to Apply,Contact Information,Description,External URLs,Ethnicity,Amount/Benefits Provided,Contact,External_URLs
365 Cancer Prevention Society Financial Assistance,Financial aid,Low-income families,Contact organisation for details,Contact organisation,"Cancer treatment can place a heavy financial burden on patients and their family members. Besides being a place where one can find emotional support and be educated on how to improve one’s health and immunity, 365CPS also provides financial aid to low-income patients to help meet their daily needs. To find out more, please contact us at 6337 3368.",,All,Not specified,"6337 3368, enquiry@365cps.org.sg",https://www.365cps.org.sg
AMP Education Bursary (AMP Singapore),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The AMP Education Bursary offers monetary assistance to diploma and degree students from less privileged families of all races. Apart from students from local polytechnics and universities, the bursary also benefits full-time and part-time undergraduates from recognised private education institutions in Singapore.The bursary seeks to recognise the recipients’ academic achievements, alleviate their financial load and be a source of motivation for them to strive harder in their higher education. It also hopes to see students through their pursuit of higher levels of education and in future, give back to those in need in the community.",,All,Not specified,,
AMP-Salleh Marican Foundation STEM Study Award (AMP Singapore),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"AMP started a collaboration with Second Chance Properties Ltd in 2017 to introduce the AMP-Salleh Marican Foundation STEM Study Award to encourage Malay/Muslim students who are pursuing their undergraduate studies in science, technology, engineering and mathematics courses, and prepare them to be part of the STEM-related workforce in the future.",,Malay,Not specified,"6745 5745, admin@amp.org.sg",https://www.amp.org.sg
"Awards, Bursaries & Scholarships (Eurasian Association)",General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"What schemes are available?The Eurasian Association is committed to advance the academic achievement of all Eurasian students and encourage them to strive towards their goals. There are numerous programmes for students from primary to university levels. We work together with donors, benefactors and other organisations to ensure that Eurasian youth are supported in their academic journey.The annual Eurasian Community Fund (ECF) Education Awards Ceremony was inaugurated in 1996. It signals to the Eurasian community the importance of achieving academic excellence and encourages students to excel in their studies. There are several awards, bursaries and scholarships for primary, secondary and tertiary students in different award categories, which help to defray education costs for students and are also presented to those who achieve outstanding academic results.",,Eurasian,Not specified,"6447 1578, shareen@eurasians.org",https://www.eurasians.sg
Bless Community Services Bursary,General assistance,Low-income families,Contact organisation for details,Contact organisation,"The purpose of the bursary is to support students ages 10 to 15 from low-income to lower middle-income families with educational expenses such as textbooks, workbooks, stationery, and uniforms to encourage them to continue their hard work and efforts.Applications for bursary are now close. We will reopen again in September 2024.",,All,Not specified,,
Brain Tumour Society Singapore Tuition Grant,School fees,Contact organisation for details,Contact organisation for details,Contact organisation,"Going back to school after a brain tumour treatment can be challenging to many of our young beneficiaries. With that in mind, the BTSS Tuition Grant aims to help school-going members cope with the rigors of academic work. The value of this grant is $3300 for one year. Members will be accessed based on the financial situation of the family.",,All,Not specified,,
Brain Tumour Society Singapore Welfare Grant,General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"A BTSS Welfare Grant provides temporary financial assistance for member adults, young people or children with brain tumours, to cover a wide range of practical needs. It does not cover treatment or medication, but is designed to ease hardship caused by additional costs of travel to appointments, care or retraining, for example. This can include things such as household bills, extra clothing, or a much needed break. Every month we aim to give at least one grant to a needy beneficiary.
The maximum amount of welfare grant is $2800 per annum. Applicants must be BTSS members and are Singaporeans or Singapore Permanent Residents.",,All,Not specified,,
Brain Tumour Society Singapore Wellness Grant,General assistance,Low-income families,Follow application instructions in the description,Contact organisation,"The BTSS Wellness Fund aims to enhance the well-being of our members through a broad range of programmes such as:

Physical skills – rehabilitation, swimming, badminton, sewing, barista skills
Mental – memory, speed reading or other relevant intellectual pursuits
Creative – musical instrument playing, composing music, singing
Psychological – psycho therapy, counselling help
Social – social skills, emotional quotient (EQ) training
Home nursing services

The maximum amount of grant is $600 for a period of 1 year and there is no income criteria. Members who are Singaporeans and Singapore Permanent Residents are eligible to apply.",,All,Not specified,,
Bursary Awards (FaithActs),General assistance,Low-income families,Contact organisation for details,Contact organisation,"FaithActs Bursary Awards seeks to assist needy full-time students presently studying. The objectives are to:

Provide financial assistance to students from low-income families to purchase educational materials
Complement the role and function of the Ministry of Education (MOE)'s financial assistance scheme for the needy students
Motivate beneficiary of the award to strive for greater achievements benefiting themselves and the community

Main Sponsor: Faith Methodist Church",,All,Not specified,,
Cancer Care Fund (SCS),General assistance,Low-income families,Contact organisation for details,Contact organisation,"The Cancer Care Fund is a one-time financial assistance scheme to alleviate the financial burden of newly-diagnosed cancer patients from low or middle income families within the first 6 months of diagnosis. 
Since the inception of this fund from 2015, more than S$5.64 million in aid was disbursed, assisting more than 6,200 patients.",,All,Not specified,,
