Name,Description,Link,Full Content,Who can apply,What to expect,How to apply,Contact,Source URL
Gymnasium (BCare),"Gymnasium
“Work out to keep fit”
Have you ever tried to exercise and found it difficult to do it at home? You would love to work out at our well-equipped air conditioned gymnasium with shower facilities.
You can also have a cup of tea and catch up with fellow enthusiasts at our gym café.
We provide subsidies for participants from low-income families. Feel free to contact us for more details.
Address: Blk 574 Hougang St 51 #01-09 Singapore 530574",https://www.sgsocialsupport.com/resource/rp6MZRHy-dg,No Content Found,Please contact the organisation for more details.,"Rates:
Adult (Above 18 yrs old) : $3.50 per entry
Student (13 years & above) and Senior Citizen (60 years & above) : $2.50  per entry",Please contact the organisation for more details.,"Edmund Woon + − Leaflet | OneMap © contributors | Singapore Land Authority Blk 574 Hougang St 51 #01-09 
S530574 Mon to Fri: 2.30pm to 10.00pm
Sat: 11.00am to 7.00pm 6387 0686 edmundwoon@bcare.org.sg Website",https://www.sgsocialsupport.com/resource/rp6MZRHy-dg
Healthcare Support (Sikh Welfare Council Singapore),"The objective of the Programme is to provide for the social &amp; psychological support and care for patients in nursing homes and hospitals.We provide support and care for patients in hospitals and institutional homes through regular befriending visits and by providing meals more suited to them on a regular basis.The Programme includes: Obtaining information from families &amp; institutions regarding the location of patients in hospital who are seriously ill.Organising visits by the representative of SIWEC or other qualified individual to hospital.Study the needs of patients in hospital and their families.Planning and carrying out regular structured visits to patients in Intensive Care Units of hospitals and patients who are terminally ill.Providing families of seriously ill patients with guidance in obtaining assistance from various health agencies and medical specialist etc.In addition, the Programme also looks into the needs of the aged, less ambulant and physically challenged who wish to visit places of worship but are not able to.This is an island wide project thus the need for all Institutions to come together and work towards providing assistance to the less fortunate and the aged.Objectives:To enable the physically challenged to visit places of worship of their choice.To ensure that less fortunate and less ambulant do not feel left and forgotten.To inculcate volunteerism and spirit of giving in kind for those who need.To build community cohesiveness.To ensure the aging population is not deprived of their regular visits to places of worship.",https://www.sgsocialsupport.com/resource/AFGm3pfXWjt,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Sikh Welfare Council Singapore Website,https://www.sgsocialsupport.com/resource/AFGm3pfXWjt
Inline Skating (BCare),"“Fitness on Wheels”
Inline skating is a fantastic fitness activity that profits both the body and mind. It is a fun sport which both children and adults can participate in. It enhances mental alertness, good balancing skills and resilience.
We organise Fun-skate Meets for skaters after they have completed their basic training. BCARE Inline Skating classes are conducted by a certified coach.
We provide subsidies for participants from low-income families. Feel free to contact us for more details.",https://www.sgsocialsupport.com/resource/6jK4rduLrq7,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Edmund Woon + − Leaflet | OneMap © contributors | Singapore Land Authority Blk 574 Hougang St 51 #01-09 
S530574 6387 0686 edmundwoon@bcare.org.sg Website",https://www.sgsocialsupport.com/resource/6jK4rduLrq7
Action for Aids,"AfA is a non-governmental organisation dedicated to fighting HIV infection and AIDS in Singapore. It draws upon a network of healthcare professionals, advocates, educators and volunteers, to implement educational, testing, treatment and welfare programmes.",https://www.sgsocialsupport.com/resource/TYC9CHHXcyy,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Action for Aids + − Leaflet | OneMap © contributors | Singapore Land Authority 9 Kelantan Lane #03-01 
S208628 ANONYMOUS TESTING SERVICE (ATS) OPERATING HOURS

Tuesday & Wednesday, 6.30 – 8.30pm
Saturday, 1.30 – 3.30pm
Closed on eve of Public Holidays & Public Holidays 6254 0212 info@afa.org.sg Website",https://www.sgsocialsupport.com/resource/TYC9CHHXcyy
AED-on-Wheels Programme (Singapore Heart Foundation),"The AED-on-Wheels Programme is introduced to equip taxis and private-hire vehicles with AEDs and train drivers in CPR+AED skills to promote community first-response and increase the availability of AEDs in the community. Under the programme, drivers with AEDs installed in their vehicles will learn to determine unresponsiveness, and perform CPR and use the AEDs on casualties. Drivers will receive notification of cardiac arrest cases within their 1.5km radius via the myResponder app, and they can quickly deliver the AED to the scene and render CPR+AED for the casualty.This programme was launched in Nov 2015 as part of the Save-A-Life Initiative. As of Jan 2022, there are 210 drivers on the programme, and they have responded to more than 160 cardiac arrest cases.If you are interested in equipping your company’s vehicles with AEDs, please get in touch with us at aed@heart.org.sg.",https://www.sgsocialsupport.com/resource/LYG9auFj3u3,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,AED-on-Wheels Programme (Singapore Heart Foundation) aed@heart.org.sg Website,https://www.sgsocialsupport.com/resource/LYG9auFj3u3
Assistive Devices Centre (Singapore Association of the Visually Handicapped),"The Assistive Devices Centre serves to enhance the lives of persons with vision impairment by promoting&nbsp;the use of assistive devices and technologies so as to allow them to integrate into the society in the area&nbsp;of education, recreation or employment.To achieve this objective, the Centre offers a comprehensive&nbsp;range of devices:Mobility white canesLifestyle talking devices e.g. clocks, watches, calculators, blood pressure monitor/Glucose metersComprehensive range of magnifiers and monoculars to cater to the varying eye conditions of persons with vision impairmentThe Centre also assists clients to purchase assistive technology devices:Screen readers/magnification softwareDesktop or portable electronic magnifiersBraille displays/note TakersMulti-functional accessible playersClick here to find out more interesting devices through our ADC showcase.",https://www.sgsocialsupport.com/resource/-8Dxvc87MGP,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,"For more information or to check on stocks availability, please call 6251 4332 or email adc@savh.org.sg . The opening hours are from Mondays to Fridays, 8am to 5pm, on an appointment basis only. Please note that the centre is closed for lunch from 12.00pm to 1.00pm.",Singapore Association of the Visually Handicapped 6251 4332 adc@savh.org.sg Website,https://www.sgsocialsupport.com/resource/-8Dxvc87MGP
Beyond Broken Brains,,https://www.sgsocialsupport.com/resource/9g-raBMe7eU,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Beyond Broken Brains beyond@brokenbrains.sg Website,https://www.sgsocialsupport.com/resource/9g-raBMe7eU
Bizlink Day Activity Centre,"This programme provides daily care services and activities for persons with disabilities, as well as equip them with skills for independence.Here is what our Day Activity Centre focuses on:Work Therapy Programme: Engaging in simple, purposeful work tasks to develop relevant skills &amp; appropriate work attitudesPhysical Maintenance: Encouraging active lifestyles through physical &amp; rehabilitation activities which minimise physical deterioration &amp; improve one’s healthCommunity Living Skills Training: Developing self-care skills which enable independent livingSocial &amp; Interpersonal Skills: Educating &amp; Equipping skills to interact &amp; socialise with othersEmotional &amp; Behavioural Intervention: Reinforcing socially acceptable &amp; positive behaviours",https://www.sgsocialsupport.com/resource/NsarhZ97KGL,No Content Found,"Must be a Singapore Citizen or Permanent Resident (For Permanent Residents, at least one immediate family member must be a Singapore Citizen. Immediate family member refers to spouses, parents, children of the applicant, including step-parents and step-children.) Have a permanent disability (Including Physical/Intellectual with IQ less than 70, Developmental/Hearing Impairment/Visual) From the age of 18 years and above",Please contact the organisation for more details.,Please contact the organisation for more details.,"Bizlink + − Leaflet | OneMap © contributors | Singapore Land Authority Blk 82 Circuit Rd, #01-04 
S370082 Website",https://www.sgsocialsupport.com/resource/NsarhZ97KGL
Blue Cross Thong Kheng Home,"Thong Kheng Home was established in 2002,situated at Jurong East Avenue 1.Singapore.This Service Centre is to provide for both stay-in and day care services to those patients who have been suffering from physical disability and mentally handicapped. Ever since Thong Kheng Home has been established in 2002, Thong Kheng Charitable Institution and Thong Kheng Welfare Society by practicing and adopting core value of mercy and charity, and with the management foresight, proper planning and control, the Home services to help those vulnerable and unfortunate group has been progressing very well, it really makes a tremendous contribution to the community for serving people with physical disability and mentally handicapped.",https://www.sgsocialsupport.com/resource/EVtpUSzQs5G,No Content Found,"Who can apply? – Medically certified to have autism spectrum disorder. – Singapore Citizens or Permanent Residents. – Aged between 16 and 55. – Not suffering from unstable medical condition such as psychotic disorder, severe fits and/or unmanageable challenging behaviour.","Residential and Day Care Services Our Home can accommodate 116 full-time residents and 50 day-care clients. Day care hours can be flexible depending on the working hours of the family members of the clients. Respite services for residential and day care are also available. Our service charges are based on affordability. All residential rooms have an attached toilet for ease of use.  In addition, as part of the Home’s commitment to provide comprehensive care to its residents, the Home is equipped with the following facilities: – Medical Treatment room – Physiotherapy Area – Occupational Therapy Room – Multi-purpose Hall – Dining Hall – Koi pond Depending on the capabilities, interests and needs of the clients, different activities will be organized for them. These include exercises, art and craft sessions, games, singing sessions, excursions, reading time, TV programmes and light housekeeping activities. Clothing for residents are ordinary daily wear, such as T-shirts and bermudas supplied by the Home. Clothes are washed at our Home’s laundry for common use. Residents are encouraged to wear slippers with good grip while in the Home. Shoes are needed for excursions. Items of values should not be kept at the Home.","For more information on Blue Cross Thong Kheng ASD Day Activity Centre, please feel free to contact our Social Worker at Tel: 6265 2878 or our email at enquiry@thongkheng.org.sg Application for our day activity service are to be submitted via SG Enable. How to apply? Infoline: 1800 8585 885 (SG Enable) For more information on the referral process by SG Enable, please click on the following: https://www.sgenable.sg/Pages/content.aspx?path=/for-adults/homes-for-adults-with-disabilities/","Blue Cross Thong Kheng Home + − Leaflet | OneMap © contributors | Singapore Land Authority 201 Jurong East Avenue 1 
S609791 Infoline Operating Hours

Monday to Friday: 8.30am to 6.00pm
Saturday: 8.30am to 12.30pm
Closed on Sundays and Public Holidays 6560 2022 enquiry@thongkheng.org.sg Website",https://www.sgsocialsupport.com/resource/EVtpUSzQs5G
Bone Marrow Donor Programme,"Since 1993, the Bone Marrow Donor Programme has been providing that often, last chance of survival to hundreds of patients suﬀering from terminal blood-related diseases, in the form of a bone marrow transplant from an unrelated marrow donor.
BMDP manages Singapore’s only register of volunteer bone marrow donors and with a slim chance of ﬁnding that perfect matched donor, we are fully committed to building the local donor register into a national asset to help all Singaporeans have that second chance of life.
What we do at BMDP directly impacts life and death, hence our promise of “A donor for every patient”. We reach out to all sectors within our community to share the message and empower people with the choice to save a life.",https://www.sgsocialsupport.com/resource/u3aPKvDpGag,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Bone Marrow Donor Programme + − Leaflet | OneMap © contributors | Singapore Land Authority 8 Sinaran Drive, #03-02 Novena Specialist Center  
S307470 Closed on Saturday, Sunday and Public Holidays

Monday to Friday: 09:00 am - 6:00 pm 6916 0370 admin@bmdp.org Website",https://www.sgsocialsupport.com/resource/u3aPKvDpGag
