Name,Description,Link,Full Content,Who can apply,What to expect,How to apply,Contact,Source URL
10 Steps Gambling Rehab Workshop (Arise2care),We provide 10 complimentary sessions for individuals and families affected by problem gambling on how to overcome addiction and its related issues.Our facilitators are trained to offer a space where individuals are encouraged to disarm themselves to share their struggles where life can be lived without fear and where support can be found.The sessions are conducted in a fun and interactive way where individuals and their family members are encouraged to participate and learn how to overcome issues related to gambling addiction and debt issues related to legal and illegal moneylenders.,https://www.sgsocialsupport.com/resource/gnVrzhGZu8w,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Contact through the website - https://arise2care.sg/contact-us/,"10 Steps Gambling Rehab Workshop (Arise2care) + − Leaflet | OneMap © contributors | Singapore Land Authority 5 Harper Road, #02-01/A 
S369673 6909 0628 Website",https://www.sgsocialsupport.com/resource/gnVrzhGZu8w
3am Music Collective,"3am Music Collective is an initiative by a group of Singapore musicians of different ethnicity &amp; age groups to create various genres of music, to give hope &amp; show empathy to people with troubled minds.",https://www.sgsocialsupport.com/resource/UN-AczhMXQE,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,3am Music Collective 3amMusicCollective@gmail.com Website,https://www.sgsocialsupport.com/resource/UN-AczhMXQE
A Neurodiversity Road of Love (Autism),"Singapore Neurodiverse Inclusive Community is a place of resources to empower parents and individuals alike. From diagnosis to early intervention, education, employment, caregiver services, lifestyle activities, for educators and learners, support from professionals, schools, life-long support from and for the community,",https://www.sgsocialsupport.com/resource/5J9QemYchqK,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,A Neurodiversity Road of Love neurodiverse.ice.sg@gmail.com Website,https://www.sgsocialsupport.com/resource/5J9QemYchqK
"A.I.R. (Awareness, Identification & Referral) (Silver Ribbon Singapore)",A.I.R provides:Outreach to general public to encourage them to seek help earlyProvide information on and help clients understand intervention options and support services in the landscapeRefer persons with mental health conditions to suitable professional and evidence-based intervention and services.,https://www.sgsocialsupport.com/resource/E4MaMJEEwTu,No Content Found,Persons with mental health conditions who are undiagnosed; Persons who are at risk of mental health conditions; and Persons who are living with mental health conditions but have not followed up with needed intervention (e.g. defaulted on or not willing to seek needed professional help).,"An intake assessment will be conducted. Clients will be referred to appropriate professional, evidence-based services or programmes, based on assessed needs. If client is unwilling to seek the services, A.I.R will provide clients with interim emotional support for up to 12 months.","You may walk in to the centres, email to info@silverribbonsingapore.com or give a call to: H.O.L.A: 6386 1928 The Linkage: 6509 0271 Raintree: 6385 3714","Silver Ribbon Singapore - H.O.L.A Mon - Fri: 9:00am - 5:00pm 6386 1928 info@silverribbonsingapore.com Website Silver Ribbon Singapore - Raintree Sanctuary + − Leaflet | OneMap © contributors | Singapore Land Authority 550 Hougang Street 51, #01-168 
S530550 Mon - Fri: 9:00am - 5:00pm 6385 3714 info@silverribbonsingapore.com Website Silver Ribbon Singapore - The Linkage Mon - Fri: 9:00am - 5:00pm 6509 0271 info@silverribbonsingapore.com Website",https://www.sgsocialsupport.com/resource/E4MaMJEEwTu
Addiction Counselling Services (We Care Community Services),"CounsellingWE CARE provides counselling for all forms of addiction, including drugs, alcohol, gambling, sex, gaming &amp; internet, compulsive shopping and shoplifting.Counselling services are provided by trained counsellors and services include individual, family and group therapy. We also offer counselling to family members who need support.Our services are open to all members of the public at a nominal rate. We also accept referrals from partner agencies, hospitals, Community Court, Singapore Prison Service, Family Service Centres and other community organisations.&nbsp;Individual CounsellingIf you are seeking help to overcome your addiction problem or suspect you might be developing one, WE CARE's individual counselling package is able to help you. We work with you to identify the real problem and develop strategies to manage the problem collaboratively.The individual counselling, which is private and confidential, is targeted to help you in maintaining abstinence and returning to a healthy, productive lifestyle.In addition, if you require psychiatric help, we help to make the necessary referrals to suitable agencies, especially if depression is present.&nbsp;WE CARE offers the following Individual Counselling Packages:Substances Or Alcohol Recovery (SOAR)Sex, Porn, Love, Addiction (SPLA)Internet &amp; Gaming Addiction (IGA)Atypical Theft Offending (ATO)Gambling Recovery Intervention Programme (GRIP)Group TherapyWE CARE conducts group therapy sessions that allow individuals to explore relationships in a safe and confidential setting. Through the sharing process, individuals learn about themselves and often find support and encouragement. Group therapy is also a safe place to practice alternative methods of dealing with addictions.We offer the following Group Therapy Programme:SMART Recovery (Self-Management And Recovery Training)Mindfulness-Based Relapse Prevention (MBRP)Women’s Therapy Group (WTG)Kindly note that to participate in group therapy sessions, you first have to be a registered&nbsp;WE CARE&nbsp;counselling client - and this will involve an intake session with a counsellor.&nbsp;Family CounsellingWhen a loved one is actively addicted, the family goes through periods of intense stress, uncertainty and strong negative emotions (despair, hopelessness, etc).&nbsp;This is a trying period. Family members need emotional support and clarity to evaluate their options. We provide counselling for family members and close friends of recovering individuals and actively using addicts who are affected by the individual’s behaviour. Through these sessions, family members develop skills to manage their emotions. Also, they learn how to support their addicted loved ones effectively while managing their own self-care.How We ChargeWE CARE&nbsp;charges for counselling on a sliding scale from $30 to $120 per session, depending on the individual's personal and financial background. As we are a charity, our primary mission is to treat, and if clients are facing financial stress, they will still receive help. For more information on how to register for counselling, go to&nbsp;https://www.wecare.org.sg/services-how-to-get-help.php&nbsp;",https://www.sgsocialsupport.com/resource/Pytz8DjGurQ,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"We Care Community Services + − Leaflet | OneMap © contributors | Singapore Land Authority 11 Jalan Ubi, Block 5, #01-41 
S409074 3165 8017 help@wecare.org.sg Website",https://www.sgsocialsupport.com/resource/Pytz8DjGurQ
Apex Harmony Lodge,"Apex Harmony Lodge (AHL) is a community committed to empowering lives affected by dementia since 1999. We strive to do this through strength-based, person-centred approaches in our integrated dementia care, with the belief that each Person with Dementia is a gift to us. We provide both long-term residential care and community care services",https://www.sgsocialsupport.com/resource/gNb--StKNMj,No Content Found,Applicants must be diagnosed with dementia Applicants must be free from infectious lung diseases Applicants must be either ambulant or wheelchair-bound Both subsidised and private applicants must be Singaporeans or Singapore Permanent Residents,Please contact the organisation for more details.,"How to apply for subsidised residential care: To apply, Person with Dementia shall be referred by Agency of Integrated Care, and the applicants’ immediate family members are to declare their income for Means Testing Family shall make appointment with the Medical Social Worker (MSW) of a restructured hospital or the polyclinic if they do not have an existing appointment with a restructured hospital. The MSW submits the referral to Agency for Integrated Care (AIC) where applicable. AIC will then refer the applicant to the appropriate Nursing Home. How to apply for private residential care Family can approach social worker of Apex Harmony Lodge directly for enquiries at +65 6585 2265","Apex Harmony Lodge + − Leaflet | OneMap © contributors | Singapore Land Authority 10 Pasir Ris Walk 
S518240 6585 2265 ahl@apexharmony.org.sg Website",https://www.sgsocialsupport.com/resource/gNb--StKNMj
"Artists, Healers, Artisans (AHA)","An art outreach event by a group of artists, healers and artisans.
We hope to raise awareness for art as a form of healing in supporting mental health.
Our mission is to Advocate and Heal through Art, as we leverage on various art forms for community wellness and bonding.",https://www.sgsocialsupport.com/resource/x37WwyKVpgp,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Artists, Healers, Artisans (AHA) aha.artists.healers.artisans@gmail.com Website",https://www.sgsocialsupport.com/resource/x37WwyKVpgp
Atypical Theft Offending (ATO) Programme (We Care Community Services),"WE CARE offers a unique and specialized outpatient treatment programme for compulsive stealing or shoplifting behaviour. Our professional team can provide clinical assessment and intervention on a psychological problem that is not commonly understood, much less treated.Through the ATO programme, we aim to provide a safe, non-judgmental and confidential environment where clients can learn to resolve the problem behaviour and regain control of their lives.Our programme helps them to understand, manage and stop the compulsive stealing, and create lasting lifestyle changes that are critical for sustained long-term recovery. This is achieved through an integrated treatment programme that incorporates individual, group, and couple/family therapy, as well as educational workshops and self-help support groups. The goal is to prevent further shoplifting while upholding and strengthening the dignity and self-respect of clients.Programme Structure:Free pre-registration Brief Consultation1 Counselling assessment6 Individual counselling sessions1 Follow-up counselling session1 psycho-education workshop for client and family members (or significant others related to the client)Optional Components:Additional individual sessions (recommended for clients with multiple disorders)Family /Couple therapy sessionsGroup therapy sessionsAll therapy sessions may be conducted in English and/or Mandarin upon request.&nbsp;To download the flyer, click&nbsp;here.&nbsp;",https://www.sgsocialsupport.com/resource/WNuKDGU3SgR,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"We Care Community Services + − Leaflet | OneMap © contributors | Singapore Land Authority 11 Jalan Ubi, Block 5, #01-41 
S409074 3165 8017 help@wecare.org.sg Website",https://www.sgsocialsupport.com/resource/WNuKDGU3SgR
Autism Bridge Strategy Group,"THE AUTISM BRIDGE STRATEGY GROUP (#ABSG), SINGAPORE ~ Building Skills &amp; Support For Autism From The Ground Up ABSG is network of caregivers, allied health professionals, educators &amp; advocates for neurodiversity. The group was formed to inspire communication &amp; collaborations on bridging strategies to promote inclusion and integration for persons with different neurological and social abilities as they go through major life phases and transition from infancy to school age, adolescence, adulthood and to old age.ANNUAL TALK &amp; DIALOGUE: AUTISM EXPOSED SINGAPORE© #AES- #AES is a collaborative &amp; knowledge building platform.The annual symposium facilitates- structured discussions and talks on present issues and challenges faced by persons with different neurological abilities and their families; and- skill-building workshops to promote awareness and inclusion by helping to identify, effectuate &amp; improve ""bridging strategies"" to ease transitions &amp; inspire collective actions to help strengthen the support system for persons with diverse neurological#AES is a ground-up initiative designed by Brand for Humanity Pte Ltd and launched in 2014. It driven with the support of the #ABSG Steering Committee and promoted as one of the #SG4Diversity Support Programme to achieve greater inclusion and inclusion for people with different physical and cognitive abilities under the UN's Sustainable Development Goals (SDGs).OUR COLLABORATIVE &amp; AWARENESS PLATFORMS:#SG4DIVERSITY INCLUSION FESTIVAL 2018 - https://goo.gl/BJJX5GFor more information on #SG4Diversity Festival &amp; Our Support Work: http://bit.ly/1TYoUcj",https://www.sgsocialsupport.com/resource/fBzu4L7npe-,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Autism Bridge Strategy Group Website,https://www.sgsocialsupport.com/resource/fBzu4L7npe-
Before Beyond,"Before Beyond endeavours to empower Singaporeans to navigate mortality-related issues confidently, be a source of comfort and guidance for people who are grieving, and inspire people to live better.",https://www.sgsocialsupport.com/resource/qh5ZhuWdnfg,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Before Beyond beforebeyondsingapore@gmail.com Website,https://www.sgsocialsupport.com/resource/qh5ZhuWdnfg
