Name;Description;Link;Full Content;Who can apply;What to expect;How to apply;Contact;Source URL
Milk Powder  Diapers Assistance BCare;"Milk Powder amp Diapers Assistance
We support lowincome families by ensuring that their young children aged 0 to 4 receive the required nutrition and care for their growing years.
Our service includes

Provision of milk powder and diapers up to 6 months
Monthly home visits
Equipping parents with parenting skills and knowledge";httpswww.sgsocialsupport.comresourceU7Q5nHT6sUW;No Content Found;"Residents staying in Hougang or Sengkang or Punggol.
Families with children aged 0 to 4
Household income  3000 monthly or Per capita income  1000 monthly";What you will receive monthly up to 6 months 1 tin of formula milk powder Diapers for each child as per needs;Please contact the organisation for more details.;"Bethesda CARE Centre   Leaflet  OneMap  contributors  Singapore Land Authority Blk 242 0193 Hougang St 22 
S530242 6340 3161 admin@bcare.org.sg Website";httpswww.sgsocialsupport.comresourceU7Q5nHT6sUW
Dreams;A firstofitskind secular coed weekday residential model that provides afterschool academic and holistic support DREAMS aspires to create a childcentric system of care that empowers children from lowincome households to aspire towards their dreams and break out of poverty allowing them to access and dream of a future where they are not limited by family circumstances. The mission of DREAMS is Empowering our youth to attain social mobility through holistic developmental support.;httpswww.sgsocialsupport.comresourceTRH9ja848nF;No Content Found;To qualify for the programme the child should have secured a place in an MOE secondary school based on hisher PSLE results. In addition The child is residing in a HDB Rental Flat under the HDB Public Rental Scheme The child is a Singapore Citizen or Permanent Resident The child must aspire to be in DREAMS and have parentsguardians who are supportive of their aspiration to be in DREAMS;Successful applicants will benefit from the programme for up to 6 years from Secondary 1 to PreTertiary. Children under the programme will commute to school themselves and return to our boarding residence after the school day where they will receive afterschool academic and holistic support. DREAMS will offer a full range of programmes with a focus on Academic Support. Differentiated Programmes will also be introduced. These are designed according to the specific need of each age band and can include coding classes ecocitizenship cultivation lessons leadership and criticalthinking focused training. Additionally DREAMS will work with community partners to provide access and guidance for our children to stay healthy and take care of their minds and bodies through Nutrition Health and Wellness programmes. DREAMS aspires to create a childcentric holistic system of care encouraging parental involvement whilst engaging and collaborating with community partners.;Interested parentsguardians and children are invited to visit our Campus to find out more. For enquiries related to admissions please contact us at admissions@dreamssingapore.org.sg Application Form;"DREAMS Singapore Limited   Leaflet  OneMap  contributors  Singapore Land Authority 99 Haig Road 
S438748 6992 2838 admissions@dreamssingapore.org.sg Website";httpswww.sgsocialsupport.comresourceTRH9ja848nF
6th Sense;We journey with children from rental flats to uncover the unique gifts they bring into the world.Volunteerrun groundup which befriends children 7 to 14 years of age at Kebun Baru.Fortnightly Saturday evening sessions immersing in art often inspired by nature or following up on a childs inspiration.Free play around the blocks and often involves playing at the AMK Bishan Park.;httpswww.sgsocialsupport.comresourceNZREXYCTxyV;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"6th Sense   Leaflet  OneMap  contributors  Singapore Land Authority Ang Mo Kio Ave 3 Singapore 
S560245 9105 7891 6th6en6e@gmail.com Website";httpswww.sgsocialsupport.comresourceNZREXYCTxyV
ALMA aLife;"aLife is committed to assisting new mothers who are in financial difficulty to provide the basic necessities to their newborn from birth up until the infant attains the age of two 2. We ensure that these babies do not miss out on the essential nutrients and foundation needed in their infancy.
Additionally ALMA serves as a support system for the new mothers during their journey with aLife. Through ALMAs holistic approach aLife aims for the ALMA families to feel heard and understood as they work towards breaking out of the poverty cycle and the difficulties that come along with it.";httpswww.sgsocialsupport.comresourceVZ2XBmcpEtm;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;aLife collaborates closely with other voluntary organisations and government agencies to provide holistic assistance to the family. Eligible clients are accepted mainly on a referral basis from Social Service AgenciesFamily Service Centres FSC.  If you are a client who needs help please seek assistance from the FSC nearest to your home.;"aLife   Leaflet  OneMap  contributors  Singapore Land Authority 308 Shunfu Rd 01165 
S570308 6258 8816 contact@alife.org.sg Website";httpswww.sgsocialsupport.comresourceVZ2XBmcpEtm
Arc Childrens Centre;Arc aims to provide a sanctuary for the continuing education safety and bonding of children with cancer or other lifethreatening illnesses. Our care also extends to the siblings and family creating a haven of respite and comfort;httpswww.sgsocialsupport.comresourceu7ZuEbL9ZZ;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Arc Childrens Centre 6252 4898 enquiry@arcchildren.org Website;httpswww.sgsocialsupport.comresourceu7ZuEbL9ZZ
Babes;"Babes Pregnancy Crisis Support Ltd Babes is a nonprofit agency that journeys with pregnant teenagers providing emotional support information and resources to empower them to make responsible decision on their pregnancy.
Babes takes a mothercentric approach and ensure she is aware of her choices and empowered to make responsible decisions for her pregnancy. We will respect and support her choice with a view to nurturing longerterm ongoing support from family friends volunteers and the wider community and a normal life for her.
Babes Pregnancy Crisis Support Ltd Babes is a nonprofit organisation that is committed to ensuring that every pregnant teenager in need of support be aware of the options she has and is given the opportunity to make an informed decision with regard to her pregnancy. At Babes we also believe that support from her family friends and wider community is essential for a pregnant teenager to make her decision responsibly and for her to experience a sense of normalcy in this difficult period. We journey with every pregnant teenager keeping in mind the longterm goal of increased wellbeing during pregnancy and better preparedness to cope in the future.
A 24hour helpline was chosen as the medium of communication as an approachable friendly and nonthreatening way for these teens in crisis to contact us. We are the only organisation in Singapore that is devoted to exclusively supporting pregnant teenagers in crisis.
Babes began as a program under Beyond Social Services in 2005 and in 2013 established itself as an independent organisation with the aim to provide more focus on teenage pregnancy. At Babes we do not charge for our services and since the programme was launched we have assisted more than 800 girls in a pregnancy crisis 2005 2022.";httpswww.sgsocialsupport.comresourceKejPRCauvVj;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Babes 328 Sembawang Crescent 6206 6641 hello@babes.org.sg Website;httpswww.sgsocialsupport.comresourceKejPRCauvVj
Beautiful Mind Charity;BMC serves the community by caring for the underprivileged especially nurturing musical talents in children with special needs. Our mission is to discover and nurture the classical music talents of children aged 716 years old with special needs and provide a platform for them to develop as financially independent professional musiciansOUR BENEFICIARIESThe Riding for the Disabled Association of Singapore RDASPD formerly known as Society for the Physically DisabledLighthouse SchoolMuscular Dystrophy Association SingaporeRainbow Centre;httpswww.sgsocialsupport.comresourceDUR9ru8QGjV;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Kaede Hng   Leaflet  OneMap  contributors  Singapore Land Authority 138 Robinson Road 0226 Oxley Tower 
S068906 9396 0817 admin@bmcsg.org Website";httpswww.sgsocialsupport.comresourceDUR9ru8QGjV
Blessings in a Bag;"Opportunities loving support and space to build dreams.
We believe every child has a right to opportunities loving support and space to build their dreams. We believe in a future where young Singaporeans can shine their brightest regardless of their background or circumstances.
EMOTIONAL SUPPORT
Our awesome volunteers serve as role models and mentors who provide a listening ear offer guidance and connect kids to the necessary support that they need. We create a space where every child can feel safe supported and loved so that they can be the best amp true versions of themselves. We also provide them with welfare packs to keep their energy and emotional levels high
SOCIAL CONNECTION
During Beyond Awesome Sessions the kids get the opportunity to form meaningful and long lasting connections with others. They get to meet their friends from different schools interact with our volunteers from all walks of life and pick up skills from many of our community partners from various industries. Friendships are forged and bonds are deepened during these sessions
PHYSICAL PRESENCE
We provide a space for our kids to learn life skills meet experts from various fields and participate in a range of activities that will propel them towards success. Our kids have opportunities to embark on adventures around Singapore  from workouts at a fitness studio a trip to the Science Centre to getting their hands dirty at artisanal craft workshops  their perspectives are broadened and theyre given a chance to dream of endless possibilities of what they want to be when they grow up. We also create activity kits for them to stay engaged learn and take a mental break even while at home Mostly we create fun and simply just want our kids to be kids.";httpswww.sgsocialsupport.comresourcepJfJQKqbwNh;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;They can be contacted through form in httpwww.blessingsinabag.cosayhello;"Blessings in a Bag   Leaflet  OneMap  contributors  Singapore Land Authority 315 Outram Road 0806A Tan Boot Liat Building 
S169074 Website";httpswww.sgsocialsupport.comresourcepJfJQKqbwNh
CareNights  Morning Star;"The First Evening Care for Families in Need
CareNights is an evening support programme for children aged 6 to 14 years from 6 pm to 10 pm on weekdays. The programme journeys with children to enhance their social and psychological development. With daily interactions we have seen significant improvements in the childrens behaviours. Dinner is provided to ensure that children understand the importance of nutrition.
Through this programme we hope to break the Adverse Childhood Experiences ACEs pattern that parents and caregivers may have been exposed to and be the first line of intervention for children experiencing any form of challenges that require professional assistance.";httpswww.sgsocialsupport.comresourceCUfPnTD6ATu;No Content Found;Parents whose combined income is up to 4500 gross or a per capita of up to 1125. Referrals from schools social service or government agencies are welcome. Interested parents and caregivers can also register interest at httpswww.morningstar.org.sgcarenights.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Agape Village Centre   Leaflet  OneMap  contributors  Singapore Land Authority 7A Lor 8 Toa Payoh 0306 
S319264 Bedok North Centre   Leaflet  OneMap  contributors  Singapore Land Authority Blk 508 Bedok North Avenue 3 01369 
S460508 Morning Star Community Services Website Primavera Centre   Leaflet  OneMap  contributors  Singapore Land Authority Blk 95 Bedok North Avenue 4 011415 
S460095 Sengkang Centre   Leaflet  OneMap  contributors  Singapore Land Authority Blk 261B Sengkang East Way 01400 
S542261";httpswww.sgsocialsupport.comresourceCUfPnTD6ATu
Children and Youth programme EQUAL;This programme develops socioemotional skills in youth and those with special needs through experiential learning with our equine partners;httpswww.sgsocialsupport.comresourcemmG9QyvfADY;No Content Found;Children and youth including those with special needs aged between 7 to 21 years old;Please contact the organisation for more details.;"Programme Structure
10 to 18 weekly sessions
Each session is 2.5 hours long
Weekdays or weekends";"EQUAL   Leaflet  OneMap  contributors  Singapore Land Authority 100 Jalan Mashhor 
S299177 6904 0422 info@equal.org.sg Website";httpswww.sgsocialsupport.comresourcemmG9QyvfADY
