Name;Description;Link;Full Content;Who can apply;What to expect;How to apply;Contact;Source URL
Active Ageing Centre Adventist Home for the Elders;Active Ageing CentreGolden PeonyWe serve 190 units of Studio Apartment at Blk 530A Jurong West Avenue 1 and its vicinity.Our services inclusive of gym facilities morning exercise Calligraphy class Chinese painting class English class documentary screening talks festive programs and celebrations.Active Ageing CentreGolden CloverWe serve 188 units of Studio Apartment at Blk 196 Kim Keat Avenue and its vicinity.Our service inclusive of gym facilities morning exercise Calligraphy class Dance class documentary screening talks festive programs and celebrations.Active Ageing CentreKallang TrivistaWe serve 99 units of Studio Apartment at Blk 8 Upper Boon Keng Road and its vicinity.Our service inclusive of gym facilities morning exercise Calligraphy class Line Dance Ukulele class table tennis talks festive programs and celebrations.;httpswww.sgsocialsupport.comresource4Tx2959CqH;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Maryanne Tan   Leaflet  OneMap  contributors  Singapore Land Authority Blk195 Kim Keat Avenue 01294  310  314 
S310195 6258 1267 contact@adventisthome.org.sg Website";httpswww.sgsocialsupport.comresource4Tx2959CqH
Active Ageing Centre Kwong Wai Shiu Hospital;Our Active Ageing Centre is a onestop service centre for elderly located in the community. These centres provide health and assistedliving services catered to the elderly as well as wellness activities to keep them active during their golden years.;httpswww.sgsocialsupport.comresourcecHRxb2X6MtT;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Kwong Wai Shiu Care @ MacPherson   Leaflet  OneMap  contributors  Singapore Land Authority Block 82 Circuit Road 0102 MacPherson Spring Block 82 MSCP 
S370082 6422 1335 kwscmacpherson@kwsh.org.sg Website Kwong Wai Shiu Care @ McNair   Leaflet  OneMap  contributors  Singapore Land Authority Block 113 McNair Road 0101 McNair Towers 
S321113 6422 1311 kwscmcnair@kwsh.org.sg Website Kwong Wai Shiu Care @ St George   Leaflet  OneMap  contributors  Singapore Land Authority 25 St Georges Lane 
S320005 6422 1333 kwscstgeorge@kwsh.org.sg Website Kwong Wai Shiu Hospital @ Potong Pasir 8499 7175 davidwong@kwsh.org.sg Website";httpswww.sgsocialsupport.comresourcecHRxb2X6MtT
Active Ageing Centre Loving Heart MultiService Centre;AAC PROGRAMMESOur programmes are designed to help seniors achieve both physical and mental health. Seniors are encouraged and empowered to maintain good health by staying active and taking responsibility for their own wellbeing with the support of the community.Together with our nurturing and dedicated team at Loving Heart both staff and volunteers our seniors are encouraged to play a crucial part in designing their own ageing experience. We will help you design your personal health planAAC SERVICESOur Active Ageing Centres offer a variety of services to the seniors in the community with the goal of providing a onestop goto centre where seniors and their caregivers can find the support and help they require in one convenient place within the community.nbspProgrammes marked with an asterisk are conducted in collaboration with our respective community partnersBEFRIENDING amp BUDDYINGFor seniors living alone or with limited social support networks.Connects seniors with the community and build their social network to support their wellbeing.Attend to their needs according to their level of vulnerability.This service is provided by specially trained befrienders.SOCIAL CONNECTOR FOR SOCIAL AND LIFESTYLE INTERVENTIONAssist in connecting seniors to their preferred active ageing programmes in accordance with their health plan prescribed by their family doctornbspEmpower seniors to selfserve and register for active ageing programmes e.g. on digital platforms such as Healthy 365COMMUNITY SCREENINGAACs will be equipped with a selfserved blood pressure monitor and height amp weighing machineThis is to empower seniors to take charge of their own health by selfrecording and tracking their vital signs results e.g. via Healthhub penandpaper logbookCOMMUNITY HEALTH POSTA health services touchpoint where seniors living near our centre can get easy access to health services near home.The NUHS community care team offers health counselling and education to aid seniors in making better lifestyle choices to live more healthily.The CHP service is available atnbspLoving Heart MultiService Centre Blk 210 Jurong East St. 21 every 1st and 3rd Monday of each month.Loving Heart Active Ageing Centre Blk 318A Jurong East Ave. 1 every 2nd and 4th Monday of each month.;httpswww.sgsocialsupport.comresourceR6vDyVDCXCv;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Active Ageing Centre Loving Heart MultiService Centre   Leaflet  OneMap  contributors  Singapore Land Authority BLK 210 Jurong East Street 21 01389 
S600210 6897 4766 hello@lovingheart.org.sg Website";httpswww.sgsocialsupport.comresourceR6vDyVDCXCv
Active Ageing Centre Sunlove Abode For IntellectuallyInfirmed;Seniors living around the designated areas are encouraged to participate in active ageing. Our centres act as a communal space for elderly to socialise with their peers and find meaningful support. We conduct purposeful activities such as karaoke art amp craft and exercise sessions to keep the elderly engaged.Our services at Senior Activity Centres are free for elderly 60 years old and above who requires help with daily living activities and have little or no family support. Please approach our staff to check your eligibility to enrol for our free services.Communal Space for Social and Recreational ActivitiesBefriendingInformation and ReferralManaging Emergency Alert Response CallsMonitoring Frail and  or HomeBound ElderlySocial Activities and Programmes that Promotes Intergenerational Bonding;httpswww.sgsocialsupport.comresourceeXVaCN2L3WD;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Active Ageing Centre  Chai Chee   Leaflet  OneMap  contributors  Singapore Land Authority Blk 31 Chai Chee Ave 01150 
S461031 6876 0153 sunlovehq@sunlove.org.sg Website Active Ageing Centre  Depot Heights   Leaflet  OneMap  contributors  Singapore Land Authority Blk 102A Depot Road 01659 
S101102 6252 0018 sunlovehq@sunlove.org.sg Website Active Ageing Centre  Golden Saffron   Leaflet  OneMap  contributors  Singapore Land Authority Blk 764B Woodlands Circle 01208 
S732764 6462 2032 sunlovehq@sunlove.org.sg Website Active Ageing Centre  Marsiling   Leaflet  OneMap  contributors  Singapore Land Authority Blk 3 Marsiling Road 015137 
S730003 6367 6615 sunlovehq@sunlove.org.sg Website Active Ageing Centre  Serangoon   Leaflet  OneMap  contributors  Singapore Land Authority BLK 468 Hougang Ave 8 011510 
S530468 6970 1269 sunlovehq@sunlove.org.sg Website Active Ageing Centre  Whampoa Dew   Leaflet  OneMap  contributors  Singapore Land Authority Blk 78 Lorong Limau 0179 
S320078 6925 6370 sunlovehq@sunlove.org.sg Website";httpswww.sgsocialsupport.comresourceeXVaCN2L3WD
Active Ageing Centres SASCO Senior Citizens Home;These centres are intentionally located near vibrant spaces where people in the surrounding community tend to gather or pass by. These shared spaces are used to conduct for seniors in the community an array of activities from exercises to dance to even baking and art classes. All our activities are centred around four pillarsEncouraging lifelong learningAffirming selfworthSupporting multigenerational bondingPromoting senior volunteerism;httpswww.sgsocialsupport.comresourceuWDtB7qdAMk;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"SASCO@Compassvale   Leaflet  OneMap  contributors  Singapore Land Authority Blk 274BC 01521509 Compassvale Bow 
S543274 info@sasco.org.sg Website SASCO@Khatib   Leaflet  OneMap  contributors  Singapore Land Authority Blk 813 0101 Yishun Ring Road 
S760813 info@sasco.org.sg Website";httpswww.sgsocialsupport.comresourceuWDtB7qdAMk
Afterlife Memorial Service Cheng Hong Welfare Service Society;"In October 2012 Cheng Hong Welfare Service Society set up the Afterlife Memorial Service AMS alongside a fund for the financial needs of the service. Moved by two separate cases then Chairman Mr Lim Hang Chung saw the need to see to the funeral arrangements of seniors without dependents andor require the service.
The initial phase was financially supported by entrepreneurs who share the same vision as Mr Lim. Over the recent years AMS has received widespread positive feedback from donors patrons and beneficiaries.
As Singapore faces the issue of an aging population more seniors would derive peace and security from knowing their funeral arrangements are well taken care of.
The AMS caters to all needy seniors regardless of race or religion.";httpswww.sgsocialsupport.comresource8yU3kykAyt7;No Content Found;"AMS Membership Criteria AMS membership is freeofcharge. To become an AMS member applicants should meet at least three of the following criteria 65 years old and above
Stays in HDB rental unit
On Public Assistance ComCare
With limitedno family support
Has severe medical condition";Please contact the organisation for more details.;Please contact the organisation for more details.;Afterlife Memorial Service Cheng Hong Welfare Service Society 6100 6991 admin@chenghongwelfare.org Website;httpswww.sgsocialsupport.comresource8yU3kykAyt7
All Saints Home;Hougang CentreStarted in 1986 All Saints Home Hougang is our very first Centre. Although the home has expanded its capacity and facilities over the years it remains a homely environment filled with a friendly kampong spirit. Residents socialise with one another by participating in regular Karaoke Sessions. In addition our unique Table Tennis Therapy allows residents to pick up positive energy and learn from the disabled during the game.Key Facts155 bedsOur very first Centre which started in 1986Friendly kampongTable tennis therapyKaraoke sessionsBiweekly befriending programme conducted by All Saints Homes Volunteers GroupTampines CentreAll Saints Home Tampines is our largest nursing home in terms of capacity and range of services. It houses our Senior Care Centre which provides integrated eldercare services to holistically meet clients needs. They includeMaintenance Day Care to provide supportive Centrebased environment for frail andor physically disabled elder to be cared for by maintaining and or improving their general physical and social wellbeing including support and respite to their familycaregivers. Provides recreation programmes to engage the clients in meaningful activities and achieve the objective of optimising their quality of life and wellbeing.Dementia Day Care to delay the physical and mental deterioration of the clients with dementia and avoiding premature institutionalisation.Day Rehabilitation to improve the individuals functional status to the maximum level medically possible and enable them to remain active in the community.CentreBased Nursing Care to provide basic nursing and personal care for clients including change of dressings and tubes when required.Key Facts202 bedsMaintenance day careDementia day careCommunity rehabilitationCentrebased nursing careTherapeutic outdoor gardenWeekly befriending programme conducted by All Saints Homes Volunteers GroupYishun CentreAll Saints Home Yishun opened its door to the first resident on 23 March 2015 and extended our reach to the northern part of Singapore. The home has a Community Rehabilitation Programme that offers individually tailored physiotherapy and occupational therapy for day clients.The home reignites the kampong spirit with its communitybased activities. To bring rural life into Yishun and promote interaction residents and volunteers are encouraged to grow and harvest their favourite flowers herbs and fruits at our Community Garden. Seniors in the neighbourhood are welcome to visit our home exercise and enjoy a hearty bowl of nutritious soup prepared by our a communitybased ShareaPot project.Key Facts183 bedsMaintenance Day CareCommunity rehabilitationCommunity gardenSoup kitchenJurong East CentreAll Saints Home Jurong East which commenced operations in September 2015 is our newest nursing home.All Saints Home Jurong East has a dedicated 49bedded Dementia Care Ward to care for residents suffering from dementia. The ward also has a Reminiscent Walkway which houses a mailbox and a bus stop to reignite fond memories of the residents.Key Facts194 bedsDementia care wardReminiscent Walkway;httpswww.sgsocialsupport.comresource9Lf3zBQvtMw;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"All Saints Home Hougang   Leaflet  OneMap  contributors  Singapore Land Authority 5 Poh Huat Road 
S546703 6282 6969 Website All Saints Home Jurong East   Leaflet  OneMap  contributors  Singapore Land Authority 20 Jurong East Avenue 1 
S609792 6819 9300 Website All Saints Home Tampines   Leaflet  OneMap  contributors  Singapore Land Authority 11 Tampines Street 44 
S529123 6788 2345 Website All Saints Home Yishun   Leaflet  OneMap  contributors  Singapore Land Authority 551 Yishun Ring Road  
S768681 6351 1400 Website";httpswww.sgsocialsupport.comresource9Lf3zBQvtMw
Blossom Seeds Befriending Services;BSLs Befriending services provide compassionate support to seniors with limited or no social support empowering them to improve their mental and emotional wellbeing. We aim to enrich their lives with quality meaning and the opportunity to Blossom In Their Ageing Years.How does Befriending transform seniors livesBe their empathetic listening earBe their helpdesk and refer them to other resources when requiredOffering companionship and emotional supportKeeping homebound seniors active by bringing them to our centre for activities andor outingsInspiring seniors to contribute to the community in meaningful ways;httpswww.sgsocialsupport.comresourceBhKAqhLQgCR;No Content Found;Please contact the organisation for more details.;Conversations We engage in heartfelt conversations about anything under the sun from hobbies and interests to personal accomplishments Active Ageing Helping seniors stay physically active and maintain their wellbeing through simple yet engaging exercisese Games We play board games to keep minds stimulated and spirits high Community Engagement We go the extra mile accompanying our beneficiaries to events enabling them to make new friends and be a part of the vibrant community around them Social inclusion We support seniors in joining interest groups broadening their social circles and helping them regain a sense of belonging.;Please contact the organisation for more details.;"Blossom Seeds Befriending Services   Leaflet  OneMap  contributors  Singapore Land Authority 105 Canberra Street 0201 
S750105 6259 8614 Website";httpswww.sgsocialsupport.comresourceBhKAqhLQgCR
Blossom Seeds Medical Escort and Transport;Our MET Medical Escort amp Transport programme involves sending dedicated Medical Escorts right to the doorstep of frail and needy Seniors aged 55 and above.nbspThey will then be escorted safely to their regular medical appointments or treatments. We also provide them with access to other essentials such as grocery shopping house cleaning haircutting collection of tokens and more  all so that they can  live and age well at home and thrive in the community.;httpswww.sgsocialsupport.comresourceNnJpxcgYTKJ;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Blossom Seeds Medical Escort and Transport   Leaflet  OneMap  contributors  Singapore Land Authority Main Office  Active Ageing Centre
105 Canberra Street020106 
S750105 Mon Fri 9am  6pm 6259 8614 Website";httpswww.sgsocialsupport.comresourceNnJpxcgYTKJ
Brighthill Evergreen Home;At Bright Hill Evergreen Home the residents are referred to us from Agency of Integrated Care. Most of our residents are either wheelchairbounded or bedridden. They are usually between 7080 years old and come from lowincome families requiring financial assistance. On average they stay more than 5 years with us.Our goal is to provide the best for our residents that enhances their quality of life and overall wellbeing.;httpswww.sgsocialsupport.comresource2SZa5KYwvXy;No Content Found;Singaporean or permanent resident above 50 years old Limited family support totally dependent on public assistance and lower income families Referred by Agency for Integrated Care AIC Eligible for government subsidies based on means testing framework Kindly note admission to Bright Hill Evergreen Home is only via referral through the Agency of Integrated Care AIC. We regret to inform we are not able to consider any walk in requests.;Clinical Services Nursing Care The Home provides high quality nursing care to residents by professionally trained nurses and support care staff. With a team equipped and ready to cover all aspects of medical care residents are guaranteed to receive the highest level of support 24hours a day 7 days a week. Medical Consultation Our residential doctors are geriatrictrained and they cater specific medical care plan and treatment according to the health issues identified in our elderly residents. Psychogeriatric Care To improve the mental health of our residents our highly experienced psychiatrist provides periodic psychogeriatric care and treatment inhouse for those who display psychiatric or behavioural issues. Dental Service Residents are able to receive dental treatment via the mobile dental services offered at our doorstep twice a year. Pharmacy Service NHG Pharmacist provides sachet packing medication audit training and consultation services. Dietary Consultation Our qualified Dietitian assess the needs of the residents dietary requirement as well as audit on food hygiene and menu to ensure meals are nutritious and freshly cooked daily at our inhouse kitchen. Medical Social Services Adopting a holistic approach of care and support to our residents our medical social workers play a vital role in addressing the social and emotional needs of residents. Here are some of the key areas in which we provide Admissions and Discharge Planning The team journeys with residents from the start of their admission until they are discharged or pass on providing relevant support and interventions at different points of the journey whenever appropriate. Casework Management Medical social workers coordinate and monitor the delivery of services to residents ensuring they receive appropriate care and support. They may collaborate with community organizations and resources to meet social and financial needs such as assistance with housing transportation or financial aid. Psychosocial Support We provide psychotherapy and counselling to residents and families to address their present or underlying issues enabling them to work towards resolving their difficulties and overcoming the challenges they face. Risk Assessment and Management We develop care plans that address any identified risks and implement preventive measures to reduce likelihood of adverse events. Rehabilitation Services A key focus at BHEH is the physical and mental wellbeing of each individual resident. Each resident is provided with a personalised rehabilitation programme to help them recover and regain their functional abilities improve mobility and enhance their independence. Here are the areas of focus Physiotherapy Physical therapy programmes focus on improving residents mobility strength balance and coordination. Through various exercises therapeutic activities and assistive devices therapists work with residents to regain or maintain their physical abilities. This can include range of motion exercises muscle strengthening routines etc Occupational Therapy Occupational therapists assess residents abilities and work on developing strategies and modifications to help them engage in the basic activities of daily living bADLs. This can include training in selfcare activities adaptive equipment use and environmental modifications to enhance residents functional independence. Speech Therapy Speech therapy programs focus on improving residents communication swallowing and cognitive skills. Speech therapists evaluate residents speech and language abilities address any speech impairments or swallowing difficulties and incorporate cognitive exercises to promote mental acuity and linguistic abilities.;STARTING THE PROCESS To start the application process please consult a medical social worker herein known as referring MSW at the hospital or polyclinic that your loved one is receiving treatment at for an assessment and to explore care options. If assessed to be suitable for nursing home placement the referring MSW will assist you to submit an application to AIC. Medical nursing social and financial assessments will be required to support the application. You may also indicate your preference for location subject to availability. ASSESSING APPLICATION Upon receiving the referral from AIC we will arrange to assess the nursing needs of the elderly either via zoom andor onsite meetings. If elderly is assessed suitable our MSW will then arrange for a face to face meeting with family spokespersons for financial counselling and to provide information about our services and environment. Kindly note that a meeting with our MSW does not confirm admission. After the meeting our MSW will submit a preadmission report to our Admissions Committee for final evaluation. ACCEPTANCE RESULTS We will update the result of the evaluation via the referring MSW who will be responsible for updating the spokesperson the outcome. When accepted we will update your referring MSW and heshe will work with you for the details and transport arrangements to transfer your loved one over to our nursing home on a predetermined date.;"Brighthill Evergreen Home   Leaflet  OneMap  contributors  Singapore Land Authority 100 Punggol Field 
S828811 Visiting Hours
11.00 am  6.00 pm
Mon  Sun including PH

Opening Hours
8.30 am  5.30 pm
Mon  Fri 6459 3492 enquiry@bheh.org Website";httpswww.sgsocialsupport.comresource2SZa5KYwvXy
