Name;Description;Link;Full Content;Who can apply;What to expect;How to apply;Contact;Source URL
GEM New Start Centre;"GEM New Start Centre Limited GEM NSC is a nonprofit that reaches out to young women aged 1825 years old who have experienced psychological distress familial issues incarceration or are placed under a probation order.
The foundation of GEM NSC is the belief that every woman regardless of their background has the potential to shine and display their true beauty while empowering them to live a purposeful and fulfilling life.";httpswww.sgsocialsupport.comresourcezZHjMnKBGam;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"GEM New Start Centre   Leaflet  OneMap  contributors  Singapore Land Authority No 2 Springleaf View 
S787908 6266 3310 admin@gemnsc.com Website GEM New Start Centre   Leaflet  OneMap  contributors  Singapore Land Authority No 2 Springleaf View 
S787908 6266 3302 admin@gemnsc.com Website";httpswww.sgsocialsupport.comresourcezZHjMnKBGam
Adopt a Family  Youth Scheme AMP Singapore;AMP introduced the Adopt a Family amp Youth Scheme AFYS in 1999 to encourage selfreliance within disadvantaged families. Under the scheme families are assisted through financial assistance and management economic empowerment socioeducational and parental education programmes and family life skills workshops.Adult family members undergo skills training either in economicallyviable areas to increase their employability or in setting up a homebased business as an alternative source of income. Schoolgoing children under AFYS are enrolled into tuition and enrichment programmes to enhance their academic development. Parental education programmes and family life skills workshops are also conducted for parents under AFYS to equip them with the knowledge and skills to improve the quality of their family life.;httpswww.sgsocialsupport.comresources6nXP73MHT2;No Content Found;AFYS assists lowincome families with schoolgoing children who meet the following eligibility criteria Monthly household income  2500 or per capita income PCI  650 Have young or schoolgoing children Show the potential to be selfreliant;1. Financial Assistance and Management Monthly tracking of household income and expenditure Oneoff partial payment or development of an instalment plan with the relevant agencies 2. Economic Empowerment Skills upgrading courses to increase employability for adult family members Training to set up micro business or homebased business to supplement andor strengthen family income status 3. SocioEducational Development Tuition classes Parttime religious classes  madrasah  Transport concession i.e. EZlink reimbursements Payment of Examination fees Childcare kindergarten and student care fees Educational workshops such as school holiday enrichment programmes Education bursaries 4. Others Counselling services Festive period assistance i.e. Hari Raya preparation Parenting workshops Financial workshops;Call the AMP Helpline at 64163960 or 64163961 to make an appointment for assessment For further enquiries about the programme email to helpliners@amp.org.sg;AMP Singapore 6416 3960 6416 3961 helpliners@amp.org.sg Website;httpswww.sgsocialsupport.comresources6nXP73MHT2
Adullam Life Counselling;At Adullam Life Counselling we are a nonprofit society that provides support and practical help for people facing debt issues. We are a Christian based organisation but pledges to serve the community without any racial or religious bias. Give us a call to find out how we can help.;httpswww.sgsocialsupport.comresourceHavM62eadNb;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Adullam Life Counselling   Leaflet  OneMap  contributors  Singapore Land Authority Office Address
151 Chin Swee Road 0804
Manhattan House 
S169876 6659 7844 admin@adullam.org.sg Website Adullam Life Counselling   Leaflet  OneMap  contributors  Singapore Land Authority Counselling Session Address
315 Outram Road 1502A
Tan Boon Liat Building
 
S169074 Please note that counselling sessions are held every Tuesday and Thursday evening and are strictly on an appointment basis only. 6659 7844 admin@adullam.org.sg Website";httpswww.sgsocialsupport.comresourceHavM62eadNb
AsSalaam  PPIS;"A Divorce Support Specialist Agency with more than 25 years of experience in divorce counselling working with MalayMuslim single parent families in Singapore.
We provide support for divorcing parents and single parent families to move on and cope with the challenges to rebuild their families through divorce counselling and community support. Appointed as a Divorce Support Specialist Agency DSSA by the Ministry of Social and Family Development MSF in 2015 our staff are equipped with specialised knowledge and skills in handling divorce issues and providing divorce counselling services. AsSalaam offers counselling and programmes such as Parenting PACT and Children in Between CiB to help divorced parents and children better cope with the impact of divorce.";httpswww.sgsocialsupport.comresourceGGEVTUny7QQ;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Fill up interest form at httpsppis.sgassalaam;"PPIS AsSalaam   Leaflet  OneMap  contributors  Singapore Land Authority Blk 41 Chai Chee Street 0116 
S461041 6745 5862 assalaam@ppis.sg Website PPIS Head Office   Leaflet  OneMap  contributors  Singapore Land Authority Blk 1 Eunos Crescent 012509
 
S400001 6744 0258 info@ppis.sg";httpswww.sgsocialsupport.comresourceGGEVTUny7QQ
AWARE Sexual Assault Care Centre;"Safe. Free. Confidential.
The Sexual Assault Care Centre SACC at AWARE provides free services to those who have experienced sexual assault helping them deal with their experiences and make decisions about their next steps.
Sexual assault including rape can be highly traumatic. It can take a long time to recover after such a crime. If you have been a victim of sexual assault please know that it is not your fault.
Recovering can take time and courage but no one has to go through this experience alone. We work to create a supportive environment and to provide a safe place to seek help.
All calls to and cases at the SACC are kept strictly confidential.";httpswww.sgsocialsupport.comresourcehcRFh2abC;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"AWARE Sexual Assault Care Centre   Leaflet  OneMap  contributors  Singapore Land Authority 5 Dover Crescent
0122  
S130005 6779 0282 sacc@aware.org.sg Website";httpswww.sgsocialsupport.comresourcehcRFh2abC
Be Kind SG;"We aim to create and inspire a kind and inclusive society for persons with disabilities such as intellectual disabilities and autism.
We began as a groundup movement in 2017 and were inducted into Singapore Kindness Movements Kindred Spirit Circle in 2018. We were also recognized as a Groundup Central member under National Volunteer amp Philanthropy Centre. In Q4 2021 we incorporated under ACRA as a nonprofit organization to better serve the needs of our communities UEN 202133971G. Since March 2023 we are registered as a charity under the Charities Act in Singapore Sector Administrator Ministry of Social and Family Development. Through our work we support the Sustainable Development Goals SDG 10 Reduced Inequalities and SDG 17 Partnership for the Goals.";httpswww.sgsocialsupport.comresourcewVSE8ZuSUn6;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Be Kind SG Website;httpswww.sgsocialsupport.comresourcewVSE8ZuSUn6
Brotherhood THK FSC;"Thye Hua Kwan Moral Charities THKMCs  Brotherhood programme an initiative to support men who have committed family violence in their healing process. 
The Brotherhood programme aims to break the intergenerational cycle of violence by supporting men who have caused harm to others to be a part of the solution in ending family violence said THKMC.
httpswww.straitstimes.comsingaporeovercomingfamilyviolencebrotherhoodprogrammehelpsover80men";httpswww.sgsocialsupport.comresourcejcAgAE3nFpM;No Content Found;Males who are experiencing aggression with their love ones and are motivated to work on it.;Valueadded services Meals provided family outing monthly exercise podcast support;Please contact the organisation for more details.;"Ben THK Family Service Centre @ Bedok North   Leaflet  OneMap  contributors  Singapore Land Authority Blk 554 Bedok North Street 3 01241 
S460554 9487 2880 benang@thkmc.org.sg Website Ben THK Family Service Centre @ Bedok North   Leaflet  OneMap  contributors  Singapore Land Authority Blk 554 Bedok North Street 3 01241 
S460554 6449 1440 benang@thkmc.org.sg";httpswww.sgsocialsupport.comresourcejcAgAE3nFpM
Canine Programme EQUAL;The Canine Programme is aimed at developing socialemotional skills in our beneficiaries through experiential learning during our multisession programme with our canine partners.;httpswww.sgsocialsupport.comresourcempkrqxbAXt;No Content Found;Children and youth at risk People with disabilities age 13 and above Seniors age 65 and above especially those with dementia and depression living in institutions or the community;"4 to 8 weekly sessions
Each session is 1 to 1.5 hours long
Weekdays";Please contact the organisation for more details.;"Canine Programme EQUAL   Leaflet  OneMap  contributors  Singapore Land Authority Enabling Village 20 Lengkok Bahru 0119C 
S159053 canineprogramme@equal.org.sg Website";httpswww.sgsocialsupport.comresourcempkrqxbAXt
Cheng Hong Welfare Service Society CHWSS;"Cheng Hong Welfare Service Society CHWSS was officially registered with Registrar of Societies and subsequently granted Institution of Public Character IPC status by the Commissioner of Charities in 2004. In 2005 CHWSS became a full member of National Council of Social Service NCSS.
Till date Cheng Hong Welfare Service Society operates 10 TCM clinics and a mobile TCM clinic island wide providing pro bono traditional Chinese treatment and medication to the needy. It also offers other charitable services such as providing food ration education grants visit to homes and bringing the elderly for tours etc.
In October 2012 Cheng Hong Welfare Service Society established an Afterlife Memorial Service  the first of its kind in Singapore. This service provides free funeral and bereavement services to those who require such services regardless of race and religion.";httpswww.sgsocialsupport.comresourcev9zvGLAExbU;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Cheng Hong Welfare Service Society CHWSS   Leaflet  OneMap  contributors  Singapore Land Authority 37 Tannery Lane 0601 Tannery House
 
S347790 Mon  Fri 9am to 6pm 6914 9508 admin@chenghongwelfare.org Website";httpswww.sgsocialsupport.comresourcev9zvGLAExbU
Cornerstone Development Initiatives CDI Redeemed Cornerstone Community Services;"The Cornerstone Development Initiatives CDI Redeemed is a transport allowance scheme for 3 months aims at helping exoffenders integrate back into society as they embark on a new job upon release. This scheme is applicable to exoffenders who have secured employment and application can only be made by their employer.

Subject to application criteria";httpswww.sgsocialsupport.comresource9yz3DPsB5YM;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;For more enquiries click here .;"Cornerstone Development Initiatives CDI Redeemed Cornerstone Community Services   Leaflet  OneMap  contributors  Singapore Land Authority 11 East Coast Road 0113 The Odeon Katong 
S428722 6344 7321 Website Cornerstone Development Initiatives CDI Redeemed Cornerstone Community Services   Leaflet  OneMap  contributors  Singapore Land Authority 11 East Coast Road 0113 The Odeon Katong 
S428722 Tue  Fri 11am  4pm 6344 8063 Website";httpswww.sgsocialsupport.comresource9yz3DPsB5YM
Daddies For Life THK FSC;This groupwork enables daddies to be aware of the challenges they might be facing and to equip them with skills to improve their socioemotional wellbeing. This groupwork will cover psychoeducation to develop and improve life skills to improve their relationships with their children. For daddies who do not have access to their children the groupwork will create a safe space for participants to build a community of support for each other to cope with the challenges of being a single father.;httpswww.sgsocialsupport.comresource2eGmpsPHKmv;No Content Found;"1 Daddies who have filed for divorce withwithout access of childchildren 
2 Daddies who are divorced with or without access to childchildren 
3 Daddies who have been separated from their spouses for more than 3 years.";Valueadded services Build a small informal support within the group Trained to become daddy buddy volunteers to befriend other single fathers to grow the support network Acquire life skills to build better relationship with their children and improve their socioemotional wellbeing through bonding activities.;Please contact the organisation for more details.;"Mou Nyee THK Centre For Family Harmony @ Commonwealth   Leaflet  OneMap  contributors  Singapore Land Authority 54 Commonwealth Drive 01566  
S142054 6357 9182 mounyee.lim@thkmc.org.sg Website";httpswww.sgsocialsupport.comresource2eGmpsPHKmv
Empowering Mums English Club YWCA;"Learning Never Stops
Recognising that language is a powerful tool that connects people the Empowering Mums English Club EC is a free English curriculum for lowincome mums of Singaporean families. The programme aims to empower mums to gain control of foundational English skills for daily conversations with the theme centering on the neighbourhood in a housing estate.
The programme covers five proficiency levels of learning according to the International English Language Testing System IELTS standards. Various learning tools and activities ensure an engaging experience tried and tested in previous terms.
Classes are held with trained volunteers for 2 hours each session. Childminding services will be provided on a needs basis with reading and play elements.";httpswww.sgsocialsupport.comresourceJEypgLcXun4;No Content Found;Mother of a Singaporean or Permanent Resident child Singaporean Permanent Resident holding or applying for at least LongTerm Visit Pass or more permanent stay in Singapore On some form of financial aid or similar assistance or living in an HDB rental flat other situations subject to case by case approval Primary school level English;Please contact the organisation for more details.;Social worker to email csp@ywca.org.sg Attach Form Attach All Necessary Documents Attach Valid Social Report;"Young Womens Christian Association   Leaflet  OneMap  contributors  Singapore Land Authority 254 Outram Road 
S169051 6223 1227 csp@ywca.org.sg Website";httpswww.sgsocialsupport.comresourceJEypgLcXun4
