Name;Description;Link;Full Content;Who can apply;What to expect;How to apply;Contact;Source URL
Binder Redistribution Service  Transbefrienders ;Transbefrienders is a registered nonprofit organisation providing appropriate information and emotional support to guide transgender youths in their transitioning journey. We also act as an intermediary support for folks going through the healthcare system in Singapore to manage suicidal ideation and prevent suicide attempts.Transbefrienders runs a binder redistribution project for FTMtransmasculine people.;httpswww.sgsocialsupport.comresource99FpZmx85BH;No Content Found;FTMTransmasculine people in need of a binder;Please refer to the terms and conditions on the binder redistribution form provided by TransBefrienders. Applicants will only be contacted if there is an available binder.;Please apply at httpswww.transbefrienders.combinder;"Transbefrienders Alicia Community Centre   Leaflet  OneMap  contributors  Singapore Land Authority 7 Race Course Ln 
S218734 befriend@transbefrienders.com Website";httpswww.sgsocialsupport.comresource99FpZmx85BH
Books Dont Throw;Exchange space to give books a second lease of life for members based in Singapore. All books here should be given F.O.C. or barter traded. The aim of this group is to promote reading reduction of waste and spreading kindness.;httpswww.sgsocialsupport.comresourcedXkNyBJxP63;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Books Dont Throw Website;httpswww.sgsocialsupport.comresourcedXkNyBJxP63
DigiReady @ North West  Donations to the programme North West CDC;"DigiReady @ North West provides holistic support to vulnerable residents in the following aspects of digital readiness refurbished devices and accessories subsidised broadband and troubleshooting faulty digital devices.
Support on Digital Devices
Students seniors and families from lowincome backgrounds may request for free refurbished devices through our community partners e.g. Community Clubs and Social Service Agencies.
Contribute to the programme
Donate your preloved IT equipment It will be refurbished with a new form of life for underprivileged students seniors or families.
What items can you contribute

Laptops
Mobile phones and tablets
Keyboard and mouse
Headset
Laptop bag

Complete this form httpsgo.gov.sgdigiready to schedule for dropoff or home collection.";httpswww.sgsocialsupport.comresourcemqxyJ4P39u;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;North West CDC 6248 5566 northwestcdc@pa.gov.sg Website;httpswww.sgsocialsupport.comresourcemqxyJ4P39u
DigiReady @ North West North West CDC;DigiReady @ North West provides holistic support to vulnerable residents in the following aspects of digital readiness refurbished devices and accessories subsidised broadband and troubleshooting faulty digital devices.Subsidised broadbandThe scheme supports beneficiaries under the IMDAs DigitalAccess @ Home Scheme who are residing in the North West providing additional subsidies of up to 250 for a period of three years contract.To apply for the scheme please complete this form and submit all supporting documents. Our officer will get in touch with you upon successful application.;httpswww.sgsocialsupport.comresourceW7PDpwXF7R;No Content Found;"Recipient of subsidised broadband under IMDAs DigitalAccess@Home Scheme
Resident of North West District";If your application is successful you will receive 250 oneoff assistance for broadband subscription;Visit httpsgo.gov.sgnwdigiready Prepare your supporting documents DigitalAccess@Home approval letter from IMDA New telco contract Bank supporting documentPayNow profile screenshot Copy of your NRIC;North West CDC 6248 5566 northwestcdc@pa.gov.sg Website;httpswww.sgsocialsupport.comresourceW7PDpwXF7R
Engineering Good;"About Engineering Good EG
EG is a Singaporebased charity that supports vulnerable communities through sustainable engineering and technology. Our donations are channelled to serve over 200 social service agencies in Singapore. We focus our efforts on two key groups.

Assistive Technology AT for Persons with Disabilities PwDs EG develops technical solutions that empower PwDs to live independent and fulfilling lives. This includes the following programs
 Tech for Good A festival that brings together youth innovators tech and engineering mentors and the disability community to collaboratively build affordable opensource AT devices and solutions.
 Inclusive Makerspace A space where makers and tinkerers can access free tools to create opensource AT solutions.
 Bespoke Projects Collaborative initiatives with social service agencies and community groups to directly support PwDs with tailored AT solutions.
Digital Inclusion Initiatives for Vulnerable Communities EG empowers disadvantaged communities by providing digital connectivity and the necessary skills. The programs in this area include
 Laptop Refurbishment and Distribution EG refurbishes and distributes laptops to individuals who lack access enabling them to stay digitally connected.
 Laptop Refurbishment Workshops EG runs laptop repair training with corporate partners and volunteers to inculcate a repair mindset where volunteers can provide tech support for vulnerable communities.";httpswww.sgsocialsupport.comresourceEVxrEsw6chG;No Content Found;Social service agencies who wishes to request laptops for their beneficiaries should email to request4laptops@engineeringgood.org with their request.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Engineering Good   Leaflet  OneMap  contributors  Singapore Land Authority 994 Bendemeer Road BCentral 0204

 
S339943 MonFri  Sun 10am6pm contactus@engineeringgood.org Website";httpswww.sgsocialsupport.comresourceEVxrEsw6chG
Free Prescription Glasses KembanganChai Chee PA;KembanganChai Chee provides free prescription glasses to needy individuals who are not able to afford proper eye care.;httpswww.sgsocialsupport.comresourcevYk7feJb5Ne;No Content Found;Resident must reside within KembanganChai Chee;Free pair of prescribed glasses;To approach Kampong Ubi CC for assistance;"KembanganChai Chee PA   Leaflet  OneMap  contributors  Singapore Land Authority 10 Jalan Ubi 
S409075 1000AM  600PM Closed on Public Holidays 6745 9919 Website";httpswww.sgsocialsupport.comresourcevYk7feJb5Ne
ItsRainingRaincoats;ItsRainingRaincoats IRR is an initiative that aims to improve the lives of migrant workers in Singapore by building bridges to strengthen their integration into our community city and country. We employ authentic and nimble strategies to help improve the quality of the workers lives and make them feel valued appreciated safe and welcome in Singapore. Our raincoat emblem symbolizes the protection we provide them from their metaphorical thunderstorms.;httpswww.sgsocialsupport.comresourceeUE8E4EXM5V;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;ItsRainingRaincoats admin@itsrainingraincoats.com Website;httpswww.sgsocialsupport.comresourceeUE8E4EXM5V
PassItOn;"The project seeks to provide a meaningful way to distribute unwanted albeit useful items to benefit the needy home appliances home furniture medical aids mobility aids learning aids amp etc. With PassItOn  your used item can be given a new lease of life and to better the life of needy
PassItOn connects General Public to the needy via Voluntary Welfare Organizations VWOs. PassItOn provides a web platform by channelling the donated items to the needy under the VWOs for examples Family Service Centres and Senior Citizen Centres care. Anyone within Singapore can donate as long as the items are useful and of good working condition.
VWOs registered with PassItOn can request items on Wish List. General Public can fulfil needy wishes by donating the requested items. Alternatively General Public can post them on PassItOn website. The donated items will be made available to all registered VWOs who shall reserve the donated items if find suitable for their needy clients. VWOs shall arrange collection of the donated items directly with the donor.";httpswww.sgsocialsupport.comresourcewD4jcJh5HhS;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"The Helping Hand 819 Upper Serangoon Road
Singapore 534678 8511 9160 passiton@thehelpinghand.org.sg Website";httpswww.sgsocialsupport.comresourcewD4jcJh5HhS
Play It Forward;"Public pianos around Singapore for all to play
Play it Forward Singapore is a homegrown public piano movement launched by three piano nerds in September 2015.
The idea first came about when we heard about the large number of old pianos being thrown away every year. Many people we know love to play the piano but stopped doing so for various reasons. Hundreds of neglected pianos are gathering dust in homes across Singapore right now. At the same time there are some among us who cannot afford to own a piano or do not have access to this instrument. 
So we thought why not rescue these unwanted instruments and share them with everyone 
We wanted people to love playing music again so we decided to place these pianos in public spaces as public instruments that anyone can play on anytime. But what if these pianos can look interesting too  We collaborated with local artists and designers to transform old pianos into public art pieces while remaining as functional instruments that are a joy to play on.
As musicians ourselves we are particular about the sound quality of the old pianos and will do everything we can to make sure that everyone enjoys playing on them in a location with good acoustics. We hire professionals to tune all our public pianos and sometimes we ourselves give it a go at repairing the hammers and strings
Till today we have restored more than 20 pianos into public art installations which were donated to needy beneficiaries after the public run. Our public pianos have since traveled to more than 16 locations in the city and played by thousands of people since.
We have seen people whose faces lit up with a smile when a friend sits down to play a tune musicians who now have a place to practise and perform urban spaces transformed into places for interaction and bonding and numerous videos of beautiful performances on the street by musicians and curious onlookers. It makes our day when we see people gathering around the pianos and enjoying the music in the Singapore city.
We have successfully completed our fourth edition of public pianos in the city and preparing for our latest edition commencing in August 2017. Check out more about the pianos here. Play It Forward Singapore was commended by the Ministry of Culture Community Youth and Sports MCCY Our Singapore campaign as one of the ideas that are changing Singapore in 2016.
We cannot wait to do more and bring together more people in this movement of giving collaborating and sharing the joy of music in our lion city.";httpswww.sgsocialsupport.comresourceGQJPr4YRcvu;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Play It Forward sg.playitforward@gmail.com Website;httpswww.sgsocialsupport.comresourceGQJPr4YRcvu
Positive Appearance Scheme BCF;The Positive Appearance Scheme provides sponsorship for prostheses and bras for lowerincome women diagnosed with and survivors of breast cancer. It is only available at government run restructured hospitals.;httpswww.sgsocialsupport.comresourceZvAb2p39s;No Content Found;The following are the criteria Women who have had mastectomy surgery at least 3 months prior so as to allow time for the surgery stitches to heal  the application can be submitted earlier Patients must be referred by their hospitals Medical Social Worker MSW Those who qualify for it could approach their medical social worker for more information on the application for the scheme.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Breast Cancer Foundation   Leaflet  OneMap  contributors  Singapore Land Authority Blk 441 Sin Ming Avenue 01417 
S570441 6356 6560 enquiries@bcf.org.sg Website";httpswww.sgsocialsupport.comresourceZvAb2p39s
Recyclopedia;Recyclopedia is a Singaporebased groundup initiative started in 2021 by a group of volunteers who wanted to make it easy to find answers to common questions about unwanted items.;httpswww.sgsocialsupport.comresourcePfpBp7dHqDD;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Recyclopedia hello@recyclopedia.sg Website;httpswww.sgsocialsupport.comresourcePfpBp7dHqDD
