Name;Description;Link;Full Content;Who can apply;What to expect;How to apply;Contact;Source URL
Brahm Centre;Pro bono legal advice on an appointment basis.;httpswww.sgsocialsupport.comresourceSvHdCLHx77r;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Email a summary of your situation and contact details;"Brahm Centre  Central   Leaflet  OneMap  contributors  Singapore Land Authority 47 Scotts Road 0402A
Goldbell Towers 
S228233 MonFri 9.00am  6.00pm
Sat 9.00am  5.00pm
Sundays and Public Holidays Closed 6610 3870 info@brahmcentre.com Website Brahm Centre  East   Leaflet  OneMap  contributors  Singapore Land Authority Blk 55 Pipit Road 0101 
S370055 MonFri 9.00am  6.00pm
Sat 9.00am  5.00pm
Sundays and Public Holidays Closed 6741 1131 info@brahmcentre.com Website Brahm Centre  East   Leaflet  OneMap  contributors  Singapore Land Authority Blk 473 Tampines Street 43 0194 
S520473 MonFri 9.00am  6.00pm
Sat 9.00am  5.00pm
Sundays and Public Holidays Closed 6908 2122 info@brahmcentre.com Website Brahm Centre  East   Leaflet  OneMap  contributors  Singapore Land Authority Blk 227 Simei Street 4 0150 
S520227 MonFri 9.00am  6.00pm
Sat 9.00am  5.00pm
Sundays and Public Holidays Closed 6786 0800 info@brahmcentre.com Website";httpswww.sgsocialsupport.comresourceSvHdCLHx77r
Catholic Lawyers Guild Pro Bono Legal Clinic;"CLG provides free basic legal advice and information on personal matters such as family issues estates employment personal accidents tenancy disputes monetary claims motor and industrial accident claims etc. Such legal assistance is open to all regardless of religious faith or nationality and cover both criminal and civil matters but is intended for the poor disadvantaged and sandwiched classes. If you are 

Facing a legal issue on a personal matter and do not have legal advice or representation
Facing a legal dispute that you wished to have mediated and resolved or
Unable to afford a lawyer

You may wish to register for an appointment to receive free basic legal advice.";httpswww.sgsocialsupport.comresourcemBXtRWM75hq;No Content Found;;Please contact the organisation for more details.;REGISTER FOR A CLG PRO BONO LEGAL CLINIC SESSION Registration is required before an appointment will be given to you to attend the clinic please use the form accessible from the button above. You can also call us at 65 6801 7494 or email us . In order for our lawyers assisted by law students from local universities to assist you better you are strongly encouraged to email us some basic information  background of your legal matter using our registration form. The more details you provide the better prepared the lawyers can be.;"Catholic Lawyers Guild CLG   Leaflet  OneMap  contributors  Singapore Land Authority Agape Village 7A Lorong 8 Toa Payoh 
S319264 6801 7494 admin@clgsingapore.com Website";httpswww.sgsocialsupport.comresourcemBXtRWM75hq
Community Justice Centre;"A large number of court users appearing before the State Courts are not represented by lawyers. Equipped with little or no legal knowledge LitigantsinPerson LiPs often perceive the legal system as intimidating and therefore lack the confidence to conduct their cases frequently struggling to have their voices heard in the courtroom. Without assistance to navigate through the legal and judicial processes it is possible that some of them within this group may be at a disadvantage. Justice may not be seen to be done if LiPs are unable to effectively understand and participate in the legal process. They may feel that they are not given fair hearings or are unjustly deprived of their rights.
By being the nucleus of this new sociolegal approach is to ensure that the justice system remains accessible to all regardless of status or race. The CJC is envisaged to be a onestop hub that delivers a seamless amalgamation of services for needy court users.";httpswww.sgsocialsupport.comresourceJmVT4ZmEU3;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Community Justice Centre 6557 4100 help@cjc.org.sg Website;httpswww.sgsocialsupport.comresourceJmVT4ZmEU3
Community Legal Clinic @ Kembangan  Chai Chee;Residents within KembanganChai Chee can receive free legal advice dealing with Lasting Power of Attorney LPA employment marriage matters and etc. Sessions are held on the fourth Monday of every month excluding public holidays at Ansar RC Centre.;httpswww.sgsocialsupport.comresourceKL72hZvrA8m;No Content Found;Resident must reside within KembanganChai Chee Priority Marine Parade GRC Residents;Please contact the organisation for more details.;Attend legal clinic sessions located at Ansar RC Centre dates and times for sessions can be found in the table below Ansar RC Address 32 Chai Chee Ave 01218 Singapore 461032 Time 730PM  930PM 27 Feb 2023 27 Mar 2023 24 Apr 2023 22 May 2023 26 Jun 2023 24 Jul 2023 28 Aug 2023 25 Sep 2023 23 Oct 2023 27 Nov 2023;Kembangan  Chai Chee PA Website;httpswww.sgsocialsupport.comresourceKL72hZvrA8m
Friends of LitigantinPerson FLiP  Community Justice Centre;Attending court trials can be intimidating for a LiP. The overall objective of the Friends of LitigantInPerson FLiP programme is to empower LiPs during trial by giving them confidence and clarity of the court process. A FLiPper will provide practical guidance on nonlegal issues as well as moral support such asInformation on court processes and procedural mattersAccompany and attend court hearings with youExplain key information and instructions given by the attending Judge;httpswww.sgsocialsupport.comresourcethX6XhRRcsT;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;If you are doing selfrepresentation you may request for the FLiP application form at the CJC HELP Centre. Please allow a minimum of 7 working days to process your application. All applications are subjected to approval.;Community Justice Centre 6557 4100 help@cjc.org.sg Website;httpswww.sgsocialsupport.comresourcethX6XhRRcsT
Legal Advice Service Jamiyah Welfare Department;Jamiyah Welfare Department JWD was established in 1974. It is among societies providing care and assistance to those in need such as the disabled less fortunate widows orphans and families of drug detainees.Jamiyah has a panel of Muslim and nonMuslim volunteer lawyers who provide free legal advice and counselling to clients of all races and faiths. Issues like family disputes matrimonial problems and division of property are examples of areas in which our volunteer lawyers are capable of attending to.It is our aim to make our Legal Clinic accessible to the community at large and to render assistance to the needy.;httpswww.sgsocialsupport.comresourcenV2Bx2Z3f98;No Content Found;All are welcome no citizenship restriction but income should be 3500 and below.;Jamiyahs panel of volunteer lawyers provides legal advice and counseling to clients of all races on matters of family disputes matrimonial division of property etc.;Kindly call 6743 1211 to make an appointment. No walk ins are allowed.;"Jamiyah Welfare Department   Leaflet  OneMap  contributors  Singapore Land Authority 31 Lorong 12 Geylang 
S399006 Mon  Thurs 9.00am to 6.30pm
Friday 9.00am to 6.00pm
Saturday 9.00am to 1.00pm 6743 1211 adminjcc@jamiyah.org.sg Website";httpswww.sgsocialsupport.comresourcenV2Bx2Z3f98
Legal Clinic AWARE;AWARE offers a free appointmentbased legal clinic service for women who need to know their legal rights and options in order to take the next steps.Our volunteer lawyers are able to help women understand how the law affects them within a free onetime 20minute consultation.These include situations within marriage separation divorce custody maintenance family violence monetary claims and other personal issues.Our volunteers are trained in civil and Syariah law. As the legal clinic service is conducted via phone call it is essential to have a working Singapore telephone number. We are unable to make calls via WhatsApp.;httpswww.sgsocialsupport.comresourcehNmTmmfEzkj;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;To register for a legal clinic session please call us via our Womens Helpline 1800 777 5555 or reach out to us via our online chat . There is no walkin option. If you have experienced sexual violence or harassment please contact the Sexual Assault Care Centre httpwww.sacc.aware.org.sg .;Legal Clinic AWARE 1800 777 5555 Website;httpswww.sgsocialsupport.comresourcehNmTmmfEzkj
Legal Clinic FaithActs;"FaithActs in partnership with West Legal Clinic seeks to provide free basic legal advice to individuals on personal matters except for Sharia law.
The 20minute meeting with a qualified lawyer will cover areas in which the individual is not legally represented. This session is open only to Singaporeans and Permanent Residents only.";httpswww.sgsocialsupport.comresourcey5UgYWkrWr7;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Pat Tan 6339 7611 info@faithacts.org.sg Website;httpswww.sgsocialsupport.comresourcey5UgYWkrWr7
Legal Clinic Service AlIman Mosque;AlIman Mosque offers free interim legal consultation every month usually on a 2nd Friday of the month in the evening after Isya prayers. nbsp;httpswww.sgsocialsupport.comresourceMG24GnZ6gV;No Content Found;Please contact the organisation for more information on eligibility.;Please contact the organisation for more information.;Book a slot through the website link at httpsalimanmosque.org.sgfreelegalclinic or call in at 6769 0770.;"AlIman Mosque   Leaflet  OneMap  contributors  Singapore Land Authority 10 Bukit Panjang Ring Road 
S679943 6769 0770 aliman@aliman.mosque.org.sg Website";httpswww.sgsocialsupport.comresourceMG24GnZ6gV
Legal Clinic Service Muslim Converts Association of Singapore;The Muslim Converts Association of Singapore is a nonprofit organization based in Singapore that was formed with the objective of having a place where the new Muslim converts could get together and develop the fraternal religious and social relationships among themselves. We provide education financial and social support to our members as well as the public who are interested in our services.;httpswww.sgsocialsupport.comresourcehTGN2CL7uXy;No Content Found;Individuals who do not have access to legal representation;Our volunteer lawyers offer free legal advice to individuals who do not have access to legal representation. They cannot create any documents for you. The legal clinic is held on every first and third Saturdays of the month from 10.30 am to 12.15 pm. This service is provided to members of Muslim Converts Association of Singapore MCAS and the public based on appointments made with the staff at Corporate Affairs. The Legal Clinic handles various cases including marital and civil matters.;Please make an appointment at httpswww.darularqam.org.sglegalclinic;"Muslim Converts Association of Singapore   Leaflet  OneMap  contributors  Singapore Land Authority 32 Onan Road The Galaxy  
S424484 6348 8344 Website";httpswww.sgsocialsupport.comresourcehTGN2CL7uXy
