Name;Description;Link;Full Content;Who can apply;What to expect;How to apply;Contact;Source URL
Carehaven The Salvation Army;We provide a residential care programme for foreign domestic workers who are caught in challenging circumstances and require shelter. We also serve as an advocate for safe migration practices to help foreign domestic workers return safely to their home country.;httpswww.sgsocialsupport.comresourceuGvqDMpBYxe;No Content Found;Please contact the organisation for more details.;"Counselling
Guidance and counselling help foreign domestic workers cope with their challenges. Language Classes
Equip them with basic English language skills for better communication. Enrichment Programmes
Engage them with meaningful activities such as singing games and handicraft sessions. Upskilling
Upskill them by furnishing them with employable skills such as basic computer skills. Spiritual Care
Pastoral support and activities help uplift the lives of the domestic workers.";Please contact the organisation for more details.;"Carehaven The Salvation Army   Leaflet  OneMap  contributors  Singapore Land Authority CO The Salvation Army Territorial Headquarters
20 Bishan Street 22 
S579768 6555 0188 carehaven@smm.salvationarmy.org Website";httpswww.sgsocialsupport.comresourceuGvqDMpBYxe
Casework  Social Services Healthserve;Casework SupportHealthServe provides casework support to migrant workers with work injury claims and legal criminal or employmentrelated issues. Each year we assist on hundreds of cases.Our caseworkers follow up on each case closely even accompanying workers to the hospital for their checkups and medical assessments. With the help of the Ministry of Manpower hospitals pro bono lawyers and other community organisations we are working towards creating a Singapore where everyone is treated fairly.Social ServicesFor many workers the waiting period for work injury compensation or dispute resolution may last several months to more than a year. During this period workers on Special Passes are not allowed to work and receive no income.It can be difficult for them to afford daily necessities. To meet these needs HealthServe offers a variety of social assistance to these unemployed migrant workers including free meals phone and transport expenses and emergency funds. Outreach amp EngagementWe aim to build a community where migrant workers feel accepted and supported. We partner community organisations corporations and churches to host health carnivals and community events for our migrant friends. From informative health screenings to fun and meaningful celebrations these initiatives never fail to put a smile on their faces.We also continue to reach out to migrant workers in their dormitories to befriend them and inform them of their rights and resources available to them.;httpswww.sgsocialsupport.comresourceJvs5d3LdPCV;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Healthserve   Leaflet  OneMap  contributors  Singapore Land Authority 1 Lorong 23 Geylang 0107 Building 4 
S388352 info@healthserve.org.sg Website";httpswww.sgsocialsupport.comresourceJvs5d3LdPCV
Counselling Service Foreign Domestic Worker Association for Social Support and Training;FAST provides counselling service to Migrant Domestic Workers.  Our trained counsellors are professionals who volunteer their services to help MDWs during the weekend day off.;httpswww.sgsocialsupport.comresourcevcvDGR49znc;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Counselling times are scheduled on given dates.  MDWs or employers wishing to book time with our counsellors can do so by checking the Active Schedule. To book you need to provide your contact details either by logging into your account or to use the Guest booking option.;Foreign Domestic Worker Association for Social Support and Training FAST contact@fast.org.sg Website;httpswww.sgsocialsupport.comresourcevcvDGR49znc
FareGo TWC2;Unable to work injured workers often find themselves with a financial problem in addition to their worries over recovery. In theory they are entitled to salary or medical leave wages if the doctor has prescribed medical leave but in reality bureaucratic or other reasons often mean payment is badly delayed. Moreover because of their low salaries they have no savings. Virtually broke injured workers find that they do not even have the means to pay for transport to the hospital for their medical appointments or physiotherapy.nbsp They simply dont have money for transport.TWC2s FareGo programme provides small sums to injured workers so that they can top up their transport fare cards. Strict qualifying criteria are applied Applicants must be able to demonstrate that they are not allowed to work that they have an upcoming medical appointment and that a stipulated exclusion period since the last topup has passed.Although at an individual level the subsidies provided are small the total amount adds up to over 30000 annually since there are so many workers in need.;httpswww.sgsocialsupport.comresourceZFWzNeAPfhT;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"FareGo TWC2   Leaflet  OneMap  contributors  Singapore Land Authority 180B Bencoolen Street 0901
The Bencoolen 
S189648 Our office is open from 930am to 600pm Monday to Friday except public holidays. However we have a hybrid workfromhome arrangement and not all staff are in on all days. It is therefore advisable t 6247 7001 info@twc2.org.sg Website";httpswww.sgsocialsupport.comresourceZFWzNeAPfhT
Financial Management Courses for Foreign Domestic Workers Aidha;Aidha offers courses for domestic workers in money management communication computer and entrepreneurship.Aidhas mission is to help migrant domestic workers and lowincome Singaporean women achieve economic independence through financial education wealth creation and entrepreneurship.;httpswww.sgsocialsupport.comresource5KGXBVQF6Sb;No Content Found;Please contact the organisation for more details.;Module 1  Manage Your Money  Tech Module 2  Plan Your Financial Future Module 3  Start Your Business Aidha Business Accelerator Programme;Aidhas courses are designed to build helpers confidence in themselves and their future. Students learn how to save and invest how to speak and present themselves confidently and how to start a business. Courses start regularly and are led by trained volunteer mentors. All learning and teaching materials are provided.;Aidha 6341 5287 Website;httpswww.sgsocialsupport.comresource5KGXBVQF6Sb
Humanitarian Organization for Migration Economics;Founded in 2004 by the late Ms Bridget Tan HOME Humanitarian Organization for Migration Economics is dedicated to supporting and empowering migrant workers who experience abuse and exploitation. Three pillars guide us Welfare Empowerment and Advocacy. We work with corporations government agencies and community partners to promote inclusion justice equality and dignity for all.WelfareHelpdesknbspHOME operates a number of specialised helpdesks for all migrant workers seeking assistance. Our team of trained caseworkers and volunteers offer advice to workers unsure of their rights and options. Additionally HOME can assist with managing the endtoend process of workers cases supporting them to seek recourse whether that be legal medical financial or psychological.Shelter HOME offers a place of refuge and social support for all vulnerable domestic workers. Many of our residents have experienced abuse and exploitation and a number are in the process of seeking legal recourse or resolving disputes with their employers. With space for around 50 workers at any one time the shelter residents may stay for periods of a few days to over a year depending on the speed in which their cases are processed. In many instances HOMEs shelter is their only place of sanctuary at a time when many have no way to support themselves nor anywhere to stay in Singapore during their period of crisis. We seek to restore their dignity through holistic programmes and provide a variety of activities and services from English classes to counselling sessions.Medical Treatment HOME offers subsidised dental services and outpatient treatment for our shelter residents.Legal AidHOME provides free legal aid for workers in Singapore and continues to assist them on return to their country of origin.EmpowermentHOME Academy With the aim of empowering domestic workers in Singapore HOME Academy offers a variety of educational and vocational training programmes. Courses include English language computer literacy cooking cosmetology baking caregiving dressmaking and financial literacy. Many of our courses are run by volunteer domestic workers with specialised skills and a passion for empowering others.AdvocacyHOME is a leading proponent of migrant workers rights in Singapore and aims to increase awareness of their situation through public education and campaigns on issues affecting the migrant worker population. Through our advocacy work we hope to help bring about changes to improve the lives of migrant workers in Singapore.HOME seeks to gain greater insight into the lives of migrant workers and the issues that affect them and we carry out research projects into the employment and living conditions of migrant workers in Singapore. Find out more here.ImpactOur helpdesks provide employment advice legal aid financial assistance and medical services to approximately 2000 workers every year. At the HOME Shelter we house an average of 700 migrant domestic workers who are victims of abuse and exploitation. An additional 1600 women on average attend our skills training courses every year.Our role in advocacy has led to changes to laws and policies in Singapore such as the Employment of Foreign Manpower Act the Employment Act Foreign Employees Dormitory Act and the Prevention of Human Trafficking Act. HOME actively campaigns for a mandatory weekly dayoff for domestic workers and victimcentred human trafficking legislation.;httpswww.sgsocialsupport.comresourceEaWxe6yug2x;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Humanitarian Organization for Migration Economics Operating hours 10am6pm Monday to Friday
Office is closed on weekends and public holidays 6344 0224 helpdesk01@home.org.sg Website";httpswww.sgsocialsupport.comresourceEaWxe6yug2x
Mediation Service Foreign Domestic Worker Association for Social Support and Training;FAST is a registered service provider with the Singapore International Mediation Service SIMI and recognised by the Ministry of Manpower.  Certified Mediators provide mediation service to help MDWs employers and employment agencies resolve disputes in an amicable manner.;httpswww.sgsocialsupport.comresourceqhAMFU7KeEh;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Mediation Services are scheduled on given dates but can also be provided on an adhoc basis.  Parties wishing to book available mediation service can either check the Active Schedule or contact FAST at socialsupport@fast.org.sg To book you need to provide your contact details by logging into your account or use the Guest booking option.;"Foreign Domestic Worker Association for Social Support and Training FAST   Leaflet  OneMap  contributors  Singapore Land Authority FAST Clubhouse Centre

3 Chin Cheng Avenue 
S429401 contact@fast.org.sg Website";httpswww.sgsocialsupport.comresourceqhAMFU7KeEh
Medical and Dental Services HealthServe;"Healthcare is the heartbeat of HealthServe. Each year thousands of migrant workers walk through the doors of our community and dental clinic located in Geylang.
Our clinics offer subsidised health services to lowwage migrant workers with inadequate health assistance. We primarily support migrant workers in the construction marine and process CMP sector. 
On top of providing medical and dental care we also offer specialist consultations orthopedics dermatology and rehabilitation services occupational therapy physiotherapy.
For both consultation and medication patients only need to pay a flat fee of 8 for acute conditions and 15 for chronic disease care and dental services. Fees are waived for migrant workers who are Special Pass holders or those who have been referred by other partner NGOs.";httpswww.sgsocialsupport.comresource6ghSmZLLE4V;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Dental Clinic Healthserve   Leaflet  OneMap  contributors  Singapore Land Authority 1 Lorong 23 Geylang 0107 Building 4 
S388352 Monday Friday 10.00am  1.30pm 2.30pm  6.00pm
Tuesday Thursday 6.30pm  9.30pm

Closed on other days and public holidays.

By appointment only. Please call HealthServes 24hour helpline 3129 5 3129 5000 info@healthserve.org.sg Website Medical Clinic Healthserve   Leaflet  OneMap  contributors  Singapore Land Authority 1 Lorong 23 Geylang 0107 Building 4 
S388352 Priority given to migrant workers who are not under MOMs Primary Care Plan PCP

Opening hours
Tuesday Thursday 6.30pm  9.30pm

Closed on other days and public holidays. 3129 5000 info@healthserve.org.sg Website";httpswww.sgsocialsupport.comresource6ghSmZLLE4V
Medical Care TWC2;In a typical year the largest of our Care Fund programmes goes to providing medical care. Whilst the law obliges employers to purchase insurance and thereby provide medical care the law also sets out maximum limits to this obligation. There is a cap on how much medical costs need be borne by employers for injuries or illnesses. The cap is not unrealistic  in the main almost all cases would not require more medical care than permitted by the cap.Invariably however there will be outliers. These would be workers who have suffered such severe injures necessitating major brain surgery or reconstructive surgery for example that costs far exceed the amount employers are obliged to pay for. From time to time too workers come down with illnesses that may require long stays in hospitals or complex treatment again beyond the legal cap.Some employers go well beyond their legal obligation picking up the tab for extra medical care. Others do not. And thats where TWC2 has to come in on a humanitarian basis to ensure that the ill or injured worker does not see his treatment truncated and his suffering prolonged.TWC2 weighs each case very carefully. High priority is given to cases where surgery or medical treatment has a high chance of restoring the patient to an active working life so that he or she can continue to be a breadwinner. Where the prognosis is poor we scale our support accordingly.;httpswww.sgsocialsupport.comresourcew3kaMayrxnQ;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Medical Care TWC2   Leaflet  OneMap  contributors  Singapore Land Authority 180B Bencoolen Street 0901
The Bencoolen 
S189648 Our office is open from 930am to 600pm Monday to Friday except public holidays. However we have a hybrid workfromhome arrangement and not all staff are in on all days. It is therefore advisable t 6247 7001 info@twc2.org.sg Website";httpswww.sgsocialsupport.comresourcew3kaMayrxnQ
Mental Health  Counselling Services Healthserve;"Leveraging HealthServes medical expertise our multilevel mental health programme was launched in 2019 and is the first of its kind in Singapore aimed at supporting the mental and emotional wellbeing of the migrant worker community.
HealthServes Mental Health amp Counselling Services team provides a full range of services from Singapores first 24hour crisis helpline for workers to individual counselling services and large group psychoeducation workshops.
An advocate of AssetBased Community Development we work closely with ecosystem stakeholders  including government agencies hospitals industry associations dormitories and employers  to support and strengthen migrant workers mental wellbeing. Together we strive to empower our migrant community to take charge of their own health.";httpswww.sgsocialsupport.comresourceyhBh26ExNnF;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Healthserve   Leaflet  OneMap  contributors  Singapore Land Authority 1 Lorong 23 Geylang 0107 Building 4 
S388352 info@healthserve.org.sg Website";httpswww.sgsocialsupport.comresourceyhBh26ExNnF
