Name;Description;Link;Full Content;Who can apply;What to expect;How to apply;Contact;Source URL
Gymnasium BCare;"Gymnasium
Work out to keep fit
Have you ever tried to exercise and found it difficult to do it at home You would love to work out at our wellequipped air conditioned gymnasium with shower facilities.
You can also have a cup of tea and catch up with fellow enthusiasts at our gym caf.
We provide subsidies for participants from lowincome families. Feel free to contact us for more details.
Address Blk 574 Hougang St 51 0109 Singapore 530574";httpswww.sgsocialsupport.comresourcerp6MZRHydg;No Content Found;Please contact the organisation for more details.;"Rates
Adult Above 18 yrs old  3.50 per entry
Student 13 years  above and Senior Citizen 60 years  above  2.50  per entry";Please contact the organisation for more details.;"Edmund Woon   Leaflet  OneMap  contributors  Singapore Land Authority Blk 574 Hougang St 51 0109 
S530574 Mon to Fri 2.30pm to 10.00pm
Sat 11.00am to 7.00pm 6387 0686 edmundwoon@bcare.org.sg Website";httpswww.sgsocialsupport.comresourcerp6MZRHydg
Healthcare Support Sikh Welfare Council Singapore;The objective of the Programme is to provide for the social amp psychological support and care for patients in nursing homes and hospitals.We provide support and care for patients in hospitals and institutional homes through regular befriending visits and by providing meals more suited to them on a regular basis.The Programme includes Obtaining information from families amp institutions regarding the location of patients in hospital who are seriously ill.Organising visits by the representative of SIWEC or other qualified individual to hospital.Study the needs of patients in hospital and their families.Planning and carrying out regular structured visits to patients in Intensive Care Units of hospitals and patients who are terminally ill.Providing families of seriously ill patients with guidance in obtaining assistance from various health agencies and medical specialist etc.In addition the Programme also looks into the needs of the aged less ambulant and physically challenged who wish to visit places of worship but are not able to.This is an island wide project thus the need for all Institutions to come together and work towards providing assistance to the less fortunate and the aged.ObjectivesTo enable the physically challenged to visit places of worship of their choice.To ensure that less fortunate and less ambulant do not feel left and forgotten.To inculcate volunteerism and spirit of giving in kind for those who need.To build community cohesiveness.To ensure the aging population is not deprived of their regular visits to places of worship.;httpswww.sgsocialsupport.comresourceAFGm3pfXWjt;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Sikh Welfare Council Singapore Website;httpswww.sgsocialsupport.comresourceAFGm3pfXWjt
Inline Skating BCare;"Fitness on Wheels
Inline skating is a fantastic fitness activity that profits both the body and mind. It is a fun sport which both children and adults can participate in. It enhances mental alertness good balancing skills and resilience.
We organise Funskate Meets for skaters after they have completed their basic training. BCARE Inline Skating classes are conducted by a certified coach.
We provide subsidies for participants from lowincome families. Feel free to contact us for more details.";httpswww.sgsocialsupport.comresource6jK4rduLrq7;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Edmund Woon   Leaflet  OneMap  contributors  Singapore Land Authority Blk 574 Hougang St 51 0109 
S530574 6387 0686 edmundwoon@bcare.org.sg Website";httpswww.sgsocialsupport.comresource6jK4rduLrq7
Action for Aids;AfA is a nongovernmental organisation dedicated to fighting HIV infection and AIDS in Singapore. It draws upon a network of healthcare professionals advocates educators and volunteers to implement educational testing treatment and welfare programmes.;httpswww.sgsocialsupport.comresourceTYC9CHHXcyy;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Action for Aids   Leaflet  OneMap  contributors  Singapore Land Authority 9 Kelantan Lane 0301 
S208628 ANONYMOUS TESTING SERVICE ATS OPERATING HOURS

Tuesday  Wednesday 6.30  8.30pm
Saturday 1.30  3.30pm
Closed on eve of Public Holidays  Public Holidays 6254 0212 info@afa.org.sg Website";httpswww.sgsocialsupport.comresourceTYC9CHHXcyy
AEDonWheels Programme Singapore Heart Foundation;The AEDonWheels Programme is introduced to equip taxis and privatehire vehicles with AEDs and train drivers in CPRAED skills to promote community firstresponse and increase the availability of AEDs in the community. Under the programme drivers with AEDs installed in their vehicles will learn to determine unresponsiveness and perform CPR and use the AEDs on casualties. Drivers will receive notification of cardiac arrest cases within their 1.5km radius via the myResponder app and they can quickly deliver the AED to the scene and render CPRAED for the casualty.This programme was launched in Nov 2015 as part of the SaveALife Initiative. As of Jan 2022 there are 210 drivers on the programme and they have responded to more than 160 cardiac arrest cases.If you are interested in equipping your companys vehicles with AEDs please get in touch with us at aed@heart.org.sg.;httpswww.sgsocialsupport.comresourceLYG9auFj3u3;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;AEDonWheels Programme Singapore Heart Foundation aed@heart.org.sg Website;httpswww.sgsocialsupport.comresourceLYG9auFj3u3
Assistive Devices Centre Singapore Association of the Visually Handicapped;The Assistive Devices Centre serves to enhance the lives of persons with vision impairment by promotingnbspthe use of assistive devices and technologies so as to allow them to integrate into the society in the areanbspof education recreation or employment.To achieve this objective the Centre offers a comprehensivenbsprange of devicesMobility white canesLifestyle talking devices e.g. clocks watches calculators blood pressure monitorGlucose metersComprehensive range of magnifiers and monoculars to cater to the varying eye conditions of persons with vision impairmentThe Centre also assists clients to purchase assistive technology devicesScreen readersmagnification softwareDesktop or portable electronic magnifiersBraille displaysnote TakersMultifunctional accessible playersClick here to find out more interesting devices through our ADC showcase.;httpswww.sgsocialsupport.comresource8Dxvc87MGP;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;For more information or to check on stocks availability please call 6251 4332 or email adc@savh.org.sg . The opening hours are from Mondays to Fridays 8am to 5pm on an appointment basis only. Please note that the centre is closed for lunch from 12.00pm to 1.00pm.;Singapore Association of the Visually Handicapped 6251 4332 adc@savh.org.sg Website;httpswww.sgsocialsupport.comresource8Dxvc87MGP
Beyond Broken Brains;;httpswww.sgsocialsupport.comresource9graBMe7eU;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Beyond Broken Brains beyond@brokenbrains.sg Website;httpswww.sgsocialsupport.comresource9graBMe7eU
Bizlink Day Activity Centre;This programme provides daily care services and activities for persons with disabilities as well as equip them with skills for independence.Here is what our Day Activity Centre focuses onWork Therapy Programme Engaging in simple purposeful work tasks to develop relevant skills amp appropriate work attitudesPhysical Maintenance Encouraging active lifestyles through physical amp rehabilitation activities which minimise physical deterioration amp improve ones healthCommunity Living Skills Training Developing selfcare skills which enable independent livingSocial amp Interpersonal Skills Educating amp Equipping skills to interact amp socialise with othersEmotional amp Behavioural Intervention Reinforcing socially acceptable amp positive behaviours;httpswww.sgsocialsupport.comresourceNsarhZ97KGL;No Content Found;Must be a Singapore Citizen or Permanent Resident For Permanent Residents at least one immediate family member must be a Singapore Citizen. Immediate family member refers to spouses parents children of the applicant including stepparents and stepchildren. Have a permanent disability Including PhysicalIntellectual with IQ less than 70 DevelopmentalHearing ImpairmentVisual From the age of 18 years and above;Please contact the organisation for more details.;Please contact the organisation for more details.;"Bizlink   Leaflet  OneMap  contributors  Singapore Land Authority Blk 82 Circuit Rd 0104 
S370082 Website";httpswww.sgsocialsupport.comresourceNsarhZ97KGL
Blue Cross Thong Kheng Home;Thong Kheng Home was established in 2002situated at Jurong East Avenue 1.Singapore.This Service Centre is to provide for both stayin and day care services to those patients who have been suffering from physical disability and mentally handicapped. Ever since Thong Kheng Home has been established in 2002 Thong Kheng Charitable Institution and Thong Kheng Welfare Society by practicing and adopting core value of mercy and charity and with the management foresight proper planning and control the Home services to help those vulnerable and unfortunate group has been progressing very well it really makes a tremendous contribution to the community for serving people with physical disability and mentally handicapped.;httpswww.sgsocialsupport.comresourceEVtpUSzQs5G;No Content Found;Who can apply  Medically certified to have autism spectrum disorder.  Singapore Citizens or Permanent Residents.  Aged between 16 and 55.  Not suffering from unstable medical condition such as psychotic disorder severe fits andor unmanageable challenging behaviour.;Residential and Day Care Services Our Home can accommodate 116 fulltime residents and 50 daycare clients. Day care hours can be flexible depending on the working hours of the family members of the clients. Respite services for residential and day care are also available. Our service charges are based on affordability. All residential rooms have an attached toilet for ease of use.  In addition as part of the Homes commitment to provide comprehensive care to its residents the Home is equipped with the following facilities  Medical Treatment room  Physiotherapy Area  Occupational Therapy Room  Multipurpose Hall  Dining Hall  Koi pond Depending on the capabilities interests and needs of the clients different activities will be organized for them. These include exercises art and craft sessions games singing sessions excursions reading time TV programmes and light housekeeping activities. Clothing for residents are ordinary daily wear such as Tshirts and bermudas supplied by the Home. Clothes are washed at our Homes laundry for common use. Residents are encouraged to wear slippers with good grip while in the Home. Shoes are needed for excursions. Items of values should not be kept at the Home.;For more information on Blue Cross Thong Kheng ASD Day Activity Centre please feel free to contact our Social Worker at Tel 6265 2878 or our email at enquiry@thongkheng.org.sg Application for our day activity service are to be submitted via SG Enable. How to apply Infoline 1800 8585 885 SG Enable For more information on the referral process by SG Enable please click on the following httpswww.sgenable.sgPagescontent.aspxpathforadultshomesforadultswithdisabilities;"Blue Cross Thong Kheng Home   Leaflet  OneMap  contributors  Singapore Land Authority 201 Jurong East Avenue 1 
S609791 Infoline Operating Hours

Monday to Friday 8.30am to 6.00pm
Saturday 8.30am to 12.30pm
Closed on Sundays and Public Holidays 6560 2022 enquiry@thongkheng.org.sg Website";httpswww.sgsocialsupport.comresourceEVtpUSzQs5G
Bone Marrow Donor Programme;"Since 1993 the Bone Marrow Donor Programme has been providing that often last chance of survival to hundreds of patients suering from terminal bloodrelated diseases in the form of a bone marrow transplant from an unrelated marrow donor.
BMDP manages Singapores only register of volunteer bone marrow donors and with a slim chance of nding that perfect matched donor we are fully committed to building the local donor register into a national asset to help all Singaporeans have that second chance of life.
What we do at BMDP directly impacts life and death hence our promise of A donor for every patient. We reach out to all sectors within our community to share the message and empower people with the choice to save a life.";httpswww.sgsocialsupport.comresourceu3aPKvDpGag;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Bone Marrow Donor Programme   Leaflet  OneMap  contributors  Singapore Land Authority 8 Sinaran Drive 0302 Novena Specialist Center  
S307470 Closed on Saturday Sunday and Public Holidays

Monday to Friday 0900 am  600 pm 6916 0370 admin@bmdp.org Website";httpswww.sgsocialsupport.comresourceu3aPKvDpGag
