Name;Description;Link;Full Content;Who can apply;What to expect;How to apply;Contact;Source URL
MWS Christalite Methodist Home;MWS Christalite Methodist Homenbspis a Welfare Home for destitute persons where the focus is on rehabilitation and reintegration.About 75 of residents may have permanent residency in the Welfare Home while approximately 17 may potentially reintegrate into the community. The remaining 8 of residents will likely become frailer and may need to be admitted to other institutions that can deliver the appropriate care.Our AimsEstablish an integrated holistic personal care plan for each residentReintegrate up to 5 of residents annuallyHow We ServeRehabilitate residents through casework and physical cognitive emotional and social interventionMaintain physical function and delay decline through maintenance and preventionImprove residents quality of life to the maximum of their abilityOur Care ApproachHolistic Care PlanEach resident is cared for by a multidisciplinary team that ensures the residents basic physical psychosocial cognitive and spiritual needs are holistically metThrough keeping in contact with residents families and day release schemes that allow residents to work outside we strengthen family and community bonds and facilitate our residents eventual reintegration into their families and societyPersonCentred CareWe encourage residentdirected living by motivating our residents to tap on their strengths and potential and be involved in their own care to ensure their needs are met holistically;httpswww.sgsocialsupport.comresourceYzJw34Pm9T;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"MWS Christalite Methodist Home   Leaflet  OneMap  contributors  Singapore Land Authority 51 Marsiling Drive 
S739297 9am  5pm Daily
Including public holidays 6368 5179 MWScmh@mws.sg Website";httpswww.sgsocialsupport.comresourceYzJw34Pm9T
Accommodation Support Catholic Welfare Services;Catholic Welfare Services CWS is a nonprofit social service agency founded in 1959 with the aim of uplifting the lives of the less fortunate in the community. Following in the spirit of the Good Shepherd  to lead people towards love and fulfilment  and the spirit of the Good Samaritan  to help those who have fallen along the way  CWS provides various social service programmes and services to support a diverse range of beneficiaries.CWS operates a number of shelters providing rough sleepers in need with accommodation support. In 2018 we launched the Safe Sound Sleeping Places S3P programme partnering with various community organisations to create night shelters for rough sleepers. In 2022 we opened our latest S3P in partnership with the Ministry of Social and Family Development MSF who have provided a dedicated space for the shelter to operate fulltime.In 2021 we launched the Bethlehem Shelter providing accommodation support for up to 8 individuals and 1 family of four. In 2022 we launched our second shelter the Gift of Joy Shelter in collaboration with Willing Hearts. Our Shelters serve as a safe haven for clients in need while our social workers work with them to find longterm accommodations.;httpswww.sgsocialsupport.comresourceSMzAeRUNvpL;No Content Found;Rough sleepers in need of accommodation support.;Catholic Welfare Services shelters serve as a safe haven for clients in need while our social workers work with them to find longterm accommodations.;Please apply using the referral form here to their email at socialwork@catholicwelfare.org.sg or call them at 6333 5484.;"Catholic Welfare Services 55 Waterloo Street 0601 
S187594 6333 5484 socialwork@catholicwelfare.org.sg Website";httpswww.sgsocialsupport.comresourceSMzAeRUNvpL
Ahuva Good Shepherd Childrens Home Marymount Centre;Set up in 2006 AGSCH provides a safe and nurturing residential environment for girls aged 4 to 18. They have experienced challenges in their families like financial difficulties divorce family violence abuse and parents incarceration.We journey with each child in her healing process and develop a care plan that recognizes her uniqueness and worth. Often they have suffered immense pain brokenness and fragility. Through specially designed programmes activities and therapeutic interventions we strive to assuage their physical psychological and emotional pains. The girls find their inner strengths build selfconfidence selfesteem dignity resilience and learn to trust and hope again. Very often they develop new interests through our support in education sports and social activities.We aim to reintegrate them into society healed and prepared to be contributing members of society.;httpswww.sgsocialsupport.comresourcebGvMA6qCGY7;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Ahuva Good Shepherd Childrens Home Marymount Centre Website;httpswww.sgsocialsupport.comresourcebGvMA6qCGY7
Ahuva Good Shepherd Interim Placement and Assessment Centre Marymount Centre;AGSIPAC opened in June 2015. Most of the children ranging from 4 to 16 years old have experienced some form of abuse often in their family homes. While the Ministry of Social and Family Development MSF Child Protection Services conduct investigations and work with various services to explore the next form of permanent placement for the child such as kinship care foster families and childrens home AGSIPAC provides a transitory safe place for the child between the childs family home and the next safe permanent placement. A typical length of stay is 30 days.These children usually suffer from traumatic stress and are in a high state of anxiety and have difficulty regulating their emotions and behaviours. Some are clingy and fearful others act out with aggression and most have sleep problems. We patiently walk with them lovingly assuring them that there is hope and light at the end of their present dark and fearsome tunnel. As we journey with these children we are humbled by their resilience and courage.;httpswww.sgsocialsupport.comresourcede6u6rSWZMD;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Ahuva Good Shepherd Interim Placement and Assessment Centre Marymount Centre Website;httpswww.sgsocialsupport.comresourcede6u6rSWZMD
Ahuva Good Shepherd Small Group Care Marymount Centre;"Since June 2017 AGSSGC has been providing a safe place for girls aged between 7 and 12 years who have been assessed by the Ministry of Social and Family Development MSF to have moderate to high needs due to past abuse.

Many if not all of the children arrive at AGSSGC with broken spirits and heavy hearts. They have experienced abuse in one form or another. For these young survivors of abuse and trauma individual care plans delivered by staff trained in traumainformed care in a warm and loving home setting with fewer residents 15 maximum is more conducive for their healing and recovery. The usual length of stay is up to 18 months.";httpswww.sgsocialsupport.comresourcet5AUUwzP5NB;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Ahuva Good Shepherd Small Group Care Marymount Centre 6256 4440 enquiry@marymountctr.org.sg Website;httpswww.sgsocialsupport.comresourcet5AUUwzP5NB
Anglican Family Centre Singapore Anglican Community Services;No one deserves to live in fear. A safe and stable environment is needed for women and their children in crisis especially those experiencing domestic violence. Our services aim to promote healing nurture hope and empower these families towards independent living.Temporary Refuge for Women and their ChildrenAnglican Family Centre AFC is missioned to protect and serve women and children who are victims of domestic violence regardless of race culture or religion. We believe that they should be be treated with respect and compassion. AFC promotes change in their lives by providingConfidential safe and temporary accommodation for up to 100 women and their childrenCasework counselling and programmes to empower families and enhance their independence and resilience for integration into the communityIf you are in crisis and need immediate help call your nearest Family Service Centre FSC for assistance.nbsp A referral would be made to AFC after the FSCs assessment.;httpswww.sgsocialsupport.comresourceJAjm2JxkCgy;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Anglican Family Centre Singapore Anglican Community Services 1800 346 4939 afc@sacs.org.sg Website;httpswww.sgsocialsupport.comresourceJAjm2JxkCgy
CARE Shelter Catholic AIDS Response Effort;The CARE Shelter is our trademark activity. We have been operating a CARE Shelter for destitute and homeless People Living With HIVAIDS PLWHAs since 2002 in one location or another. Up to May 2014 we were housed in premises kindly made available by the Good Shepherd Sisters but which we unfortunately had to vacate due to a government redevelopment plan for the area. Currently we are housed in premises on lease from the Singapore Land Authorities. Our present capacity is 30.;httpswww.sgsocialsupport.comresourceQdPjxEPc8u;No Content Found;Please contact the organisation for more details.;InResidence Care We provide the following forms of care Residents physical needs such as lodging food and clothing. Befriending emotional and spiritual support and diversional therapies. Monitoring of medical appointments and where appropriate we help them to meet their medicinal needs. Acquiring of skills to rejoin the workforce and helping them find employment. Helping them reintegrate to society. Rules of Stay We are not a hospital or hospice and do not provide medical treatment or nursing care. We are a shelter where Residents come to stay with us voluntarily. They may go out during the day stay out overnight with permission or discharge themselves whenever they wish. But as long as they are a resident of our Shelter they must exercise selfdiscipline and abide by our community rules for the wellbeing of everyone.;FormCARE Membership Application;CARE Shelter Catholic AIDS Response Effort 6353 5440 administrator@care.org.sg Website;httpswww.sgsocialsupport.comresourceQdPjxEPc8u
Casa Raudha Shelters;Protecting and supporting domestic violence survivors goes beyond simply giving them a safe place to stay as it is an integral part of helping these women and their children break free from their abusive situations.Domestic violence impacts hundreds of millions of women and children and as one of the domestic violence shelters in Singapore. Casa Raudha provides a safe private and welcoming space to those who need it the most.Our shelters are safe havens where these families can feel supported protected and capable of making informed decisions regarding their next step. It allows them to safely put distance between themselves and their aggressors without placing emotional and physical stress on themselves or their children.;httpswww.sgsocialsupport.comresourceFDahSC4Uu25;No Content Found;Please contact the organisation for more details.;Our Facilities Basic Needs and Services Casa Raudha takes pride in the quality and compassion found in both of our women and childrens shelters in Singapore. Our Womens Home is a shelter with highquality facilities and an environment that caters to residents and helps their recovery so they can get their lives back on track again. We provide the following amenities and support our residents Facilities Safe Accommodation Laundry  Kitchen Counselling to assist the survivors deal with trauma and emotional stress Events Festive Celebrations Other Events Basic Needs Food Clothing Milk  Diapers AdHoc Financial Support Empowerment Programs Adults Step Out Step Up Programme Support Groups Postcare Community Outreach Programmes Children I am S.M.A.R.T. Programme;Please contact the organisation for more details.;Casa Raudha Shelters enquiry@casaraudha.org Website;httpswww.sgsocialsupport.comresourceFDahSC4Uu25
Chen Su Lan Methodist Childrens Home;Chen Su Lan Methodist Childrens Home CSLMCH provides temporary shelter care and protection to boys and girls between the ages of 5 and 21 years old who come from needy and disadvantaged families in Singapore. Our Home is one of the biggest childrens homes in Singapore.There are usually 70  90 boys and girls living in the Childrens Home and every year 20  30 children are admitted or discharged back into their families or community.The ChildrenOur children come from different ethnic and religious backgrounds and different regions of Singapore. They are not orphans. The majority are from low income broken dysfunctional or abusive families whose parents cannot will not or should not care for them. Broken families are usually single parents who are imprisoned or facing severe financial difficulties or health issues. Dysfunctional families are usually parents who have mental health issues addictions or who have abandoned their children. Abusive families have seriously neglected or emotionally sexually or physically abused their children or failed to protect them so their children have been removed by the courts and placed in our Home for their own protection. Some of our children also have special needs ADHD low IQ and their parents cannot manage them.The children are referred to us by community partners like the Family Service Centers the Ministry of Social and Family Development MSF or the Court either on Compassionate Grounds MSF Referred or by Court Order. We do not admit children directly and the decision to admit a child is always taken carefully. We only accept children between 5 amp 16 years old and only when there are no other family members or foster parents able to care for them.Some children stay in the Home for a couple of months the majority 80 stay for 6 months to 5 years and some remain in the Home for their entire childhood. It all depends on their family situation.The Childrens HomeOur mission is to provide loving Christian nurture to needy and disadvantaged children of all races and religions so as to prepare them to be happy and responsible members of their family and community. The main Residential Home works to achieve this in 3 waysnbspCare nbsp We provide the children with shelter care and protection. The Childrens Home has a playground a kitchen a dining hall a chapel a large multipurpose hall and six houses where the children sleep 3 for the girls amp 3 for the boys. The children live in the Home but they go to their former schools during the week. Our residential care and support staff ensure that they are protected cared for and provided with everything they need 24 hours a day in the Home.nbspDevelopment nbsp We try to heal and develop the children. Many of the children are angry ashamed traumatised or dysfunctional due to their past experiences or family backgrounds. Some are so hurt that they cannot selfregulate or understand their emotions. Our staff therefore practice Trauma Informed Care a care structure that recognises amp seeks to heal children suffering from trauma the most traumatised children are given professional counselling and therapy our education manager monitors the academic progress of the children and recommends extra tuition when needed our chaplain counsels and teaches the children about Jesus and Christian values and our partners sponsors and volunteers provide support friendship and enrichment programmes to inspire the children and develop their interests talents and selfconfidence.nbspReunification nbsp We try to reunite the children back into their families as soon and safely as possible. Most of the boys and girls want to go back to their parents and CSLMCH believes that children are always better off living with their families than in a Childrens Home. So our social workers help their families to solve their problems and encourage them to see their children as often as possible. And when the parents or other family members are able to care for them again the children are discharged from the Childrens Home and monitored for 2 years afterwards to ensure that the reunification process is safe and successful. Children who cannot be reunited with their families can stay in the Childrens Home until they are 21 years old and have finished school started working or gone into National Service or they can be put up for fostering.nbsp;httpswww.sgsocialsupport.comresourcepSTKAuHuX47;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Chen Su Lan Methodist Childrens Home   Leaflet  OneMap  contributors  Singapore Land Authority 202 Serangoon Garden Way 
S556057 6713 9150 info@cslmch.org.sg Website";httpswww.sgsocialsupport.comresourcepSTKAuHuX47
Darul Ihsan Orphanages Muslim Trust Fund Association;When families go through difficult times the little ones may be affected. At MTFA we are ready to give our full support to these children to be their guardian friend and educator.Victims of AbuseOften referred by the MSF children who experienced neglect or abuse are integrated in socially active programs until their families are ready to responsibly care for them again.Orphans amp Neglected ChildrenWhen a child loses hisher parents and no extended family is available to care for them we welcome them in our fold and channel them through various programs.Preparing for a new lifeBeing a resident in MTFA Darul Ihsan Orphanages means learning to face life and its challenges with a smile and determination.Our curriculum is rich with meaningful activities and workshops to prepare them in a aspects of life.Caring for a childIt really is like family Once discharged the residents remain under MTFAs care and supervision. Each former resident is followedup by their dedicated case worker and previous home guardians.It comes to little surprise that all former residents have proven very resourceful in taking charge of their own lives often helping the younger generation of residents find their own path;httpswww.sgsocialsupport.comresourceuTZEFqPCvkU;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"MTFA Darul Ihsan Boys Orphanage   Leaflet  OneMap  contributors  Singapore Land Authority 5 Mattar Road
 
S387713 6747 7556 info@mtfa.org Website MTFA Darul Ihsan Girls Orphanage   Leaflet  OneMap  contributors  Singapore Land Authority 23 Wan Tho Ave 
S347552 6747 7556 info@mtfa.org Website";httpswww.sgsocialsupport.comresourceuTZEFqPCvkU
