Name,Description,Link,Full Content,Who can apply,What to expect,How to apply,Contact,Source URL
24ASIA,"Volunteer group helping our migrant brothers and sisters on Training, Mental Health, Social counseling, Empowerment etc.",https://www.sgsocialsupport.com/resource/QJN23DRF8dh,No Content Found,Migrants,Please contact the organisation for more details.,Please contact the organisation for more details.,"24ASIA + − Leaflet | OneMap © contributors | Singapore Land Authority 275C Compassvale Link, #07-226 
S543275 Mon - Fri: 9.00am - 6:00pm 9636 4740 24asia.org@gmail.com Website",https://www.sgsocialsupport.com/resource/QJN23DRF8dh
DOT Confidence Curriculum,"One of the building blocks of our mission is to help our beneficiaries regain confidence,&nbsp; and attune them to a positive mindset before channeling them to work opportunities.DOT’s Confidence Curriculum (DCC) is a series of workshops consisting of personal discovery, soft skills and communications, coaching and professional development modules designed to help women rediscover their talents and strengths while opening their minds to new and greater possibilities in life.",https://www.sgsocialsupport.com/resource/s6FGcBrtYHP,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"DOT Confidence Curriculum + − Leaflet | OneMap © contributors | Singapore Land Authority Daughters Of Tomorrow Limited
21 Bedok North Street 1,
#03-01,
Common Ground Civic Centre,
(Meet us  
S469659 Website",https://www.sgsocialsupport.com/resource/s6FGcBrtYHP
Dress For Success,"Dress for Success® Singapore opened in September 2015 and is managed by Image Mission Ltd, a Singapore registered charity with Institution of a Public Character (IPC) status. Currently, Image Mission is running the Dress for Success® Singapore programme under the leadership of a volunteer Board of Directors, with the support of an active pool of  volunteers.
The mission of Dress for Success® Singapore is to empower women to achieve economic independence by providing a network of support, professional attire and development tools to help them thrive at work and in life. In Singapore, we serve clients through referral, who come from a spectrum of social service agencies including community welfare organisations, women shelters, and voluntary welfare organisations, and educational institutions.",https://www.sgsocialsupport.com/resource/ZZRNT8ndXX4,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Dress For Success By appointment only
Monday - Friday : 10 am - 6 pm
Closed on weekends and public holidays. 6747 6510 singapore@dressforsuccess.org Website",https://www.sgsocialsupport.com/resource/ZZRNT8ndXX4
Employment (ABLE),"EmploymentABLE’s employment programme supports clients who want to return to work. This entails providing career coaching and job placement for individuals looking for new, suitable and sustainable employment. As for clients returning to their existing employment, our employment team coordinates with their employers to ensure a seamless transition from a healthcare setting to the workplace. The team also works on clients’ transferable skills development and on-the-job training to help them ease into the working environment.",https://www.sgsocialsupport.com/resource/4BKBJTsA4xA,No Content Found,Please contact the organisation for more details.,"Return-To-Work The Return-To-Work (RTW) programmes is ABLE’s signature rehabilitation programme that focuses on enabling persons with physical disabilities to be independent through gainful employment and reintegrating into the community successfully. We reach out to employers to advocate for our clients’ abilities and strengths. This individualised programme is created after consultation with the clients to better understand and address their therapeutic, psychosocial and employability needs. ABLE’s multi-disciplinary Rehabilitation team offers a comprehensive suite of services that may comprise of physiotherapy, occupational therapy, speech and language therapy, employment support, training and social work assistance. Ideally, after undertaking the programme, ABLE’s clients will be able to care for themselves and attain gainful employment. ABLE assists them by arranging necessary trainings, conducting on-site visits and job support to help clients with the transition. Occupation-focused interventions, such as simulated work activities and work conditioning, are used to enable pre-vocational readiness. Psychosocial support is rendered to help clients heal and rebuild social structures in their RTW journey.","To apply for ABLE’s employment services, please download the registration form and submit the completed form by email to enquiries@able-sg.org .","ABLE + − Leaflet | OneMap © contributors | Singapore Land Authority 7A Lorong 8 Toa Payoh, #02-09 Agape Village 
S319264 6801 7460 enquiries@able-sg.org Website",https://www.sgsocialsupport.com/resource/4BKBJTsA4xA
Empowering Mums - YWCA,"Employability through Empowerment
Launched in 2015, the annual Empowering Mums project equips back-to-work mums from low-income families with life and work skills to improve their employability from a holistic view.
The project runs free support group work and employability skills workshops over 10 weeks, culminating with a professional makeover, graduation ceremony and meet-and-greet session with potential employers.
After graduation, six monthly post-project sessions are held to further support mothers on their journey of self-driven change.
Throughout the sessions, meals, transport and childminding are provided to participating mothers so they can attend with a peace of mind.",https://www.sgsocialsupport.com/resource/M9mZxj-xYY4,No Content Found,"Singapore Citizen or Permanent Resident, or holding or applying for at least a Long-Term Visit Pass or more permanent stay in Singapore On some form of financial aid or similar assistance; or living in an HDB rental flat; other situations subject to case by case approval Primary school level English Mother of a Singaporean or Permanent Resident child",Please contact the organisation for more details.,Social Worker to contact our programme-in-charge at csp@ywca.org.sg who will advise on the submission of supporting documents.,"Young Women's Christian Association + − Leaflet | OneMap © contributors | Singapore Land Authority 254 Outram Road 
S169051 6223 1227 csp@ywca.org.sg Website",https://www.sgsocialsupport.com/resource/M9mZxj-xYY4
Hatch Immersive Training Program,"Hatch Customised Immersive is targeted at youths from vulnerable backgrounds with an interest in digital and design. The 10-week training program prepares learners in either Digital Marketing or User Interface, User Experience (UI/UX), and is followed by a 3-month work attachment.",https://www.sgsocialsupport.com/resource/yGPbPbGpKAD,No Content Found,Open to all but financial assistance options are subject to Hatch internal review and approval process,"180 hours in an intensive industry-centric bootcamp designed to secure employment outcomes. Upon graduation, you will either be placed in our network of partner companies looking for the right talent, or funneled into Mediahouse as apprentices to work on client projects.",Digital Marketing Course UI/UX Course,"Hatch Immersive Training Program + − Leaflet | OneMap © contributors | Singapore Land Authority 71 Ayer Rajah Crescent, #03-25 
S139951 hello@hatch.sg Website",https://www.sgsocialsupport.com/resource/yGPbPbGpKAD
Hearts@Work (Catholic Welfare Services),"Launched in 2009, Hearts@Work is a Sheltered Workshop for young adults with intellectual challenges that offers vocational training to raise their independence and self-sufficiency. Through continuous developmental support, Hearts@Work helps trainees pick up essential work skills to improve their employability and self-confidence. We also provide them with a warm, welcoming and encouraging environment where they can interact with their peers and develop key social and communication skill. Together, trainees undertake work assignments commissioned by private companies, providing them with practical and hands-on work experience.At Hearts@Work, we offer our clients a safe, nurturing and encouraging environment that respects their rights and dignities. We seek to uplift and empower our clients to be as independent as possible, working at their own pace towards achieving gainful employment and reaching their highest potential.",https://www.sgsocialsupport.com/resource/ft6Sq5ntw3w,No Content Found,Adults and young adults with Intellectual disabilities,A sheltered workshop service by the Catholic Welfare Services that has in-house work assignments from various private companies for clients to undertake. It provides training in vocational and work skills to raise clients’ future employability. The programme also has regular outdoor activities to improve clients’ social and communication skills.,Please email andrewhearts@catholicwelfare.org.sg or contact them directly at 6284 8010.,"Hearts@Work (Catholic Welfare Services) + − Leaflet | OneMap © contributors | Singapore Land Authority Church of the Nativity of the BVM
1259 Upper Serangoon Road  
S534795 6284 8010 adminheartswork@catholicwelfare.org.sg Website",https://www.sgsocialsupport.com/resource/ft6Sq5ntw3w
Image Mission IM Ready,"The IM Ready programme is a one-stop solution for unemployed and underemployed clients, equipping them to be fully workforce ready through career consultation, strategies and tools:One-on-one career coaching – we assess a client’s competencies, interests and motivations, guide her on career options and help develop a job search strategy and action plan​Resources – we have a self-help resource centre equipped with computers, printer and job search tools​Training – we ​conduct webinars and workshops on workplace skills and career developmentQuarterly 4-week virtual workshops6 stage workshop to better prepare for job huntingExit whenever you feel readyCustomised workshops such as grooming and presentation skills",https://www.sgsocialsupport.com/resource/jkzQRAL-aP6,No Content Found,Women who need help gaining employment or would benefit from career coaching services. (referrals for others also accepted),Please contact the organisation for more details.,Fill in the enquiries form,"Image Mission Ltd + − Leaflet | OneMap © contributors | Singapore Land Authority 6 Ubi Road 1, #04-11 Wintech Centre 
S408726 Monday – Friday: 10am – 6pm
Closed on weekends and public holidays 6747 6510 Website",https://www.sgsocialsupport.com/resource/jkzQRAL-aP6
Improve Your English (Aidha),"Aidha offers courses for domestic workers in money management, communication, computer and entrepreneurship.Aidha’s mission is to help migrant domestic workers and low-income Singaporean women achieve economic independence through financial education, wealth creation and entrepreneurship.",https://www.sgsocialsupport.com/resource/5x92FVLrKaM,No Content Found,Please contact the organisation for more details.,This six-month elective course is for migrant domestic workers who want to improve their grammar and confidence in English.,Apply online or contact Campus Operations,Aidha 9789 4041 Website,https://www.sgsocialsupport.com/resource/5x92FVLrKaM
Integrated Employment Services (Singapore Anglican Community Services),"For young to middle-aged clients with mental health conditions, a vital component of reintegrating to community involves holding steady employment so that they can be financially independent and have a sense of self-worth. Singapore Anglican Community Services provides a wide range of employment services to develop clients’ potential and help them gain and sustain employment in the competitive job market.&nbsp;Work Integrated Skills Training (WIST):&nbsp;WIST is a 6-week (Monday to Friday) half-day program, designed to prepare clients for employment and community integration with essential skills and knowledge for the workforce. The three domains of learning are Personal Effectiveness (e.g. conflict resolution), Wellness Management (e.g. stress management), and Employability Skills (e.g. job interview skills). Through interactive training and team activities, these topics are facilitated by in-house trainers and peer specialists who are present to provide lived experiences in a warm, support and positive learning environment.To register for WIST course, please&nbsp;click here&nbsp;to download the registration form.&nbsp;Employment Internship Programme (EIP):Internship placement for clients where onsite job coaching is provided and collaborate with employers to design work function that utilises the strengths of clients and minimise stigmatisation.&nbsp;Employment Support Services (ESS):Job matching and placement services for clients where sustainable employment goals are created to facilitate their transit back into the workforce. Job support services are provided for clients who are already in the workforce.",https://www.sgsocialsupport.com/resource/6SQpb7f2Rfu,No Content Found,"Admission Criteria Singaporean / PR between 21 to 60 years old Currently unemployed, motivated and wanted to work Currently employed and would like to receive employment support Certified fit to work, both physically and psychologically With no suicide attempt(s) and self-harm acts within the last three (3) months Has no substance or alcohol abuse issues Not suffering from any communicable disease Not diagnosed with mental retardation",Please contact the organisation for more details.,"Admission Procedure Interested party may approach their Psychiatrist / Medical Social Worker to fill up a referral form, which can be downloaded here . Please send the completed form to us at ies@sacs.org.sg or fax it to us at 6812 9601. Upon receipt of the referral form, our Rehabilitation Counsellor will contact the individual for an Intake Assessment. Fees Nil",Integrated Employment Services (Singapore Anglican Community Services) ies@sacs.org.sg Website,https://www.sgsocialsupport.com/resource/6SQpb7f2Rfu
