Name;Description;Link;Full Content;Who can apply;What to expect;How to apply;Contact;Source URL
GEM New Start Centre;"GEM New Start Centre Limited  GEM NSC  is a non-profit that reaches out to young women aged 18-25 years old  who have experienced psychological distress  familial issues  incarceration or are placed under a probation order.
The foundation of GEM NSC is the belief that every woman  regardless of their background  has the potential to shine and display their true beauty while empowering them to live a purposeful and fulfilling life.";https   www.sgsocialsupport.com resource zZHjMnKBGam;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"GEM New Start Centre     Leaflet   OneMap   contributors   Singapore Land Authority No 2 Springleaf View 
S787908 6266 3310 admin@gemnsc.com Website GEM New Start Centre     Leaflet   OneMap   contributors   Singapore Land Authority No 2 Springleaf View 
S787908 6266 3302 admin@gemnsc.com Website";https   www.sgsocialsupport.com resource zZHjMnKBGam
Adopt a Family   Youth Scheme  AMP Singapore ;AMP introduced the Adopt a Family  amp  Youth Scheme  AFYS  in 1999 to encourage self-reliance within disadvantaged families. Under the scheme  families are assisted through financial assistance and management  economic empowerment  socio-educational and parental education programmes and family life skills workshops.Adult family members undergo skills training either in economically-viable areas to increase their employability or in setting up a home-based business as an alternative source of income. School-going children under AFYS are enrolled into tuition and enrichment programmes to enhance their academic development. Parental education programmes and family life skills workshops are also conducted for parents under AFYS to equip them with the knowledge and skills to improve the quality of their family life.;https   www.sgsocialsupport.com resource s6nXP73MHT2;No Content Found;AFYS assists low-income families with school-going children  who meet the following eligibility criteria  Monthly household income    2 500 or per capita income  PCI     650 Have young or school-going children Show the potential to be self-reliant;1. Financial Assistance and Management Monthly tracking of household income and expenditure One-off partial payment or development of an instalment plan with the relevant agencies 2. Economic Empowerment Skills upgrading courses to increase employability for adult family members Training to set up micro business or home-based business to supplement and or strengthen family income status 3. Socio-Educational Development Tuition classes Part-time religious classes   madrasah   Transport concession i.e. EZ-link reimbursements Payment of  Examination fees Childcare  kindergarten and student care fees Educational workshops such as school holiday enrichment programmes Education bursaries 4. Others Counselling services Festive period assistance i.e. Hari Raya preparation Parenting workshops Financial workshops;Call the AMP Helpline at 64163960 or 64163961 to make an appointment for assessment For further enquiries about the programme  email to helpliners@amp.org.sg;AMP Singapore 6416 3960 6416 3961 helpliners@amp.org.sg Website;https   www.sgsocialsupport.com resource s6nXP73MHT2
Adullam Life Counselling;At Adullam Life Counselling  we are a non-profit society that provides support and practical help for people facing debt issues. We are a Christian based organisation but pledges to serve the community without any racial or religious bias. Give us a call to find out how we can help.;https   www.sgsocialsupport.com resource HavM62eadNb;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Adullam Life Counselling     Leaflet   OneMap   contributors   Singapore Land Authority Office Address 
151 Chin Swee Road  08-04
Manhattan House 
S169876 6659 7844 admin@adullam.org.sg Website Adullam Life Counselling     Leaflet   OneMap   contributors   Singapore Land Authority Counselling Session Address 
315 Outram Road  15-02A
Tan Boon Liat Building
 
S169074 Please note that counselling sessions are held every Tuesday and Thursday evening and are strictly on an appointment basis only. 6659 7844 admin@adullam.org.sg Website";https   www.sgsocialsupport.com resource HavM62eadNb
As-Salaam - PPIS;"A Divorce Support Specialist Agency with more than 25 years of experience in divorce counselling  working with Malay-Muslim single parent families in Singapore.
We provide support for divorcing parents and single parent families to move on and cope with the challenges to rebuild their families through divorce counselling and community support. Appointed as a Divorce Support Specialist Agency  DSSA  by the Ministry of Social and Family Development  MSF  in 2015  our staff are equipped with specialised knowledge and skills in handling divorce issues and providing divorce counselling services. As-Salaam offers counselling and programmes such as Parenting PACT and Children in Between  CiB  to help divorced parents and children better cope with the impact of divorce.";https   www.sgsocialsupport.com resource GGEVTUny7QQ;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Fill up interest form at https   ppis.sg as-salaam;"PPIS As-Salaam     Leaflet   OneMap   contributors   Singapore Land Authority Blk 41  Chai Chee Street   01-16 
S461041 6745 5862 as-salaam@ppis.sg Website PPIS Head Office     Leaflet   OneMap   contributors   Singapore Land Authority Blk 1  Eunos Crescent   01-2509
 
S400001 6744 0258 info@ppis.sg";https   www.sgsocialsupport.com resource GGEVTUny7QQ
AWARE Sexual Assault Care Centre;"Safe. Free. Confidential.
The Sexual Assault Care Centre  SACC  at AWARE provides free services to those who have experienced sexual assault  helping them deal with their experiences and make decisions about their next steps.
Sexual assault  including rape  can be highly traumatic. It can take a long time to recover after such a crime. If you have been a victim of sexual assault  please know that it is not your fault.
Recovering can take time and courage  but no one has to go through this experience alone. We work to create a supportive environment  and to provide a safe place to seek help.
All calls to and cases at the SACC are kept strictly confidential.";https   www.sgsocialsupport.com resource h-cRFh2a-bC;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"AWARE Sexual Assault Care Centre     Leaflet   OneMap   contributors   Singapore Land Authority 5 Dover Crescent
 01-22  
S130005 6779 0282 sacc@aware.org.sg Website";https   www.sgsocialsupport.com resource h-cRFh2a-bC
Be Kind SG;"We aim to create and inspire a kind and inclusive society for persons with disabilities  such as intellectual disabilities and autism.
We began as a groundup movement in 2017 and were inducted into Singapore Kindness Movement s  Kindred Spirit Circle  in 2018. We were also recognized as a Groundup Central member under National Volunteer  amp  Philanthropy Centre. In Q4 2021  we incorporated under ACRA as a non-profit organization to better serve the needs of our communities  UEN  202133971G . Since March 2023  we are registered as a charity under the Charities Act in Singapore  Sector Administrator  Ministry of Social and Family Development . Through our work  we support the Sustainable Development Goals  SDG 10  Reduced Inequalities and SDG 17  Partnership for the Goals.";https   www.sgsocialsupport.com resource wVSE8ZuSUn6;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Be Kind SG Website;https   www.sgsocialsupport.com resource wVSE8ZuSUn6
Brotherhood  THK FSC ;"Thye Hua Kwan Moral Charities   THKMC  s  Brotherhood programme  an initiative to support men who have committed family violence in their healing process. 
The Brotherhood programme aims to break the intergenerational cycle of violence by supporting men who have caused harm to others to be a part of the solution in ending family violence  said THKMC.
https   www.straitstimes.com singapore overcoming-family-violence-brotherhood-programme-helps-over-80-men";https   www.sgsocialsupport.com resource jcAgAE3nFpM;No Content Found;Males who are experiencing aggression with their love ones and are motivated to work on it.;Value-added services  Meals provided  family outing  monthly exercise  podcast support;Please contact the organisation for more details.;"Ben  THK Family Service Centre @ Bedok North      Leaflet   OneMap   contributors   Singapore Land Authority Blk 554 Bedok North Street 3   01-241 
S460554 9487 2880 benang@thkmc.org.sg Website Ben  THK Family Service Centre @ Bedok North      Leaflet   OneMap   contributors   Singapore Land Authority Blk 554 Bedok North Street 3   01-241 
S460554 6449 1440 benang@thkmc.org.sg";https   www.sgsocialsupport.com resource jcAgAE3nFpM
Canine Programme  EQUAL ;The Canine Programme is aimed at developing social-emotional skills in our beneficiaries  through experiential learning during our multi-session programme with our canine partners.;https   www.sgsocialsupport.com resource mpkrqxbA-Xt;No Content Found;Children and youth at risk People with disabilities age 13 and above Seniors age 65 and above  especially those with dementia and depression  living in institutions or the community;"4 to 8 weekly sessions
Each session is 1 to 1.5 hours long
Weekdays";Please contact the organisation for more details.;"Canine Programme  EQUAL      Leaflet   OneMap   contributors   Singapore Land Authority Enabling Village  20 Lengkok Bahru   01-19C 
S159053 canineprogramme@equal.org.sg Website";https   www.sgsocialsupport.com resource mpkrqxbA-Xt
Cheng Hong Welfare Service Society  CHWSS ;"Cheng Hong Welfare Service Society  CHWSS  was officially registered with Registrar of Societies and subsequently granted Institution of Public Character  IPC  status by the Commissioner of Charities in 2004. In 2005  CHWSS became a full member of National Council of Social Service  NCSS .
Till date  Cheng Hong Welfare Service Society operates 10 TCM clinics and a mobile TCM clinic island wide providing pro bono traditional Chinese treatment and medication to the needy. It also offers other charitable services such as providing food ration  education grants  visit to homes  and bringing the elderly for tours etc.
In October 2012  Cheng Hong Welfare Service Society established an Afterlife Memorial Service   the first of its kind in Singapore. This service provides free funeral and bereavement services to those who require such services  regardless of race and religion.";https   www.sgsocialsupport.com resource v9zvGLAExbU;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Cheng Hong Welfare Service Society  CHWSS      Leaflet   OneMap   contributors   Singapore Land Authority 37 Tannery Lane   06-01  Tannery House
 
S347790 Mon   Fri  9am to 6pm 6914 9508 admin@chenghongwelfare.org Website";https   www.sgsocialsupport.com resource v9zvGLAExbU
Cornerstone Development Initiatives  CDI  Redeemed  Cornerstone Community Services ;"The Cornerstone Development Initiatives  CDI  Redeemed  is a transport allowance scheme  for 3 months  aims at helping ex-offenders integrate back into society as they embark on a new job upon release. This scheme is applicable to ex-offenders who have secured employment and application can only be made by their employer.

Subject to application criteria";https   www.sgsocialsupport.com resource 9yz3DPsB5YM;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;For more enquiries  click here .;"Cornerstone Development Initiatives  CDI  Redeemed  Cornerstone Community Services      Leaflet   OneMap   contributors   Singapore Land Authority 11 East Coast Road   01-13  The Odeon Katong 
S428722 6344 7321 Website Cornerstone Development Initiatives  CDI  Redeemed  Cornerstone Community Services      Leaflet   OneMap   contributors   Singapore Land Authority 11 East Coast Road   01-13  The Odeon Katong 
S428722 Tue - Fri  11am - 4pm 6344 8063 Website";https   www.sgsocialsupport.com resource 9yz3DPsB5YM
Daddies For Life  THK FSC ;This groupwork enables daddies to be aware of the challenges they might be facing and to equip them with skills to improve their socio-emotional well-being. This groupwork will cover psychoeducation to develop and improve life skills to improve their relationships with their children. For daddies who do not have access to their children  the groupwork will create a safe space for participants to build a community of support for each other to cope with the challenges of being a single father.;https   www.sgsocialsupport.com resource 2eGmpsPHKmv;No Content Found;"1  Daddies who have filed for divorce with without access of child children 
2  Daddies who are divorced with or without access to child children 
3  Daddies who have been separated from their spouses for more than 3 years.";Value-added services  Build a small informal support within the group Trained to become daddy buddy volunteers to befriend other single fathers to grow the support network Acquire life skills to build better relationship with their children and improve their socio-emotional well-being through bonding activities.;Please contact the organisation for more details.;"Mou Nyee  THK Centre For Family Harmony @ Commonwealth      Leaflet   OneMap   contributors   Singapore Land Authority 54 Commonwealth Drive  01-566  
S142054 6357 9182 mounyee.lim@thkmc.org.sg Website";https   www.sgsocialsupport.com resource 2eGmpsPHKmv
Empowering Mums  English Club  YWCA ;"Learning Never Stops
Recognising that language is a powerful tool that connects people  the Empowering Mums  English Club  EC  is a free English curriculum for low-income mums of Singaporean families. The programme aims to empower mums to gain control of foundational English skills for daily conversations  with the theme centering on the neighbourhood in a housing estate.
The programme covers five proficiency levels of learning according to the International English Language Testing System  IELTS  standards. Various learning tools and activities ensure an engaging experience tried and tested in previous terms.
Classes are held with trained volunteers for 2 hours each session. Childminding services will be provided on a needs basis with reading and play elements.";https   www.sgsocialsupport.com resource JEypgLcXun4;No Content Found;Mother of a Singaporean or Permanent Resident child Singaporean  Permanent Resident  holding or applying for at least Long-Term Visit Pass or more permanent stay in Singapore On some form of financial aid or similar assistance  or living in an HDB rental flat  other situations subject to case by case approval Primary school level English;Please contact the organisation for more details.;Social worker to email csp@ywca.org.sg Attach Form Attach All Necessary Documents Attach Valid Social Report;"Young Women s Christian Association     Leaflet   OneMap   contributors   Singapore Land Authority 254 Outram Road 
S169051 6223 1227 csp@ywca.org.sg Website";https   www.sgsocialsupport.com resource JEypgLcXun4
