Name;Description;Link;Full Content;Who can apply;What to expect;How to apply;Contact;Source URL
365 Cancer Prevention Society Financial Assistance;Cancer treatment can place a heavy financial burden on patients and their family members. Besides being a place where one can find emotional support and be educated on how to improve one s health and immunity  365CPS also provides financial aid to low-income patients to help meet their daily needs. To find out more  please contact us at 6337 3368.;https   www.sgsocialsupport.com resource N7V8XzespEE;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"365 Cancer Prevention Society     Leaflet   OneMap   contributors   Singapore Land Authority 38 Jalan Pemimpin
 02-01 M38
 
S577178 6337 3368 enquiry@365cps.org.sg Website";https   www.sgsocialsupport.com resource N7V8XzespEE
AMP Education Bursary  AMP Singapore ;The AMP Education Bursary offers monetary assistance to diploma and degree students from less privileged families of all races. Apart from students from local polytechnics and universities  the bursary also benefits full-time and part-time undergraduates from recognised private education institutions in Singapore.The bursary seeks to recognise the recipients  academic achievements  alleviate their financial load and be a source of motivation for them to strive harder in their higher education. It also hopes to see students through their pursuit of higher levels of education and in future  give back to those in need in the community.;https   www.sgsocialsupport.com resource 7TQGKDy2zU2;No Content Found;The AMP Education Bursary assists tertiary students who meet the following eligibility criteria  1. Full-time Diploma Singapore Citizen Gross monthly household income    3 500 or monthly per capita income  PCI     700 Must be pursuing diploma at the following schools  Nanyang Polytechnic Ngee Ann Polytechnic Republic Polytechnic Singapore Polytechnic Temasek Polytechnic LASALLE College of the Arts Nanyang Academy of Fine Arts 2. Full-time Bachelor s Degree Singapore Citizen Gross monthly household income    3 500 or monthly per capita income  PCI     700 Must be pursuing first undergraduate degree at the following schools  National University of Singapore Nanyang Technological University Singapore Management University Singapore University of Technology and Design Singapore Institute of Technology Singapore University of Social Sciences Other certified private education institutions listed in the Council of Private Education  CPE  website 3. Part-time Bachelor s Degree Gross monthly personal income    3 500 Aged   40 Must be pursuing first undergraduate degree at the following schools  National University of Singapore Nanyang Technological University Singapore Management University Singapore University of Technology and Design Singapore Institute of Technology Singapore University of Social Sciences Other certified private education institutions listed in the Council of Private Education  CPE  website;Each successful applicant will receive financial assistance of  1 000  for Degree students  or  500  for Diploma students .;Application for the year is now OPEN .;"AMP Singapore     Leaflet   OneMap   contributors   Singapore Land Authority 1 Pasir Ris Drive 4  05-11 
S519457 Mon to Fri   9.00 am to 6.00 pm
Closed on Saturdays  Sundays and Public Holidays 6416 3966 Website";https   www.sgsocialsupport.com resource 7TQGKDy2zU2
AMP-Salleh Marican Foundation STEM Study Award  AMP Singapore ;AMP started a collaboration with Second Chance Properties Ltd in 2017 to introduce the AMP-Salleh Marican Foundation STEM Study Award to encourage Malay Muslim students who are pursuing their undergraduate studies in science  technology  engineering and mathematics courses  and prepare them to be part of the STEM-related workforce in the future.;https   www.sgsocialsupport.com resource yB4wRAYJufY;No Content Found;The AMP-Salleh Marican Foundation STEM Study Award assists tertiary students who meet the following eligibility criteria  Singapore Citizen Full-time Malay Muslim undergraduate studying in the following degree programmes at a local university  Data Science   Analytics Systems   Software   Computing Engineering Computer Science   Computing Information Engineering   Media  Information Security Information   Communication Technology Mathematics   Applied Mathematics Engineering Gross monthly per capita income    2 000 Good academic standing Active co-curricular activities or community service involvement will be advantageous;Each successful applicant will be awarded  2 000 each.;Application for the year is now OPEN .;"AMP Singapore     Leaflet   OneMap   contributors   Singapore Land Authority 1 Pasir Ris Drive 4  05-11 
S519457 Mon to Fri   9.00 am to 6.00 pm
Closed on Saturdays  Sundays and Public Holidays 6416 3966 corporate@amp.org.sg Website";https   www.sgsocialsupport.com resource yB4wRAYJufY
Awards  Bursaries   Scholarships  Eurasian Association ;What schemes are available The Eurasian Association is committed to advance the academic achievement of all Eurasian students and encourage them to strive towards their goals. There are numerous programmes for students from primary to university levels. We work together with donors  benefactors and other organisations to ensure that Eurasian youth are supported in their academic journey.The annual Eurasian Community Fund  ECF  Education Awards Ceremony was inaugurated in 1996. It signals to the Eurasian community the importance of achieving academic excellence and encourages students to excel in their studies. There are several awards  bursaries and scholarships for primary  secondary and tertiary students in different award categories  which help to defray education costs for students and are also presented to those who achieve outstanding academic results.;https   www.sgsocialsupport.com resource nnrZFwtJprt;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Apply online for the 2024 EA Education Schemes or download the hard copies below.;The Eurasian Association 6447 1578 shareen@eurasians.org Website;https   www.sgsocialsupport.com resource nnrZFwtJprt
Bless Community Services Bursary;The purpose of the bursary is to support students ages 10 to 15 from low-income to lower middle-income families with educational expenses such as textbooks  workbooks  stationery  and uniforms to encourage them to continue their hard work and efforts.Applications for bursary are now close. We will reopen again in September 2024.;https   www.sgsocialsupport.com resource 6ymFqbxVyc2;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;More information on the eligibility criteria can be found on the application form. For queries  call Lydia at 6288 9377. Download form here;"Lydia  Bless Community Services      Leaflet   OneMap   contributors   Singapore Land Authority 242 Yio Chu Kang Road 
S545671 6288 9377 Website";https   www.sgsocialsupport.com resource 6ymFqbxVyc2
Brain Tumour Society Singapore Tuition Grant;Going back to school after a brain tumour treatment can be challenging to many of our young beneficiaries. With that in mind  the BTSS Tuition Grant aims to help school-going members cope with the rigors of academic work. The value of this grant is  3300 for one year. Members will be accessed based on the financial situation of the family.;https   www.sgsocialsupport.com resource dN8JWK7SNyk;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Click to download the form  tuition grant;"Brain Tumour Society Singapore     Leaflet   OneMap   contributors   Singapore Land Authority Brain Tumour Society  Singapore  Limited
12 Marina Boulevard  30-03 
S018982 Website";https   www.sgsocialsupport.com resource dN8JWK7SNyk
Brain Tumour Society Singapore Welfare Grant;"A BTSS Welfare Grant provides temporary financial assistance for member adults  young people or children with brain tumours  to cover a wide range of practical needs. It does not cover treatment or medication  but is designed to ease hardship caused by additional costs of travel to appointments  care or retraining  for example. This can include things such as household bills  extra clothing  or a much needed break. Every month we aim to give at least one grant to a needy beneficiary.
The maximum amount of welfare grant is  2800 per annum. Applicants must be BTSS members and are Singaporeans or Singapore Permanent Residents.";https   www.sgsocialsupport.com resource HpHd2j3nWnz;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Click to download the form  welfare grant Please note that the application form must be endorsed by the social worker in the hospital you are attending. If you need clarification about the process  do not hesitate to contact us.;"Brain Tumour Society Singapore     Leaflet   OneMap   contributors   Singapore Land Authority Brain Tumour Society  Singapore  Limited
12 Marina Boulevard  30-03 
S018982 Website";https   www.sgsocialsupport.com resource HpHd2j3nWnz
Brain Tumour Society Singapore Wellness Grant;"The BTSS Wellness Fund aims to enhance the well-being of our members through a broad range of programmes such as 

Physical skills   rehabilitation  swimming  badminton  sewing  barista skills
Mental   memory  speed reading or other relevant intellectual pursuits
Creative   musical instrument playing  composing music  singing
Psychological   psycho therapy  counselling help
Social   social skills  emotional quotient  EQ  training
Home nursing services

The maximum amount of grant is  600 for a period of 1 year and there is no income criteria. Members who are Singaporeans and Singapore Permanent Residents are eligible to apply.";https   www.sgsocialsupport.com resource M5q6Lku2ErU;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Click to download the form  WELLNESS grant;"Brain Tumour Society Singapore     Leaflet   OneMap   contributors   Singapore Land Authority Brain Tumour Society  Singapore  Limited
12 Marina Boulevard  30-03 
S018982 Website";https   www.sgsocialsupport.com resource M5q6Lku2ErU
Bursary Awards  FaithActs ;"FaithActs Bursary Awards seeks to assist needy full-time students presently studying. The objectives are to 

Provide financial assistance to students from low-income families to purchase educational materials
Complement the role and function of the Ministry of Education  MOE  s financial assistance scheme for the needy students
Motivate beneficiary of the award to strive for greater achievements benefiting themselves and the community

Main Sponsor  Faith Methodist Church";https   www.sgsocialsupport.com resource 3z5dNcMk4yR;No Content Found;AWARD DETAILS FaithActs Bursary Awards hope to assist full time students from low income families in part of the educational expenses during their course of studies The Bursary is open to students aged 7 25 years old.;Please contact the organisation for more details.;Please contact the organisation for more details.;FaithActs 6339 7611 info@faithacts.org.sg Website;https   www.sgsocialsupport.com resource 3z5dNcMk4yR
Cancer Care Fund  SCS ;"The Cancer Care Fund is a one-time financial assistance scheme to alleviate the financial burden of newly-diagnosed cancer patients from low or middle income families within the first 6 months of diagnosis. 
Since the inception of this fund from 2015  more than S 5.64 million in aid was disbursed  assisting more than 6 200 patients.";https   www.sgsocialsupport.com resource YUF6kaMjNcw;No Content Found;Singaporeans or Permanent Residents  there are exceptions for non-Resident applicants whose parents spouse children are Singaporeans or Permanent Residents  and reside in Singapore for a continuous period of not less than 5 years  Newly-diagnosed cancer patients within the first 6 months of the date of diagnosis Patients who meet the income requirements of the Blue Orange Community Health Assist Scheme  CHAS ;Blue Health Assist card holders with a per capita monthly income of less than  1 200 will receive  1 000. Orange Health Assist card holders with a per capital monthly income of less than  2 000 but more than  1 200 will receive  500.;Documents Required NRIC Application forms duly completed and signed CHAS card  Blue or Orange only  OR Public Assistance OR Special Grant Card Permanent Residents and non-residents without CHAS should complete the income declaration form Medical memo or certificate stating clearly the date of diagnosis  as and when appropriate  Applicant s bank book or bank statement  for GIRO mode of payment  The necessary application forms may be found at the link. Please approach your doctor or medical social worker to complete and submit your application forms  and then send them to welfare@singaporecancersociety.org.sg. Alternatively  you may contact us for more information.;Singapore Cancer Society 1800 727 3333 welfare@singaporecancersociety.org.sg Website;https   www.sgsocialsupport.com resource YUF6kaMjNcw
