Name,Description,Link,Full Content,Who can apply,What to expect,How to apply,Contact,Source URL
Bread Distribution @Whampoa (Ascending Hope Community Services),"Bread Distribution @Whampoa
Time: Tuesdays 3:30pm-7pm
Ascending Hope has been helping to distribute bread to seniors under the “We Care and Share Programme” in collaboration with Whampoa Community Centre.",https://www.sgsocialsupport.com/resource/MBuqhPWCeG6,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Ascending Hope Community Services + − Leaflet | OneMap © contributors | Singapore Land Authority 37 Jalan Pemimpin, #07-03 Mapex Building
 
S577177 8876 2225 admin@ascendinghope.org Website",https://www.sgsocialsupport.com/resource/MBuqhPWCeG6
Bread Run (Food From The Heart),"The Bread Run programme aims to feed the needy with safe-for-consumption bread that would otherwise have been thrown away.The programme strives to achieve an equilibrium between food surplus in the retail sector and where it is needed within the community.It is organised by Food from the Heart and executed by an intricate network of partners who donate bread, volunteers who can deliver the bread, and community partners who pass on the bread to our beneficiaries.Bread CollectionFood from the Heart has more than 100 Bread Run partners, which largely include bakeries and hotels, scattered throughout Singapore. After serving its commercial time on the shelves, excess bread is collected, packed for pick up and donated to our cause instead of being disposed.Keen to contribute bread on a regular basis? Indicate your interest here.Bread RunsOur bread runs are completed by our volunteers (Bread Runners) every day of the year, be it rain or shine. Each Bread Runner is assigned a route that comprises the pick-up of bread from our Bread Run partners and the drop-off of bread at our bread distribution points.With more than 800 regular routes and 14,819 bread runs in a year, we need your support.Keen to be a Bread Runner? Indicate your interest here.Bread DistributionThe bread is received at our distribution points, where community partners work to give the bread out to individual beneficiaries. The bread is typically consumed during breakfast and tea break at welfare homes or re-packed into smaller denominations and given out as weekly rations to individual families.We welcome community partners who require bread provisions to reach out to us here.",https://www.sgsocialsupport.com/resource/ADnLkL5FRHU,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Bread Run (Food From The Heart) + − Leaflet | OneMap © contributors | Singapore Land Authority 130 Joo Seng Road #03-01
 
S368357 6280 4483 info@foodheart.org Website",https://www.sgsocialsupport.com/resource/ADnLkL5FRHU
Community Food Pack (Food From The Heart),"Community Food Pack
The Community Food Pack programme comprises distributions of fresh fruit, eggs and bread, as well as monthly food packs of non-perishable food items.
The programme helps the less fortunate put food on the table and offset their living expenses. It is fuelled by a mix of food donations, cash donations, bread from our Bread Run programme, and the sweat of hardworking food charity volunteers who assist us in the sorting and packing process that happens after our food donation drives in Singapore!
Those who seek the assistance of our programmes are trying their best to cope, and the promise of their next meal is important to them; that is why we work hard to ensure the reliable and consistent provision of our food rations every month without fail to give them the continued food security that they need.",https://www.sgsocialsupport.com/resource/DAsHT5hWYaw,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,We welcome community partners in Singapore who wish to receive our food rations to reach out to us here .,"Community Food Pack (Food From The Heart) + − Leaflet | OneMap © contributors | Singapore Land Authority 130 Joo Seng Road #03-01
 
S368357 6280 4483 info@foodheart.org Website",https://www.sgsocialsupport.com/resource/DAsHT5hWYaw
Community Fridge (Free Food For All),"A collaboration with Chong Pang CC, our Community Fridge initiative was introduced in 2020 to bring residents of Yishun fresh and chilled groceries, completely free of charge.
Refilled every Friday by the good people of Redmart, we also have a dedicated group of recipients-turned-volunteers present to help facilitate the initiative.",https://www.sgsocialsupport.com/resource/y84U9NGqcEz,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Community Fridge (Free Food For All) + − Leaflet | OneMap © contributors | Singapore Land Authority 60 Kaki Bukit Place Eunos Techpark #05-07 
S415979 6530 3424 food.aid@freefood.org.sg Website",https://www.sgsocialsupport.com/resource/y84U9NGqcEz
Community Shop 善粮小铺 (Food From The Heart),"The Community Shop (善粮小铺) is a giving better initiative by Food from the Heart for its beneficiaries in Singapore. The Community Shop functions as a mini-mart for beneficiaries and operates on a shop-for-free concept. 
Food from the Heart's beneficiaries are empowered to choose 14 food items from the Community Shop each month, and can visit the Shop on multiple occasions throughout the month. Food items include fresh local produce, staples, canned food, bread spreads, biscuits, oil and condiments, all of which will allow beneficiaries to eat better.
The food items are redeemed through the beneficiaries' cards via a QR code-scanning checkout system.
The Community Shop is one of Food from the Heart's milestone initiatives that strives to give better by returning the dignity of choice to the needy; at the Shop, they are able to choose food items that they require instead of receiving standard food packages. This mental aspect helps to close the increasing gap in Singapore's standards of living; the experience of shopping allows them to see the range of products available at the Shop, compare them, and choose what they want to bring home.
The Shop gives the beneficiaries a reason to get out of their homes to have more interaction with others, creating opportunities for the community to look out for one another. Its food drop, which allows donors to drop off food donations at the Shop, also helps to keep the kampung spirit alive within the neighbourhood.
The Community Shop concept also results in less food waste as the beneficiaries are likely to finish all the items they chose themselves. 
Through the QR code-scanning checkout system, Food from the Heart is able to digitally gather data on the consumption, needs and patterns of its beneficiaries. With such insights, a more meaningful and nuanced understanding of beneficiaries' dietary habits will also help us shape the future landscape in food distribution efforts. We hope to create an entire eco-system connecting donors, sponsors, volunteers and beneficiaries.",https://www.sgsocialsupport.com/resource/sWKBrQCgcQH,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Community Shop @ Boon Lay + − Leaflet | OneMap © contributors | Singapore Land Authority Blk 176 Boon Lay Drive #01-366 
S640176 Operates every Tuesday, Thursday, Saturday and Sunday from 9.30am to 12.30pm info@foodheart.org Website Community Shop @ Lengkok Bahru + − Leaflet | OneMap © contributors | Singapore Land Authority Blk 55 Lengkok Bahru #01-389 
S151055 Operates every Tuesday, Thursday and Saturday from 9.30am to 12.30pm info@foodheart.org Website Community Shop @ Mountbatten + − Leaflet | OneMap © contributors | Singapore Land Authority Blk 13 Old Airport Road #01-57 
S390013 It is open every Tuesday, Thursday and Saturday from 9.30am to 12.30pm info@foodheart.org Website Community Shop @ Punggol + − Leaflet | OneMap © contributors | Singapore Land Authority Blk 224A Sumang Lane #01-02  
S821224 Operates every Tuesday, Thursday and Saturday from 9.30am to 12.30pm info@foodheart.org Website",https://www.sgsocialsupport.com/resource/sWKBrQCgcQH
Food Ration Assistance Programme (Catholic Welfare Services),"Catholic Welfare Services (CWS) is a non-profit, social service agency founded in 1959 with the aim of uplifting the lives of the less fortunate in the community. Following in the spirit of the Good Shepherd – to lead people towards love and fulfilment – and the spirit of the Good Samaritan – to help those who have fallen along the way – CWS provides various social service programmes and services to support a diverse range of beneficiaries.The CWS Food Ration Assistance is a monthly food aid that aims to assist low-income, socially isolated individuals and families facing difficulty accessing basic needs. The key objectives of this program are tobefriend seniors or individuals with limited access to basic needs, who are socially isolated, to enhance their social connections.provide nutritious food of their preference to clients via home delivery.",https://www.sgsocialsupport.com/resource/3NhGPhJRdFh,No Content Found,"Applicable Demographic Checklist (At least one): Elderly senior (60 and above) who is living alone or have strained relationships with family members. Individual (under 60) with physical disabilities or mobility issues, who is living alone or have strained relationships with family members. Individual (under 60) with multiple dependents that contributed to his/her limited accessibility. Criteria Checklist: Lives in 1-, 2- or 3-room HDB rental/purchased flat*. Employed individual who has a PCI of <$650 or Unemployed/Retired individual who is receiving insufficient informal/formal financial* support to support their basic needs.","Each cycle of assistance lasts for six months, in which extension beyond 6 months is subjected to approval. Recipients of this assistance will be introduced to volunteers who would contact them on a monthly basis to assist them in purchasing groceries and delivering to their homes. Volunteers will also arrange monthly home visits to interact with clients.","For the most up-to-date copies of the CWS Food Ration Assistance Programme application form, please retrieve them from the website at https://catholicwelfare.org.sg/our-programmes-services/ For self-referrals and referrals from external social service agencies, please send scanned copies of the completed application form to socialwork@catholicwelfare.org.sg","Catholic Welfare Services 55 Waterloo Street #06-01 
S187594 6333 5484 socialwork@catholicwelfare.org.sg Website",https://www.sgsocialsupport.com/resource/3NhGPhJRdFh
Food Ration Distribution Programme (Jamiyah Welfare Department),"Jamiyah Welfare Department (JWD) was established in 1974. It is among societies providing care and assistance to those in need, such as the disabled, less fortunate, widows, orphans and families of drug detainees.Jamiyah FoodBank collects, sorts, stores and distributes donated food to poor and needy families. Our mandate is to coordinate and deliver a food support programme that meets the needs of our beneficiaries and support their journey to self-reliance.",https://www.sgsocialsupport.com/resource/UU7eqsckm5E,No Content Found,"All are welcome (no citizenship restriction) but income should be $3,500 and below.","We provide safe, nutritious and health-enhancing food for the elderly, aged-sick people with disabilities, poor and needy families, low-income workers and unemployed. We currently serve more than 3000 beneficiaries. Beneficiaries will receive a notification via mail prior to the food ration distribution.",Contact them by email at foodbank@jamiyah.org.sg or call in at +65 6910 2083.,"Jamiyah Food Bank (JamPacked) + − Leaflet | OneMap © contributors | Singapore Land Authority 9 Tannery Lane 
S347772 Mon - Fri: 9.00am - 6.00pm
Saturday: 9.00am - 1.00pm 6910 2083 foodbank@jamiyah.org.sg Website",https://www.sgsocialsupport.com/resource/UU7eqsckm5E
Food Rescue SK,"Join us in our mission to ""feed the people, not the bins""! Founded in 2019, we are a passionate group of volunteers who believe in reducing food wastage in Singapore while saving both the environment and helping people cut down on their grocery bills.
All are welcome at our food rescues!",https://www.sgsocialsupport.com/resource/bTQ3r-F63mF,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Food Rescue SK ask@foodrescuesk.com Website,https://www.sgsocialsupport.com/resource/bTQ3r-F63mF
Food Wise Good Life Programme (Xin Yuan Community Care),"Food Wise Good Life ProgrammeSupporting low-income seniors in health and nutritionThe Food Wise Good Life (FWGL) Programme aims to support the needy with meals and essential aid.Under FWGL, we also distribute meals and grocery items to our beneficiaries in collaboration with our donors and partners. This programme forms part of our holistic support to seniors, which includes the provision of therapeutic services, regular health check-ups and social activities to keep them physically, mentally and socially active and healthy.We welcome donations of fresh fruits, vegetables, grocery items and packaged meals to support our elderly and vulnerable families.",https://www.sgsocialsupport.com/resource/hse7FkwkGPb,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact us at care@xinyuan.org.sg,"Food Wise Good Life Programme (Xin Yuan Community Care) + − Leaflet | OneMap © contributors | Singapore Land Authority Blk 205 Toa Payoh North #01-1151 
S310205 6253 1169 care@xinyuan.org.sg Website",https://www.sgsocialsupport.com/resource/hse7FkwkGPb
FoodConnect Directory,"Bringing together food support organisations across Singapore.
An initiative by the Charity Food Workgroup and Ministry of Social and Family Development.",https://www.sgsocialsupport.com/resource/uJpNV-rQVcw,No Content Found,"Other than the Directory, the Charity Food Workgroup is also working on a FoodConnect Database, which will allow organisations to identify duplication in food support and allocate resources more efficiently.",Bringing together food support organisations across Singapore.,Fill in this online form,Charity Food Workgroup and Ministry of Social and Family Development foodconnect_support@msf.gov.sg Website,https://www.sgsocialsupport.com/resource/uJpNV-rQVcw
