Name,Description,Link,Full Content,Who can apply,What to expect,How to apply,Contact,Source URL
4ST Partnership Fund (The Majurity Trust),"The 4ST Partnership Fund aims to mobilise the sector to develop solutions that promote innovation, collaboration and empowerment, with the end outcome of improving the quality of life of service users - including Families, Children and Youth, Persons with Mental Health Conditions and Caregivers, amongst others.",https://www.sgsocialsupport.com/resource/-fd9A9yJR7-,No Content Found,"Eligibility Criteria Who: Applicant must be a Social Service Agency (SSA), Social Enterprise (SE), or a Ground-up group collaborating with another entity or individual. Inclusiveness: Non-NCSS members, including SEs and Ground-up groups without Institution of Public Character (IPC) or Charity Status can also apply*. Where possible, the project should be fronted by an organisation that is an NCSS member with IPC status. (Please refer to the Seed vs Grow graphic below for eligible applicants for each category of funding). Non-Charity status agencies (regardless of registration type) are required to make a declaration on the not-for-profit nature of the programme, and that the beneficiaries are local communities. Application Criteria Incorporating Innovation, Collaboration, and Empowerment: Your proposal should encompass elements of innovation, collaboration, and empowerment. Active Participation in Interagency Collaboration: The applicant agency participates, contributes to, and promotes interagency collaboration with other organisations to provide needed services to the clients. Alignment with NCSS Service Priorities: Applications should support key service priority areas identified by NCSS: Empower families to break out of cycle of intergenerational social disadvantage, Support caregivers to manage their caregiving responsibilities and care for themselves as well, Enable persons with mental health conditions to attain empowerment and social inclusion; and Other emerging needs",Please contact the organisation for more details.,"When to Apply There are two application windows each year, in April and October. To submit your proposal, click the ""Apply Now"" button below. What to Prepare As you prepare your application, please follow these steps: Download the Application Form (for reference only). Download and sign the Declaration Form For Organisations: To be signed by CEO For Individuals (Submission of Seed applications ONLY) : To be signed by Team Leader Download 4STPF Application Budget Template For more information and assistance, please feel free to contact us at grants@majurity.sg .",4ST Partnership Fund grants@majurity.sg Website,https://www.sgsocialsupport.com/resource/-fd9A9yJR7-
Accessibility Fund (Building and Construction Authority),"To promote an accessible and inclusive built environment, the BCA Accessibility Fund provides grants to building owners for upgrading their existing buildings with essential accessibility and Universal Design features. Building owners, lessors who have the ownership right to upgrade the building and lessees who can carry out the upgrading works with the endorsement of the building owners/lessors are eligible to apply for this fund.",https://www.sgsocialsupport.com/resource/5P6DLGV5jqn,No Content Found,"Private buildings built before the implementation of Code on Barrier-free Accessibility in Buildings 1990 that do not have Basic Accessibility features. The fund would co-pay up to 80% of the construction cost of the Basic Accessibility Features cited below: Accessible Entrance; Ramps; Accessible toilet; Signage for accessibility features; Lifts compliant with SS 550 (up to S$200,000/lift); and Accessible car park lot Private buildings built before the implementation of Code on Accessibility in the Built Environment 2013 that have Accessibility features. The fund would co-pay up to 60% of the construction cost of Universal Design Features cited below: Grab bars for ambulant disabled and elderly urinals/WC; Child-friendly WC/urinal/wash basin; Lactation room; Diaper-changing room; Hearing enhancement systems; Braille and tactile features; and Family car park lot",Please contact the organisation for more details.,Interested parties may reach out to BCA via the enquiry form by scanning the QR code or visiting https://go.gov.sg/bca-accessibility-fund-enquiry .,Building and Construction Authority Website,https://www.sgsocialsupport.com/resource/5P6DLGV5jqn
Active Citizen Grant (YouthCreates) (Sport Singapore),"They support community sporting events/projects that fulfil any of the following objectives:Engage the community with meaningful and impactful volunteering opportunities.Demonstrate innovative ways of engaging and inspiring the community through sport, physical activity or health &amp; wellness initiatives.Incorporate elements of “Care” that contribute towards building a caring society e.g. by providing opportunities for social mixing among different groups, offering volunteering platforms for the community to give back to society, rallying participation and contribution behind a good cause.",https://www.sgsocialsupport.com/resource/JersS4FSdzx,No Content Found,"Anyone can apply, but YouthCreates should be targeted for Youths (below 35 years old) creating projects while Team Singapore should be targeted for Athletes. More details on eligibility are available in the grant guidelines .","YouthCreates, Team Nila & Team Singapore are capped at $20,000. All applications need to abide by all prevailing safe management measures and guidelines. As safe management requirements are subject to changes, please refer to the SportSG | COVID-19 Updates ( sportsingapore.gov.sg ) for COVID 19 related advisories.","Apply all year round for Team Nila, Team Singapore & YouthCreates. Completing the grant application should take about 30 mins with all the information on hand. All fields are mandatory unless otherwise stated. DOCUMENTS REQUIRED FOR APPLICATION Complete the following documents and upload them to the relevant sections of the form before you submit your application: Active Citizen_Project_Proposal_V1 (DOCX 62.8 KB) Active Citizen Budget Form (XLSX 19.9 KB) Active Citizen_Consent Form (DOCX 23.3 KB) (if below 18 years old)",Our SG Grants Website Our SG Grants Contact Form Website,https://www.sgsocialsupport.com/resource/JersS4FSdzx
Asian Medical Foundation,"To provide financial assistance to impoverished patients in need of medical or health care.To promote or organise programmes for the furtherance of continued medical and health education and training for doctors and other healthcare providers.To fund research and development to improve diagnostics, therapeutic and prophylactic procedures and the understanding of the aetiology and pathogenesis of diseases.",https://www.sgsocialsupport.com/resource/4eBcWgQSHNu,No Content Found,"Type of projects that AMF support We aim to help needy patients and groups requiring medical treatment, particularly those who may require urgent medical treatment. We provide funding for community projects to support the needy and underprivileged. We work with like-minded government agencies, charities, corporations, and NGOs on community projects catered to the less fortunate. Grant request must meet all of the following criteria: Helps the needy and underprivileged in Singapore meet a need. Initiatives outside of the country will not be considered. Identified gaps or needs must be clearly depicted and proposals must articulate how the programme can address it. There should be concise explanation of the current problem and how the results of the programme will solve that problem.",Please contact the organisation for more details.,"To apply for a grant or for enquiries, please send an email to: enquiries@asianmedicalfoundation.org All applications are subject to AMF’s approval. Grants, if given, are subject to terms and conditions. AMF reserves the right to change the criteria and terms and conditions of the grant without prior notice.",Asian Medical Foundation ​Ltd enquiries@asianmedicalfoundation.org Website,https://www.sgsocialsupport.com/resource/4eBcWgQSHNu
Asian Youth Mental Wellbeing Fund (AVPN),"As a regional ecosystem builder, AVPN has launched the Youth Mental Wellbeing Philanthropic Pooled Fund to increase accessibility of youth mental wellbeing services across the region.Despite substantial research advances demonstrating what can be done to promote mental wellbeing among young people, translation into real-world effects are lagging behind. In Asia, problems arising from poor mental health and wellbeing are the second largest contributor to years of health life lost to disability and many treatment gaps still persist.",https://www.sgsocialsupport.com/resource/ZpTyMW9rZDK,No Content Found,"Organisations that are working to address accessibility to quality, evidence-based mental health services for youth communities in Asia","AVPN's goal is to raise USD 3 million to strengthen and scale transformative impact organisations. Besides deploying financial capital through the fund, AVPN will also work with the funders to provide non-financial support to grantees through corporate volunteering engagement opportunities.",Please contact the organisation for more details.,"AVPN + − Leaflet | OneMap © contributors | Singapore Land Authority 171 Tras Street 
#10-179 Union Building 
S079025 Mon - Fri: 9:00am to 5:00pm 6536 1824 funds@avpn.asia Website",https://www.sgsocialsupport.com/resource/ZpTyMW9rZDK
Capability Development Grant (NAC),The Capability Development Grant (CD Grant) encourages and supports the continuous professional development of the people that work in Singapore’s arts and culture sector. The CD grant is able to support activities or programmes that span a duration of no more than 12 consecutive monthsThe grant is open to individuals and organisations and supports the following training activities or programmes that span a duration of no more than 12 consecutive months: Professional training and skills development programmes On-the-job training activities Mentorship and apprenticeships Peer-to-Peer learning opportunities,https://www.sgsocialsupport.com/resource/pUh2YB-NHM9,No Content Found,Individuals who are Singapore Citizens or Permanent Residents (PR) preferably residing in Singapore and actively contributing to the local arts scene. Priority will be given to applications by Self-employed Persons (SEPs)4 and who are Singapore Citizens or Permanent Residents residing in Singapore and work in the local arts scene. Organisations that are either registered with ACRA (including sole proprietorship / limited liability partnership (LLP) / Company Limited by Guarantee (CLG) / Private Limited Company) or as a society with the Registry of Societies at the time of application. Informal groups or collectives in which the majority of members are Singapore Citizens or PR can apply but the applicant (be it a member of the group or a legally constituted organisation) will have to take legal and financial responsibility on behalf of the collective,"Up to 70% of project costs, capped at 20,000 for individuals and 75,000 for organisations. Please refer to https://www.nac.gov.sg/docs/default-source/support-files/funding-and-schemes/capability-development-grant/cd-grant-guidelines.pdf?sfvrsn=2e2e213c_25 for the grant guidelines.","Applications must be submitted online via https://go.gov.sg/naccdgrant on the closing date . Late applications and submissions via other means e.g. email, hardcopies will not be accepted. The grant is opened 3 times a year. If there is any pending information from partners/collaborators, please submit the application by the closing date and state clearly what is still outstanding/unconfirmed. The outstanding information should be submitted to NAC once available. In line with efforts to encourage greater governance over grant monies, the following will apply to all Presentation and Participation Grants awarded from 1 April 2020: Grants $10,000 and above will require their Statement of Accounts to be certified by an accountant registered with the Institute of Singapore Chartered Accountants (ISCA) or equivalent international body. As part of the submission during grant closure, the proof of the accountant's registration with ISCA or any equivalent international body (e.g. ISCA Membership ID) should be provided as well. For any queries and clarifications, please email NAC_Feedback@nac.gov.sg .",National Arts Council Website,https://www.sgsocialsupport.com/resource/pUh2YB-NHM9
CCF Collaboration Grant (NCSS Charities Capability Fund),"The grant aims to encourage ground-up collaborations and incentivise charities to consolidate their needs and build capabilities/solutions that can be shared among charities. It will support projects that could enhance charities’ governance, productivity, operational efficiency and capabilities development. Examples of projects are:Development of manuals/guidelines/ best practices for charities or charities’ beneficiaries.Design of systems that can be co-shared to enhance charities’ capabilities.Charities may engage an external consultant to support the project or implement the project themselves. To qualify as a collaborative project, it must involve and benefit at least 2 charities (i.e. with 2 different UEN No.). In the project proposal, the Lead Charity should list out the Names of Charities (and UEN No.) that would benefit from the collaborative project.Charities can apply for Collaboration Grant in addition to the other existing grants.",https://www.sgsocialsupport.com/resource/z9htdDspWnx,No Content Found,"All exempt and registered charities and IPCs are eligible to apply for the Fund, unless otherwise indicated. Applicants must not receive any funding from other government sources for the same purpose for which CCF funding is sought, unless specifically allowed. Approval of applications is subject to applicants’ complete submission of their latest Annual Report, audited Financial Statements and Governance Evaluation Checklist on the Charity Portal. Training courses or projects that have commenced (or purchases made, including purchase contracts/engagement letters which the charity entered into with the vendor), before the submission and approval of the CCF application, will not be eligible for funding.","For All Charities: Up to 80% of project cost capped at $50,000 per project. Charities which wish to seek funding for this collaborative project may appoint a Lead Charity and submit a project proposal for consideration anytime throughout the year. The project proposal should include details on project objectives, project cost and deliverables. The first 50% of the funding amount will be disbursed upfront upon the signing of the CCF funding agreement and submission of the signed agreements with the vendor. The remaining 50% will be reimbursed upon submission of the following: Collaboration Report Satisfactory assessment of the Final Evaluation Report All invoices These documents are to be submitted to the CCF Secretariat within 1 month after the completion of the project. The total reimbursement will be granted at the approved funding amount or 80% of the actual expenditure, whichever is the lower.","Applications for CCF Collaboration Grant should be submitted at https://oursggrants.gov.sg with your charity’s preferred vendor's quotation. For project costs exceeding $6,000, your charity should attach 3 quotations of comparable scope. Applications for the Collaboration Grant should be submitted to the CCF Secretariat at least 3 months before the project commences to be eligible for the funding. Project should only commence upon successful approval of the funding application.",NCSS Website,https://www.sgsocialsupport.com/resource/z9htdDspWnx
CCF Consultancy Grant (NCSS Charities Capability Fund),"Consultancy projects by external consultants to review and draft policies and standard operating procedures for the charity, and in attaining organisational excellence certifications and accreditations in key governance and management areas such as : Board GovernanceConflict of InterestStrategic PlanningProgramme ManagementHuman Resource and Volunteer ManagementFinancial Management, Internal Controls, Risk ManagementFundraising PracticesDisclosure and TransparencyPublic Image/CommunicationsDigitalisation/Data Protection/Cyber SecurityLeadership and Organisational DevelopmentAnti-Money Laundering/Countering the Financing of TerrorismCrisis Management, Business Continuity Planning",https://www.sgsocialsupport.com/resource/kB9hv6bQH6-,No Content Found,"All exempt and registered charities and IPCs are eligible to apply for the Fund, unless otherwise indicated. Applicants must not receive any funding from other government sources for the same purpose for which CCF funding is sought, unless specifically allowed. Approval of applications is subject to applicants’ complete submission of their latest Annual Report, audited Financial Statements and Governance Evaluation Checklist on the Charity Portal. Training courses or projects that have commenced (or purchases made, including purchase contracts/engagement letters which the charity entered into with the vendor), before the submission and approval of the CCF application, will not be eligible for funding.","The first 50% of the funding amount will be disbursed upfront upon the signing of the CCF funding agreement and submission of the signed agreements with the vendor. The remaining 50% will be reimbursed upon submission of the following: Appointed consultants’ report Satisfactory assessment of the Final Evaluation Report All invoices These documents are to be submitted to the CCF Secretariat within 1 month after the completion of the consultancy project. The total reimbursement will be granted at the approved funding amount or 80% of the actual expenditure, whichever is the lower.","Applications for CCF Consultancy Grant should be submitted at https://oursggrants.gov.sg with your charity’s preferred vendor's quotation. For project costs exceeding $6,000, your charity should attach 3 quotations of comparable scope. Applications for the Consultancy Grant should be submitted to the CCF Secretariat at least 3 months before the project commences to be eligible for the funding. Project should only commence upon successful approval of the funding application.",NCSS Website,https://www.sgsocialsupport.com/resource/kB9hv6bQH6-
CCF Info-Communications Technology Grant (NCSS Charities Capability Fund),Provides co-funding for charities to harness ICT to digitise their operations to increase efficiency and to facilitate efforts in being more transparent and accountable to stakeholders and members of the public.,https://www.sgsocialsupport.com/resource/WJuYaNvk4Nn,No Content Found,"All exempt and registered charities and IPCs are eligible to apply for the Fund, unless otherwise indicated. Applicants must not receive any funding from other government sources for the same purpose for which CCF funding is sought, unless specifically allowed. Approval of applications is subject to applicants’ complete submission of their latest Annual Report, audited Financial Statements and Governance Evaluation Checklist on the Charity Portal. Training courses or projects that have commenced (or purchases made, including purchase contracts/engagement letters which the charity entered into with the vendor), before the submission and approval of the CCF application, will not be eligible for funding.","(A) Basic infrastructure components For Small and Medium size Charities: 80% of the supported cost or actual expenditure, whichever is lower, and capped at: 4 computers (Desktop or Laptop): $1,500 per equipment 2 Printers: $300 per equipment 1 Broadband Account: $1,700 per account (One time application only) Website development costs to facilitate publishing of charity’s information for transparency: $3,000 per charity (One time application only) Subscription charges of video and audio-conferencing tools: $250 per charity (One time application only) Firewall devices: $3,000 per charity (One time application only) (B) Digital solutions that can enhance productivity and operational efficiency of charities, in areas such as those below. For All Charities*: Up to 80% of the supported cost or actual expenditure, whichever is lower, and capped at $40,000 per charity over 5 years. Accounting Management Bill & Payment Customer Relationship Management Cyber Security Document Management Donor Management Digital Marketing/Fund-raising Human Resource Management Learning Management Live Streaming Remote Working Visitor Management Volunteer Management Live Streaming Supportable scope are: 3-year funding (80% for 1st year, 50% for 2nd and 3rd year) Professional Fees & Add-on (Up to $6,000) Non-supportable scope: Extended warranty Bank charges * For digital solutions, Social Service Agencies will continue to receive funding support under the Community Capability Trust (CCT). Charities from the Arts & Heritage, Community, Education, Health, Sports and Others sector which are interested in adopting large scale / specialised IT systems, you may check out: Charities - Tech Subsidy ( ncss.gov.sg ) for funding.","Your charity may submit its ICT Grant applications at https://oursggrants.gov.sg with its preferred vendor’s quotation.For more information, please contact NCSS Pumpkin Squad at Tech-and-GO@ncss.gov.sg . (A) Basic infrastructure components Applications for Basic infrastructure components should be submitted at least 1 month before the purchase or project commencement, including purchase contracts/engagement letters which the charity entered into with the vendor, to be eligible for the funding. Purchase and project should only commence upon successful approval of the funding application. (B) Digital solutions Applications for Digital solutions should be submitted at least 2 month before the purchase or project commencement, including purchase contracts/engagement letters which the charity entered into with the vendor, to be eligible for the funding. Purchase and project should only commence upon successful approval of the funding application. Category A (Basic Infrastructure) The full 100% of approved amount will be reimbursed upon the submission of the following: Charity’s Acceptance of Letter of Approval (LOA) from NCSS. This is to be completed within 2 weeks from the date the approval package was sent. Invoice Vendor agreement (where applicable) Supporting Documents ensuring the system has been implemented or fully utilised. Category B (Digital Solutions) First 80% of the funding amount will be disbursed upfront upon: Charity’s Acceptance of Letter of Approval (LOA) from NCSS. This is to be completed within 2 weeks from the date the approval package was sent. Vendor / Service Agreement or Signed Contract from Service Provider (where applicable) The remaining 20% will be disbursed upon the satisfactory assessment of the following, within 8 months of project completion: Vendor agreement for 1st to 3rd year recurrent cost (where applicable) Invoice for 1st to 3rd year (where applicable) Supporting Documents ensuring the system has been implemented or fully utilised.",NCSS Website,https://www.sgsocialsupport.com/resource/WJuYaNvk4Nn
CCF Shared Services Grant (NCSS Charities Capability Fund),"Outsourcing of corporate functions such as payroll, finance, accounting, human resource and information technology functions to third-party service providers in areas such as those below to improve backroom-operations efficiency.&nbsp;&nbsp;&nbsp;&nbsp;Accounts PayableAccounts ReceivableAssets Record ManagementJournal AdjustmentFinancial &amp; Management ReportsAudit ManagementHuman Resource ManagementInformation Technology Management",https://www.sgsocialsupport.com/resource/76mDNFNzxBV,No Content Found,"All exempt and registered charities and IPCs are eligible to apply for the Fund, unless otherwise indicated. Applicants must not receive any funding from other government sources for the same purpose for which CCF funding is sought, unless specifically allowed. Approval of applications is subject to applicants’ complete submission of their latest Annual Report, audited Financial Statements and Governance Evaluation Checklist on the Charity Portal. Training courses or projects that have commenced (or purchases made, including purchase contracts/engagement letters which the charity entered into with the vendor), before the submission and approval of the CCF application, will not be eligible for funding. Charity can only tap on the fund for one shared services project at a time. Services which have already been supported for up to 2 years betwee April 2022 to 31 March 2027 will not be funded the second time. The cumulative funding cap is $30,000 per charity from 1 April 2022 to 31 March 2027.","First 30% of the approved amount Submission of signed agreements with the vendor Completed signing of the Funding Agreement with NCSS Second 30% of the approved amount Submission of the invoices for the first year of service period. All invoices are to be submitted within 2 months from the date of the last invoice. Final 40% of the approved amount or actual shared service charges, whichever is lower. Submission of the invoices for the second year of service period. All invoices are to be submitted within 2 months from the date of the last invoice.","Applications for CCF Shared Services Grant should be submitted at https://oursggrants.gov.sg with your charity’s preferred vendor’s quotation. For project costs exceeding $6,000, your charity should attach 3 quotations of comparable scope. Applications for the Shared Services Grant should be submitted to the CCF Secretariat at least 2 months before the service commences to be eligible for the funding. Project should only commence upon successful approval of the funding application.",NCSS Website,https://www.sgsocialsupport.com/resource/76mDNFNzxBV
