Name;Description;Link;Full Content;Who can apply;What to expect;How to apply;Contact;Source URL
Tinkle Friend  Children s Society ;Provides support  advice  and information to lonely and distressed primary-school-aged children 7 to 12 years old  especially in situations when their parents or main caregivers are unavailable. Calls to the helpline and chats on the online chats are recorded for record keeping purposes.;https   www.sgsocialsupport.com resource HMYFDsayKFH;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Tinkle Friend  Children s Society  Mon - Fri
2.30pm - 5pm 1800 2744 788 Website";https   www.sgsocialsupport.com resource HMYFDsayKFH
Aces HelpLife  Aces Care Limited ;"When you call us  our ACES HelpLife Agent will listen to your needs and help you to get what you need.
We will then connect you to volunteers who will help you to use the internet to stay connected and access services   so you will not be alone or isolated 
How can we help 

Meals Delivery
Changing  amp  setting up of medical appointments
Dealing with emergencies
Use apps and the internet to stay connected and access services
Answering your concerns on scams  anxiety on being alone  need for healthcare  and being isolated";https   www.sgsocialsupport.com resource K8XUMBmaBbu;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Aces Care Working Hours 
Monday to Friday from 9 00 am to 5 00 pm 6797 6797 contact@acescare.sg Website";https   www.sgsocialsupport.com resource K8XUMBmaBbu
All Addictions Helpline  National Addictions Management Service ;;https   www.sgsocialsupport.com resource 28cFLBwRKrk;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"All Addictions Helpline  National Addictions Management Service  Monday to Sunday  8.30am   9.00pm
Public Holiday  8.30am   9.00pm 6732 6837 Website";https   www.sgsocialsupport.com resource 28cFLBwRKrk
AMP Helpline;Fear. Embarrassment. Pride.These are the three main reasons many have cited that prevent them from meeting a counsellor or social worker in person to talk about their problems and issues. For them  and many others  AMP offers its Helpline services to lend a listening ear.The AMP Helpline provides emotional support to a person in distress. It offers non-judgmental listening where you have the freedom to speak about anything that is causing an emotional crisis  without the fear of being judged and with the assurance of confidentiality.Whatever your concerns may be  give the AMP Helpline a call. We are all ears.;https   www.sgsocialsupport.com resource HQjQaymJ6mu;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"AMP Helpline Mondays to Fridays
10.00 am to 5.00 pm 6416 3960 6416 3961 Website";https   www.sgsocialsupport.com resource HQjQaymJ6mu
AWARE Women s Helpline;The AWARE Women s Helpline is run by women  for women. Trained volunteers and staff will be able to provide you with assistance about various concerns  offering empathy  support  information and encouragement. The Helpline is your gateway to all of AWARE s services. You can call to make an appointment with our counsellors or lawyers  and find out more about how AWARE can support you. We offer support in English  Mandarin  Malay and Tamil.Run by Women  For WomenAccess all AWARE services through helplineConversations are confidentialOnline text chat zoom  and call back options availableAvailable in English  Mandarin  Malay and Tamil;https   www.sgsocialsupport.com resource DPj4Csg9T9A;No Content Found;Women;"All conversations you have with us will be kept confidential. However  in certain situations we may have to let local authorities  including police or child protective services know some of your information. Such situations can include the following  You have told us about a situation in which you or another person is unsafe and we are unable to ensure your safety by listening and talking to you about safety options. You are a minor  a person under the age of 16  at risk of harm  or have let us know that a minor is at risk of harm and we are unable to ensure safety.
There are legal requirements which compel us to disclose what you have said to us for example  if the police request access to your records.";Women s Helpline 1800 777 5555 is available from Monday   Friday  10 a.m.   6 p.m If the lines are busy or if the situation is unsafe for a phone call  please book a chat or call back appointment from the link below.;"AWARE Centre     Leaflet   OneMap   contributors   Singapore Land Authority Block 5 Dover Crescent  01-22
 
S130005 Mondays to Fridays  10 a.m. to 6 p.m By Appointment Only  6779 7137 aware@aware.org.sg Website AWARE Women s Helpline Monday   Friday  10 a.m.   6 p.m 1800 777 5555 aware@aware.org.sg AWARE Women s Helpline Online chat or call back appointment Website";https   www.sgsocialsupport.com resource DPj4Csg9T9A
Babes Pregnancy Crisis Support;Babes  A Helping Hand for Pregnant TeensWe are here to listen  provide emotional support and journey with pregnant teenagers in their time of crisis.;https   www.sgsocialsupport.com resource x8cbj4J7ngT;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Babes Pregnancy Crisis Support 24 hours 6206 6641 Website Whatsapp helpline 3135 1351 Website;https   www.sgsocialsupport.com resource x8cbj4J7ngT
Care Corner Toll-Free Counselling Hotline  Mandarin    800    ;As the largest and only toll-free Mandarin counselling hotline  1800-3535-800  in Singapore  Care Corner has been providing support to distressed help-seekers in the community for over 40 years. nbsp Our team of more than 120 trained volunteer hotline counsellors provide individuals with emotional first aid and counselling intervention to prevent escalation of mental health issues  provide emotional regulation and manage relationship challenges. nbsp Listening with care and empathy  our trained volunteer hotline counsellors help individuals cope with Family dynamics issuesGrief and loss nbsp Mental health challenges nbsp  nbsp Personal challenges nbsp Pre-marital and marital issuesOur dedicated trained volunteers undergo a robust 180-hour training and practicum.;https   www.sgsocialsupport.com resource F8fXURFw6fh;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Care Corner Toll-Free Counselling Hotline  Mandarin    800     1800 3535 800 Website;https   www.sgsocialsupport.com resource F8fXURFw6fh
Dementia Helpline  Dementia Singapore ;Provides information and service linkages on dementia care.;https   www.sgsocialsupport.com resource AZnxT6E7N6b;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Dementia Singapore Monday Friday  9am 6pm
Saturday  9am 1pm 6377 0700 Website";https   www.sgsocialsupport.com resource AZnxT6E7N6b
LGBTQ Women s Helpline  Brave Spaces ;Brave Spaces is a Singapore-based non-profit organisation that develops programmes  provides social services  organises events  and conducts research and advocacy to empower women in Singapore.The Brave Helpline is a social service helpline that is affirming  empathetic  resourceful  and attentive to the anxieties and hopes of LBTQI women in Singapore.;https   www.sgsocialsupport.com resource TKer25hXTkg;No Content Found;Women in Singapore who identify as lesbian  bisexual  transgender  queer or intersex  LBTQI  and are facing distress or crisis can contact the Helpline. We also extend support to transmen  transwomen  and persons who identify as trans . Friends and family members seeking to understand and support LBTQI women are welcome to call us.;The Brave Helpline is a safe  affirming and non-judgemental space for you. Your safety and well-being is of our utmost concern. Our Brave Helpliners will listen to you  believe you and support you. We believe you will be the best judge of your safety  and will talk through your options with you. Where appropriate  we will refer you to a local domestic violence support service or women s refuge. We can also provide you with a range of information on finance  legal  and available social welfare services. Here are some of the issues we can provide support on  Process of understanding self in the face of discrimination or violence Existential issues Relationship matters Uniqueness of different life stages Someone to help you reflect on your thoughts in general areas of life Resource giving  advice on state and civic resources Parents seeking to understand a LBTQI child Adult seeking to understand LBTQI parent LBTQI adult seeking to build loving relationships with parent and grandparents Currently facing a crisis Needing a befriender Support and assistance with making a police report or attending to an emergency matter;Call into the helpline at  65 8788 8817.;Brave Spaces Mon - Fri  10 00am to 6 00pm 8788 8817 Website;https   www.sgsocialsupport.com resource TKer25hXTkg
Lifeline NUS;For students facing life threatening psychological emergencies to seek immediate help and support.;https   www.sgsocialsupport.com resource vWDFzJTy2gW;No Content Found;Current NUS students;Please contact the organisation for more details.;Please contact the organisation for more details.;Lifeline NUS 24-hour hotline 6516 7777 Website;https   www.sgsocialsupport.com resource vWDFzJTy2gW
