Name;Description;Link;Full Content;Who can apply;What to expect;How to apply;Contact;Source URL
Binder Redistribution Service   Transbefrienders  ;Transbefrienders is a registered non-profit organisation providing appropriate information and emotional support to guide transgender youths in their transitioning journey. We also act as an intermediary support for folks going through the healthcare system in Singapore to manage suicidal ideation and prevent suicide attempts.Transbefrienders runs a binder redistribution project for FTM transmasculine people.;https   www.sgsocialsupport.com resource 99FpZmx85BH;No Content Found;FTM Transmasculine people in need of a binder;Please refer to the terms and conditions on the binder redistribution form provided by TransBefrienders. Applicants will only be contacted if there is an available binder.;Please apply at https   www.transbefrienders.com binder;"Transbefrienders  Alicia Community Centre      Leaflet   OneMap   contributors   Singapore Land Authority 7 Race Course Ln 
S218734 befriend@transbefrienders.com Website";https   www.sgsocialsupport.com resource 99FpZmx85BH
Books Don t Throw;Exchange space to give books a second lease of life for members based in Singapore. All books here should be given F.O.C. or barter traded. The aim of this group is to promote reading  reduction of waste and spreading kindness.;https   www.sgsocialsupport.com resource dXkNyBJxP63;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Books Don t Throw Website;https   www.sgsocialsupport.com resource dXkNyBJxP63
DigiReady @ North West - Donations to the programme  North West CDC ;"DigiReady @ North West provides holistic support to vulnerable residents in the following aspects of digital readiness  refurbished devices and accessories  subsidised broadband  and troubleshooting faulty digital devices.
Support on Digital Devices
Students  seniors and families from low-income backgrounds may request for free refurbished devices through our community partners  e.g. Community Clubs and Social Service Agencies .
Contribute to the programme
Donate your preloved IT equipment  It will be refurbished with a new form of life for under-privileged students  seniors or families.
What items can you contribute 

Laptops
Mobile phones and tablets
Keyboard and mouse
Headset
Laptop bag

Complete this form  https   go.gov.sg digiready  to schedule for drop-off or home collection.";https   www.sgsocialsupport.com resource mqxyJ4P3-9u;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;North West CDC 6248 5566 northwest cdc@pa.gov.sg Website;https   www.sgsocialsupport.com resource mqxyJ4P3-9u
DigiReady @ North West  North West CDC ;DigiReady @ North West provides holistic support to vulnerable residents in the following aspects of digital readiness  refurbished devices and accessories  subsidised broadband  and troubleshooting faulty digital devices.Subsidised broadbandThe scheme supports beneficiaries under the IMDA s DigitalAccess @ Home Scheme  who are residing in the North West  providing additional subsidies of up to  250  for a period of three years contract.To apply for the scheme  please complete this form and submit all supporting documents. Our officer will get in touch with you upon successful application.;https   www.sgsocialsupport.com resource W7PD-pwXF7R;No Content Found;"Recipient of subsidised broadband under IMDA s DigitalAccess@Home Scheme
Resident of North West District";If your application is successful  you will receive  250  one-off  assistance for broadband subscription;Visit https   go.gov.sg nwdigiready Prepare your supporting documents  DigitalAccess@Home approval letter from IMDA New telco contract Bank supporting document PayNow profile screenshot Copy of your NRIC;North West CDC 6248 5566 northwest cdc@pa.gov.sg Website;https   www.sgsocialsupport.com resource W7PD-pwXF7R
Engineering Good;"About Engineering Good  EG 
EG is a Singapore-based charity that supports vulnerable communities through sustainable engineering and technology. Our donations are channelled to serve over 200 social service agencies in Singapore. We focus our efforts on two key groups.

Assistive Technology  AT  for Persons with Disabilities  PwDs   EG develops technical solutions that empower PwDs to live independent and fulfilling lives. This includes the following programs 
  Tech for Good  A festival that brings together youth innovators  tech and engineering mentors  and the disability community to collaboratively build affordable open-source AT devices and solutions.
  Inclusive Makerspace  A space where makers and tinkerers can access free tools to create open-source AT solutions.
  Bespoke Projects  Collaborative initiatives with social service agencies and community groups to directly support PwDs with tailored AT solutions.
Digital Inclusion Initiatives for Vulnerable Communities  EG empowers disadvantaged communities by providing digital connectivity and the necessary skills. The programs in this area include 
  Laptop Refurbishment and Distribution  EG refurbishes and distributes laptops to individuals who lack access  enabling them to stay digitally connected.
  Laptop Refurbishment Workshops  EG runs laptop repair training with corporate partners and volunteers to inculcate a repair mindset  where volunteers can provide tech support for vulnerable communities.";https   www.sgsocialsupport.com resource EVxrEsw6chG;No Content Found;Social service agencies who wishes to request laptops for their beneficiaries should email to request4laptops@engineeringgood.org with their request.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Engineering Good     Leaflet   OneMap   contributors   Singapore Land Authority 994 Bendemeer Road  B-Central   02-04

 
S339943 Mon-Fri   Sun  10am-6pm contactus@engineeringgood.org Website";https   www.sgsocialsupport.com resource EVxrEsw6chG
Free Prescription Glasses  Kembangan-Chai Chee PA ;Kembangan-Chai Chee provides free prescription glasses to needy individuals who are not able to afford proper eye care.;https   www.sgsocialsupport.com resource vYk7feJb5Ne;No Content Found;Resident must reside within Kembangan-Chai Chee;Free pair of prescribed glasses;To approach Kampong Ubi CC for assistance;"Kembangan-Chai Chee PA     Leaflet   OneMap   contributors   Singapore Land Authority 10 Jalan Ubi 
S409075 10 00AM - 6 00PM  Closed on Public Holidays  6745 9919 Website";https   www.sgsocialsupport.com resource vYk7feJb5Ne
ItsRainingRaincoats;ItsRainingRaincoats  IRR  is an initiative that aims to improve the lives of migrant workers in Singapore  by building bridges to strengthen their integration into our community  city and country. We employ authentic and nimble strategies to help improve the quality of the workers  lives and make them feel valued  appreciated  safe and welcome in Singapore. Our raincoat emblem symbolizes the protection we provide them from their metaphorical thunderstorms.;https   www.sgsocialsupport.com resource eUE8E4EXM5V;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;ItsRainingRaincoats admin@itsrainingraincoats.com Website;https   www.sgsocialsupport.com resource eUE8E4EXM5V
Pass-It-On;"The project seeks to provide a meaningful way to distribute unwanted  albeit useful items to benefit the needy  home appliances  home furniture  medical aids  mobility aids  learning aids  amp  etc . With Pass-It-On   your used item can be given a new lease of life  and to better the life of needy 
Pass-It-On connects General Public to the needy via Voluntary Welfare Organizations  VWOs . Pass-It-On provides a web platform by channelling the donated items to the needy under the VWOs  for examples  Family Service Centres and Senior Citizen Centres  care. Anyone  within Singapore  can donate  as long as the items are useful and of good working condition.
VWOs registered with Pass-It-On can request items on  Wish List . General Public can fulfil needy wishes by donating the requested items. Alternatively  General Public can post them on Pass-It-On website. The donated items will be made available to all registered VWOs  who shall reserve the donated items if find suitable for their needy clients. VWOs shall arrange collection of the donated items directly with the donor.";https   www.sgsocialsupport.com resource wD4jcJh5HhS;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"The Helping Hand 819 Upper Serangoon Road
Singapore 534678 8511 9160 passiton@thehelpinghand.org.sg Website";https   www.sgsocialsupport.com resource wD4jcJh5HhS
Play It Forward;"Public pianos around Singapore for all to play 
Play it Forward Singapore is a homegrown public piano movement launched by three piano nerds in September 2015.
The idea first came about when we heard about the large number of old pianos being thrown away every year. Many people we know love to play the piano  but stopped doing so for various reasons. Hundreds of neglected pianos are gathering dust in homes across Singapore right now. At the same time  there are some among us who cannot afford to own a piano or do not have access to this instrument. 
So we thought  why not rescue these unwanted instruments and share them with everyone  
We wanted people to love playing music again  so we decided to place these pianos in public spaces as public instruments that anyone can play on anytime. But what if these pianos can look interesting too   We collaborated with local artists and designers to transform old pianos into public art pieces  while remaining as functional instruments that are a joy to play on.
As musicians ourselves  we are particular about the sound quality of the old pianos and will do everything we can to make sure that everyone enjoys playing on them in a location with good acoustics. We hire professionals to tune all our public pianos  and sometimes we ourselves give it a go at repairing the hammers and strings 
Till today  we have restored more than 20 pianos into public art installations which were donated to needy beneficiaries after the public run. Our public pianos have since traveled to more than 16 locations in the city and played by thousands of people since.
We have seen people whose faces lit up with a smile when a friend sits down to play a tune  musicians who now have a place to practise and perform  urban spaces transformed into places for interaction and bonding  and numerous videos of beautiful performances on the street by musicians and curious onlookers. It makes our day when we see people gathering around the pianos and enjoying the music in the Singapore city.
We have successfully completed our fourth edition of public pianos in the city and preparing for our latest edition commencing in August 2017. Check out more about the pianos here. Play It Forward Singapore was commended by the Ministry of Culture  Community  Youth and Sports  MCCY   Our Singapore  campaign as one of the  ideas that are changing Singapore  in 2016.
We cannot wait to do more and bring together more people in this movement of giving  collaborating and sharing the joy of music in our lion city.";https   www.sgsocialsupport.com resource GQJPr4YRcvu;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Play It Forward sg.playitforward@gmail.com Website;https   www.sgsocialsupport.com resource GQJPr4YRcvu
Positive Appearance Scheme  BCF ;The Positive Appearance Scheme provides sponsorship for prostheses and bras for lower-income women diagnosed with  and survivors of breast cancer. It is only available at government run  restructured hospitals.;https   www.sgsocialsupport.com resource ZvA-b-2p39s;No Content Found;The following are the criteria  Women who have had mastectomy surgery at least 3 months prior  so as to allow time for the surgery stitches to heal   the application can be submitted earlier  Patients must be referred by their hospital s Medical Social Worker  MSW  Those who qualify for it could approach their medical social worker for more information on the application for the scheme.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Breast Cancer Foundation     Leaflet   OneMap   contributors   Singapore Land Authority Blk 441 Sin Ming Avenue   01-417 
S570441 6356 6560 enquiries@bcf.org.sg Website";https   www.sgsocialsupport.com resource ZvA-b-2p39s
Recyclopedia;Recyclopedia is a Singapore-based ground-up initiative started in 2021 by a group of volunteers who wanted to make it easy to find answers to common questions about unwanted items.;https   www.sgsocialsupport.com resource PfpBp7dHqDD;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Recyclopedia hello@recyclopedia.sg Website;https   www.sgsocialsupport.com resource PfpBp7dHqDD
