Name,Description,Link,Full Content,Who can apply,What to expect,How to apply,Contact,Source URL
Advocates for Refugees Singapore,"We are a ground-up movement based in Singapore, focused on bringing about greater awareness on the issues of refugees and forced migration in the region and beyond. We feel strongly that Singapore – like many other countries – has a crucial role to play as part of the international community in responsibility-sharing when responding to the effects and consequences of global displacement.
As of September 2018, we are a member organization of the Asia Pacific Refugee Rights Network (APRRN).
We were inducted to Singapore Kindness Movement’s Ground Up Movements (GUM) and became a member of Groundup Central under the National Volunteer and Philanthropy Centre (NVPC) in June 2021.",https://www.sgsocialsupport.com/resource/fJGswcv4j45,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Advocates for Refugees Singapore Website,https://www.sgsocialsupport.com/resource/fJGswcv4j45
Ambulance Wish Singapore,"We are a charity supporting terminally ill patients through the simple but deeply meaningful act of wish granting. We believe every patient deserves the opportunity to have their wishes fulfilled, regardless of patient diagnosis and background.",https://www.sgsocialsupport.com/resource/eCMs-2LCau5,No Content Found,"Who is eligible for a wish? Anyone aged 19 and above who: has < 12 months prognosis. This includes people whose death is imminent (expected within a few hours or days) and those with: * End-stage conditions, for example, organ failure and late-stage cancer * General frailty and co-existing conditions that mean they are expected to die within 12 months * Conditions that put them at risk of dying from a sudden acute crisis * Life-threatening acute conditions caused by sudden catastrophic events Is Singaporean or Permanent Resident Has not received a wish from another organisation Patient who may be eligible to receive a wish can be referred by: Medical professionals (e.g. doctor, nurse, allied health professional, medical social worker) Potential wish recipient Family members with detailed knowledge of patient’s current condition",Please contact the organisation for more details.,Please contact the organisation for more details.,Ambulance Wish Singapore contact@ambulancewishsingapore.com Website,https://www.sgsocialsupport.com/resource/eCMs-2LCau5
Arts For Good Fellowship (Singapore International Foundation),"The Fellowship brings together individuals from diverse sectors, including artists, art administrators, and social sector professionals, on an exciting journey of change. Upon completion of the programme, Fellows join a global alumni network where they continue to connect, support and collaborate with one another.",https://www.sgsocialsupport.com/resource/bWbrVp-Dfhy,No Content Found,"Individuals including artists, art administrators, and social sector professionals,","Capacity Building Develop skills and knowledge to harness the power of arts and culture to create positive social change in the communities you work with. Multi-sectoral Exchanges Engage with leaders from diverse sectors, such as artists, arts administrators and social sector professionals. International Connections Join our international network to connect and explore collaborations with other Fellows.","Register your interest via the website ( https://www.sif.org.sg/Our-Work/Cultural-Exchange/Arts-for-Good-Fellowship ). For enquiries, please contact at artsforgood@sif.org.sg .",Singapore International Foundation Opening hours: 9am to 6pm (Monday to Friday) artsforgood@sif.org.sg Website,https://www.sgsocialsupport.com/resource/bWbrVp-Dfhy
ASEAN Youth Fellowship (Singapore International Foundation and National Youth Council),"The ASEAN Youth Fellowship (AYF) is a leadership development programme that aims to grow and connect emerging young leaders with a focus on public, private, people sector collaboration.",https://www.sgsocialsupport.com/resource/qNURQrJtQmU,No Content Found,Individuals,"The AYF aims to provide leadership development and build a strong network among up-and-coming leaders while exposing them to further opportunities in the region and enhancing social innovation in ASEAN. During the programme, participants have the opportunity to engage in dialogue with senior policy-makers and thought leaders, as well as participate in exclusive institutional visits and learning journeys to key facilities and organisations in Singapore and the region. Upon completion of the programme, ASEAN Youth Fellows are committed to: Forge stronger ties and closer partnerships among the Fellows Expand and strengthen the connectivity among the youth of ASEAN Enhance youth development Endeavour towards greater social impact","Register your interest via the webiste ( https://www.sif.org.sg/Our-Work/Cultural-Exchange/ASEAN-Youth-Fellowship ). For enquiries, please contact at ayf@nyc.sg .","Singapore International Foundation + − Leaflet | OneMap © contributors | Singapore Land Authority The Atrium@Orchard
 International Involvement Hub
 60A Orchard Road
 04-01 Tower 1 
S238890 ayf@nyc.sg Website",https://www.sgsocialsupport.com/resource/qNURQrJtQmU
Budding Greenies @ North West (North West CDC),"Budding Greenies @ North West was officially launched in 2020 and aims to support pre-school centres in creating a Green Learning corner to educate pre-schoolers on environmental conservation and good eco habits via story-telling and play activities.  
In 2021, North West CDC developed and published a home-based version of ‘Go Green with Betty the Butterfly’ activity book and a parent’s guidebook, ensuring that sustainability education continues at home and is unaffected by school closures due to Covid-19.
Preschools who are on board the programme will receive the following resources and financial support to ensure environmental education starts young to nurture a generation of eco-conscious students:  

Up to $800 funding per financial year
A Teacher’s Guide to creating Green Corners and activities within the preschools
‘Go Green with Betty the Butterfly’ activity book for lessons
Home-based activity book and parent’s guidebook",https://www.sgsocialsupport.com/resource/-44YUwWVZAE,No Content Found,"Preschools can apply for this programme on an annual basis. Applications open annually from 1 April, and approved projects must be completed by end March of the following year.",Please contact the organisation for more details.,Please contact the organisation for more details.,North West CDC 6248 5566 northwest_cdc@pa.gov.sg Website,https://www.sgsocialsupport.com/resource/-44YUwWVZAE
CORDY,"CORDY is an online platform that helps youths discover and develop their passions. They share a wide variety of events/resources, such as workshops, competitions and grants, to help youths gain meaningful experiences to explore their interests or to further their pursuits.",https://www.sgsocialsupport.com/resource/UtDH5scRB5d,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,CORDY Website,https://www.sgsocialsupport.com/resource/UtDH5scRB5d
Cruelty Welfare Investigations (SPCA),"SPCA Singapore receives an average of 80 to 90 reports of alleged cruelty to animals every month. As we do not have enforcement powers under the Animals &amp; Birds Act, serious cases that warrant further action are referred to the Animal &amp; Veterinary Service (AVS) or the police.We have a reward policy in place for cases of extreme abuse when there is a need to look for witnesses. The monetary reward for providing information was put in place in hopes of leading to the apprehension and prosecution of the perpetrator(s).If you witness any acts of abuse or require immediate assistance, please refer to the hotlines below: SPCA 24/7 hotline: 6287 5355 Ext. 9. AVS 24/7 hotline: 1800-476-1600 ACRES 24/7 hotline: 9783 7782 (for wildlife, birds, and terrapin rescues) Police 24/7 hotline: 999",https://www.sgsocialsupport.com/resource/GjYtht2gnGq,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Cruelty Welfare Investigations (SPCA) Website,https://www.sgsocialsupport.com/resource/GjYtht2gnGq
Email Counselling (Oogachaga),"The service is known as CARE email counselling and started in 2010. Like the Whatsapp counselling service, it is run by trained volunteers with supervision.The service is for those who prefer to express themselves in writing, and we aim to respond within 2 to 3 days of receiving your email.Please read the Disclaimer and Agreement before you proceed. By using this email counselling service, it means that you have read, understood and accepted every clause.All staff members and volunteers are expected to abide by the Oogachaga Code of Ethics.",https://www.sgsocialsupport.com/resource/AwSVMeSz2w-,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,https://oogachaga.com/email-counselling,"Oogachaga + − Leaflet | OneMap © contributors | Singapore Land Authority 57B Pagoda Street 
S059216 CARE@oogachaga.com Website",https://www.sgsocialsupport.com/resource/AwSVMeSz2w-
Green Spaces @ South West (South West CDC),"Growing an inclusive, caring and active community by transforming community gardens into green spaces in our district. These pockets of greenery dot the community and neighbourhood, helping to cool our environment, enhance our health and nurture an appreciation for nature among the young. Through this Green Spaces @ South West, we also hope to encourage our residents to adopt a clean and green lifestyle and to take responsibility for their living environment.
If you are keen to seek funding support for your green spaces, please see the following: 
A one-time seed funding: for gardening groups as follows:

$3,000 per GRO;
$1,000 per school or SSA;
$500 per NC;
$1,500 for Garden Expansion Fund (expansion projects must be at least half the plot size of the existing garden and/or 50% more plant species).

Garden Activity Grant: activity fund of $500 will be provided for Gardening Groups for the organisation of South West District tours and activities for the community for at least 30 pax for each session. Activities should be related to greening and gardening and benefit the community.
Therapeutic Horticulture Nodes @ South West: a grant of $250 will be provided to gardening groups under this programme to help in material costs for the therapeutic sessions catering to 10 - 15 pax. 
Adopt-A-Garden @ South West: corporations and organisations can adopt gardens by sponsoring a part of the community gardens’ expenses or donating furniture and tools. They can also volunteer and help out at the community gardens on a regular basis, deepening engagement with residents and fostering community bonds. The CDC will assist to do the matching of community gardens.",https://www.sgsocialsupport.com/resource/X2DM8FnPB7h,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,South West CDC 6316 1616 southwest_cdc@pa.gov.sg Website,https://www.sgsocialsupport.com/resource/X2DM8FnPB7h
Lakeside Integrated Service Provider Programmes,"Lakeside was appointed by the Ministry of Social and Family Development to run Integrated Service Provider (ISP) programmes. Through case management, counselling, and groupwork, youth offenders and youths-at-risk learn from their mistakes and gain awareness, knowledge, and life skills needed to avoid getting into similar risky situations in the future. Our programmes and services include:

Guidance Programme (GP) is a 6- to 12-month programme for youths who have committed minor offences or have low levels of involvement in offences. We help youths make the right choices to lead a crime-free lifestyle and recognise offenses as criminal acts. We teach youths prosocial ways of solving problems and conflicts, assist them in being meaningfully engaged with school or work, and support them in forming healthy relationships.
Streetwise Programme (SWP) is a 6-month programme for youths who associate with gangs. We help youths dissociate from gangs and improve their family relationships. We equip youths with life skills like emotional &amp; conflict management, and awareness of their actions. We also equip parents with parenting skills.
As part of Triage, we assist police in investigations by conducting interviews with young offenders. Our goal is to divert young offenders from the criminal justice system. We refer families with social or financial issues to community resources, and recommend appropriate intervention that addresses the needs of young offenders.
Enhanced Step-Up (ESU) is a 12-month programme for students at risk of dropping out and out-of-school youths. We help youths return to school or find employment.
We provide family intervention, career guidance, life skills training, and financial assistance referrals.
Post Care is our programme following up with youths who have completed ISP programmes. Our aim is to help them maintain the good progress they have made. We provide emotional support and advice for youths, introduce them to community activities and career guidance, and provide referrals to other agencies for counselling and vocational programmes.",https://www.sgsocialsupport.com/resource/JSjwFDsFU-D,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,"Contact:
Email: isp@lakeside.org.sg
Phone: 6567 1908","Lakeside Family Centre + − Leaflet | OneMap © contributors | Singapore Land Authority 516 Jurong West St 52, #01-73 
S640516 9.00am to 5.30pm (Monday to Friday) 6567 1908 isp@lakeside.org.sg Website",https://www.sgsocialsupport.com/resource/JSjwFDsFU-D
