Name;Description;Link;Full Content;Who can apply;What to expect;How to apply;Contact;Source URL
Animal-Assisted Interactions SG;Singapore s first social enterprise specialising in animal-assisted interactions and interventions. We seek meaningful and life-giving interactions between humans and animals  working and growing towards better  healthier communities  together.Our ServicesWe provide a range of animal-assisted programmes and services for different target populations. We also offer customisable programmes  designed in collaboration with your team  to meet your specific needs or the needs of your beneficiaries.Read with RaphaImproving the reading and communication skills of children through canine-assisted reading.learn moreTake a PawsManage anxiety and stress in workplaces  schools  universities and more.learn moreSunshine caninesBringing our canine teams to hospitals  senior day care centres  facilities  or nursing homes.learn moreKinderPawsTeaching children about dog bite prevention  how to be safe around unfamiliar dogs  and how to be kind and respectful towards animals and peoplelearn moreDogtors on Callbringing our caring canine dogtors to healthcare settings to improve the mental and emotional well-being of our healthcare workers  patients and caregiverslearn moreWooffice WellnessTake a break from the usual lunch talks and workshops and instead spend quality time with our wonderful canine friends. Our well-trained Caring Canines are here to provide comfort and joy  and participants can freely interact with them in various ways.Take a break from the usual lunch talks and workshops and instead spend quality time with our wonderful canine friends. Our well-trained Caring Canines are here to provide comfort and joy  and participants can freely interact with them in various ways.learn morePuppy Prep Course  With Puppy Colours Academy For aspiring Caring Canine Teams  This course is designed for pup owners looking to involve their puppy or adolescent dog in programmes by aaisg learn more;https   www.sgsocialsupport.com resource gKEk4xUcZQ9;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Animal-Assisted Interactions SG info@aai.sg Website;https   www.sgsocialsupport.com resource gKEk4xUcZQ9
Bizlink Cafe;BIZLINK CAFE Bizlink F amp B is a social enterprise of Bizlink Centre with a mission to serve good food with a great cause. Bizlink Centre and the Institute of Mental Health collaborated in this project with the aim of providing training and employment to the disadvantaged  especially persons recovering from mental health conditions. We seek to empower persons with disabilities and the disadvantaged in achieving independence  dignity and inclusion into the society through training and employment. Bizlink F amp B operates a caf  at the Institute of Mental Health  located at 10 Buangkok View  Buangkok Green Medical Park  Singapore 539747.;https   www.sgsocialsupport.com resource yf8533uMNrk;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Bizlink Cafe Bizlink F B operates a caf  at the Institute of Mental Health  located at 10 Buangkok View  Buangkok Monday - Friday 7am-4pm 
Saturday 7am-1pm 
Sat Cafe is not open. Only Kitchen for order processing or collections. 6449 5652 6249 8119 cafe@bizlink.org.sg Website";https   www.sgsocialsupport.com resource yf8533uMNrk
Bizlink Gifts; THESE ABLED PEOPLE  is Bizlink s brand of cards and gifts. Most of our cards and gifts are designed and crafted by talented disadvantaged individuals  in particular persons with disabilities  working in Bizlink Centre. Bizlink Centre is a non-profit organization dedicated to serving the disadvantaged individuals  in particular persons with disabilities  through training and employment in Singapore. Our craftsmen are taught craft skills so that they can make good quality handicrafts. The proceeds from the sales of these items go to pay the salaries of our craftsmen. nbsp  Support us at Bizlink Gifts. nbsp  Available online at www.gift.org.sg  online stores and in retail stores through Toy Outpost as well as at ad hoc charity bazaars.;https   www.sgsocialsupport.com resource LEFjJd-hyfQ;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Bizlink Gifts 6249 8143 giftenquiry@bizlink.org.sg Website;https   www.sgsocialsupport.com resource LEFjJd-hyfQ
Caring Fleet;We aim to provide specialised and dedicated accessible transportation for wheelchair-users and people who have limited mobility.;https   www.sgsocialsupport.com resource SybPq-nz56U;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"Caring Fleet     Leaflet   OneMap   contributors   Singapore Land Authority Blk 211  Hougang Street 21
 01-309  2nd level  
S530211 6281 8118 enquiry@caringfleet.com Website";https   www.sgsocialsupport.com resource SybPq-nz56U
EM Enterprises  YWCA ;WeavingAn extension of the YWCA Empowering Mums  EM  Programme  YWCA Weaving programme was set up to provide beneficiary women from disadvantaged backgrounds with an alternative source of flexible income.This was made possible with the generous support from Lee Foundation and UPS.In this programme  the women are first trained in the unique art of freeform weaving where they will pick up the skills and knowledge behind the art that they will impart onto others as they conduct the workshops. To date  the YWCA Weaving Programme has helped 11 beneficiary women find flexible employment opportunities in a safe and welcoming environment.All proceeds from these workshops go back to supporting our beneficiary mothers.NOMSNOMS is a social enterprise project that provides women from low-income families with flexible employment opportunities by hosting cooking classes that showcases Singapore s rich and diverse cuisine.The concept was novel and ripe for synergy  YWCA has a long heritage of cookery and homely recipes on hand and we have an industrial-standard kitchen at our premise. Further  the classes could be promoted to our guests at YWCA Fort Canning for a meaningful tourist experience.Guests will attend a cooking demonstration hosted by our beneficiary mums who will also share about the heritage of the dish and personal anecdotes of all dishes and ingredients. Next  guests will get to have a hand-on experience of trying to cook the dishes themselves  with tip and guidance from our hosts.Classes are typically hosted in small group settings and enquiries for private groups are welcomed.NOMS is currently available on Airbnb Experiences  available for booking here.;https   www.sgsocialsupport.com resource SSQLSR5g-tQ;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;;"Young Women s Christian Association     Leaflet   OneMap   contributors   Singapore Land Authority 254 Outram Road 
S169051 6223 1227 admin@ywca.org.sg Website";https   www.sgsocialsupport.com resource SSQLSR5g-tQ
JUMPING  SINGAPORE;JUMPING  SINGAPORE is a social enterprise initiative by New Hope Community Services  nbsp a registered charity that nbsp provides transitional shelters for homeless families and individuals in Singapore.JUMPING  SINGAPORE   a movement with a social causeAs a social enterprise  we sell trampolines  conduct jumping  classes and organize corporate events.;https   www.sgsocialsupport.com resource BYvRy2XqL5g;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;JUMPING  SINGAPORE 9773 5538 Website;https   www.sgsocialsupport.com resource BYvRy2XqL5g
Migrant x Me;"Migrant x Me is a registered non-profit that seeks to build an inclusive Singapore
Through experiential programmes and volunteer opportunities  we seek to raise awareness about the migrant worker community among youths. We hope that this would encourage Singapore s youths to treat everyone  especially migrant workers  with dignity and respect.";https   www.sgsocialsupport.com resource PmD8GtvevcV;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Migrant x Me hello@migrantxme.com Website;https   www.sgsocialsupport.com resource PmD8GtvevcV
MOSES  Singapore Anglican Community Services ;Started in 2006 at Anglican Care Centre  Simei   MOSES is a partnership by clients and staff of the centre. It was specifically started as a means for clients with mental health issues to showcase their innovative and original hand-made products and talents to the community. At the same time  MOSES provides employment for them  who often faced difficulty in gaining employment in the competitive job market.MOSES also operates a sheltered workshop where clients are trained and given contract jobs to improve their skills and employability. Profits from the products  sale are given to the respective clients in the form of an allowance for their labour.;https   www.sgsocialsupport.com resource KVyveMBbQeF;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;MOSES  Singapore Anglican Community Services  6812 0880 sales@sacs.org.sg Website;https   www.sgsocialsupport.com resource KVyveMBbQeF
Mother and Child Project  Singapore Anglican Community Services ;Mother and Child Project  MnCP  was established in 2005 at St. George s Place  a crisis shelter by Singapore Anglican Community Services  to help women in crisis gain vocational skills and employment.Today  MnCP continues to provide retail vocational training and home-based sewing work to disadvantaged women  single mothers and women recovering from mental health issues. Our mission is to help them become economically self-sufficient through innovative product creation  and gain competency in retail skills so that they can reintegrate into the community.Handmade with love  MnCP curates the best of unique  eco-friendly and customised gifts. We welcome sewing material donation such as textiles  fabric  ribbons etc  which helps MnCP in products creation.;https   www.sgsocialsupport.com resource sjqVgJgprmC;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;Mother and Child Project  Singapore Anglican Community Services  6812 0880 sales@sacs.org.sg Website;https   www.sgsocialsupport.com resource sjqVgJgprmC
MTFA Ihsan Casket  Muslim Trust Fund Association ;Every time you engage MTFA Ihsan Casket  you are providing FREE burial for another MuslimAs MTFA s first social enterprise  MTFA Ihsan Casket  IC  aims to offer funerary services to the public. Proceeds are used to subside the burial costs of unclaimed bodies and deceased members of low-income families.Muslim funeralsWe are a one-stop service provider for Muslim funerals  covering everything from ghusl to provision of transport.VIEW PRICING;https   www.sgsocialsupport.com resource zjtugp5MHDz;No Content Found;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.;"MTFA Ihsan Casket     Leaflet   OneMap   contributors   Singapore Land Authority 5 Mattar Road 
S387713 6747 7556 info@mtfa.org Website";https   www.sgsocialsupport.com resource zjtugp5MHDz
