Name,Description,Link,Full Content,Who can apply,What to expect,How to apply,Contact,Source URL
Acute Leukaemia Warriors Support Group (NCIS),"Established in 2015, the Acute Leukaemia Warriors Support Group is organised by a multi-disciplinary team at the NCIS. It comprises of young adult patients and survivors who have been afflicted by Acute Leukaemia. Caregivers are also welcome to join.
Our Mission
Being diagnosed with Acute Leukaemia may be difficult to accept for anyone, particularly so for young adults who are at the prime of their life – excelling at their studies, climbing the corporate ladder or developing relationships. Not only do they have to battle their diagnosis and treatment, they also have to manage their emotions and physical changes, as well as cope with changes to their lifestyle.
The Acute Leukaemia Warriors Support Group hopes to encourage young adults to overcome their battle with the disease and triumph as confident individuals with a strong passion for life and a heart to support fellow young adult Acute Leukaemia patients, so that the battle can be won together.",https://www.sgsocialsupport.com/resource/99WQDsWUVEd,No Content Found,Please contact the organisation for more details.,Patient sharing sessions in both large and small groups Visitations by fellow patients Big group gatherings to share and have a time of food and fun Pairing of patients with similar situations for in-depth and continued support,Please contact the organisation for more details.,Acute Leukaemia Warriors Support Group (NCIS) ncis_survivorship@nuhs.edu.sg Website,https://www.sgsocialsupport.com/resource/99WQDsWUVEd
ADHD/ASD Warriors Singapore,"A platform for parents of kids with ADHD, ASD, ODD and related needs to share information and resources. A community for strengthening and restoring dignity, self-confidence in our children. This group is set up especially to help fellow mothers who may or may not have the means to seek professional help all the time. Knowing how expensive it is to live in Singapore with a child with special needs. We are here to support each other and create a more positive environment because mothers struggling together, grow together.",https://www.sgsocialsupport.com/resource/4-L8yLutDqn,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,ADHD/ASD Warriors Singapore Website,https://www.sgsocialsupport.com/resource/4-L8yLutDqn
Adolescents and Young Adults Oncology (AYAO) Support Group (NCCS),This group brings together young patients who share similar experiences and provides opportunities for them to connect with one another.,https://www.sgsocialsupport.com/resource/eNdDbPBMQpX,No Content Found,Young patients 45 years of age and below.,Please contact the organisation for more details.,Please contact the organisation for more details.,Adolescents and Young Adults Oncology (AYAO) Support Group (NCCS) Website,https://www.sgsocialsupport.com/resource/eNdDbPBMQpX
Al-Anon Family Groups,"Al‑Anon is a mutual support program for people whose lives have been affected by someone else’s drinking. 
By sharing their experience, strength, and hope, and applying the principles of Al-Anon, families and friends of alcoholics can bring positive changes to their own lives. 
Participation in Al-Anon does not require the alcoholic to admit the existence of a drinking problem or to be seeking help themselves.",https://www.sgsocialsupport.com/resource/fwF-JSN2zcu,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Al-Anon Family Groups 9774 2539 info@alanonsingapore.org Website,https://www.sgsocialsupport.com/resource/fwF-JSN2zcu
Alcoholics Anonymous (AA),"Alcoholics Anonymous is a fellowship of men and women who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism. The only requirement for membership is a desire to stop drinking. There are no dues or fees for A.A. membership; we are self-supporting through our own contributions. A.A. is not allied with any sect, denomination, politics, organization or institution; does not wish to engage in any controversy; neither endorses nor opposes any causes. Our primary purpose is to stay sober and help other alcoholics to achieve sobriety.",https://www.sgsocialsupport.com/resource/RyF37cprPHN,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Alcoholics Anonymous (AA) 8112 8089 help@singaporeaa.org Website,https://www.sgsocialsupport.com/resource/RyF37cprPHN
Amputee Support Group (TTSH/THK),"This is the Amputee Support Group (ASG) run by Ang Mo Kio-Thye Hua Kwan Hospital and Tan Tock Seng Hospital Rehabilitation Centre.
In this group, we support each other as amputees and organise activities and outings on a monthly basis on the last friday or saturday of the month (usually starting from 10am to 1pm)
Objectives of the ASG:
1) To provide a platform for the persons with amputations (PWAs) to share issues and challenges faced in life after amputation.
2) To allow professionals to effectively share knowledge and information useful for management of condition.
3) To establish and maintain a social support network for the PWAs in order to address their psycho-social needs and minimise the risk of social isolation.",https://www.sgsocialsupport.com/resource/hptzPfcVW5q,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Amputee Support Group (TTSH/THK) Website,https://www.sgsocialsupport.com/resource/hptzPfcVW5q
"ASD, ADHD and ADD Supports Group Singapore",This group is created to support all the parents with ASD or ADHD or ADD kids in Singapore. This will be a platform for sharing any informations or support in order to help parents and the kids to have easier and happier life.,https://www.sgsocialsupport.com/resource/58-4LJsFSdz,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"ASD, ADHD and ADD Supports Group Singapore Website",https://www.sgsocialsupport.com/resource/58-4LJsFSdz
Asthma Club (KKH - for children),"For asthmatic children and their parents, the club helps them learn about:
Bronchial asthma
How to manage the condition
How they can lead a normal and active life
The club organises activities every three months, usually during the school holidays.
Some of the programmes include educational seminars for parents and older children, and indoor and outdoor activities supervised by our medical professionals.",https://www.sgsocialsupport.com/resource/RVW3u8Vmt6U,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Asthma Club (KKH - for children) 6394 3016 Website,https://www.sgsocialsupport.com/resource/RVW3u8Vmt6U
Autoimmune Diseases Singapore,"Autoimmune Diseases Singapore shares information about autoimmune diseases relevant to Singapore and the Asian region. Our sharing are only for informational purposes and should not be construed as medical advice. Please always consult your doctor for medical advice.
We run an informal support group for Singaporeans and those living in Singapore diagnosed with autoimmune diseases. The group was first set up in Meetup in 2013, and a closed Facebook group was set up in 2015 to facilitate online sharing of our knowledge and experiences living with autoimmune diseases.",https://www.sgsocialsupport.com/resource/4fBrQq5snKd,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Autoimmune Diseases Singapore autoimmunediseasessg@gmail.com Website,https://www.sgsocialsupport.com/resource/4fBrQq5snKd
Bariatric Surgery Support Group (SGH),"Having problems with your weight? Tried dieting &amp; exercises and they do not work? Together with healthy eating, lifestyle changes and bariatric surgery, they can IMPROVE your problems. It is also an ADDITIONAL TREATMENT for metabolic diseases related to obesity. Want to know more about bariatric surgery? JOIN US at our support group sessions!",https://www.sgsocialsupport.com/resource/JQ6kcCUVtWh,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Bariatric Surgery Support Group (SGH) 6222 3322 sgh.lifeobesity@sgh.com.sg Website,https://www.sgsocialsupport.com/resource/JQ6kcCUVtWh
Bishana Ladies Group (SCS),"Bishana was formed specifically for female survivors as well as women who have been diagnosed with any type of cancer and are receiving treatment. Members meet monthly for a variety of programmes which include educational talks/ workshops, social and recreational activities, outings, and enrichment programmes.
This support group provides a platform for these women to share their experiences and to exchange information with one another. Newly diagnosed patients are encouraged to attend and interact with other survivors in the group to learn how to cope with changes in their lifestyles as well as to receive psychological and emotional support.",https://www.sgsocialsupport.com/resource/PkRadMc9VNY,No Content Found,Open to all female cancer patients and survivors,Please contact the organisation for more details.,Please contact the organisation for more details.,Bishana Ladies Group 1800 727 3333 supportgroup@singaporecancersociety.org.sg Website,https://www.sgsocialsupport.com/resource/PkRadMc9VNY
Bone Marrow Transplant Support Group (SGH),"The group was first initiated by a few nurses assisting in the Post-BMT clinic at the Haematology Centre. There was a high level of stress, fear, anxiety, anger and depression noted in post-BMT patients, especially during the first three months following therapy. The need to come back for repeated therapy also often disrupted the patient's personal life and functional abilities.",https://www.sgsocialsupport.com/resource/8Xxb8xZsFHt,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Bone Marrow Transplant Support Group (SGH) 6321 4722 Website,https://www.sgsocialsupport.com/resource/8Xxb8xZsFHt
Brain Tumour Society,"We are a community of brain tumour patients, caregivers and friends who come together from all walks of life and many different circumstances to support and help each other in our journeys so that no one with a brain tumour would walk alone.
Established in March 2014, BTSS was accorded Institution of Public Character(IPC) status by the Ministry of Health on 8 June 2022.",https://www.sgsocialsupport.com/resource/YjZSXWqQzuN,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Brain Tumour Society enquiry@braintumoursociety.org.sg Website,https://www.sgsocialsupport.com/resource/YjZSXWqQzuN
Brain Tumour Society Singapore Support Group,"We know that those who have been affected by a brain tumour are often the best source of support and information for others in similar situations. At our monthly BTSS Support Group meetings, we welcome new friends to share experiences and knowledge, ask question or simply chat with others who have been affected; and gain strength from being part of our community.
When do we meet?

Every second Saturday of the month 10.30 a.m. to 11.30 a.m.
We are open to meet new friends outside scheduled meetings when required",https://www.sgsocialsupport.com/resource/-Z8R4f4pw7J,No Content Found,Please contact the organisation for more details.,"Welcome and Introduction of BTSS and new members
Bonding Activities
Education (Sharing, Training, or Talks)",Who may attend? brain tumour patients survivors caregivers family members healthcare professionals or anyone with a passion for help the Brain Tumour community in Singapore.,"Brain Tumour Society Singapore + − Leaflet | OneMap © contributors | Singapore Land Authority Trio Building, Level 2 Drama Room, 11 Sam Leong Road 
S207903 Website",https://www.sgsocialsupport.com/resource/-Z8R4f4pw7J
Breast Cancer Support Group (BCF),"Each month, Breast Cancer Foundation of Singapore conducts support groups meetings that include sharing sessions, discussions on relevant subjects (e.g. exercise and nutrition, surgery and treatment journey).
Our support groups are exclusive for survivors and caregivers only.

English-Speaking Support Group (includes Malay, Indian &amp; Expats)
Mandarin-Speaking Support Group
Caregivers-Support Group (integrated with Men’s Support League)
Advanced &amp; Metastatic Breast Cancer Support Group
Young Women’s Support Group

Sessions are held on every 2nd Saturday of the month: 10am – 12pm",https://www.sgsocialsupport.com/resource/CA8wcKEvEWw,No Content Found,Support groups are exclusive for survivors and caregivers only.,Please contact the organisation for more details.,Please contact the organisation for more details.,Breast Cancer Foundation 6356 0123 membership@bcf.org.sg Website,https://www.sgsocialsupport.com/resource/CA8wcKEvEWw
Breast Cancer Support Group (NCCS),This group aims to address some of the common concerns and issues experienced by breast cancer patients,https://www.sgsocialsupport.com/resource/82DCK85N4Dc,No Content Found,Patients diagnosed with breast cancer.,Please contact the organisation for more details.,Please contact the organisation for more details.,Breast Cancer Support Group (NCCS) Website,https://www.sgsocialsupport.com/resource/82DCK85N4Dc
