Name;Description;Amount;Purpose;Eligibility;Category
Brain Tumour Society Singapore Wellness Grant;The BTSS Wellness Fund aims to enhance the well-being of members through various programs such as rehabilitation, swimming, badminton, sewing, barista skills, memory improvement, speed reading, musical instrument playing, composing music, singing, psychotherapy, counselling, social skills training, emotional quotient (EQ) training, and home nursing services.;$600;To support brain tumour patients in enhancing their overall well-being through a range of physical, mental, creative, psychological, and social programs.;Available to all members of the Brain Tumour Society Singapore who are Singaporeans or Singapore Permanent Residents.;Grants
Compassion Fund;Compassion Fund is a crisis response fund that supports students from low-income families facing a recent death, illness, or accident of a family member, resulting in a loss of income. The fund provides short-term financial assistance to offer respite to families during their time of need.;Amount varies;To provide financial assistance to families in crisis, particularly those experiencing loss of income due to a family member's death, illness, or accident.;The fund is geared towards granting short-term assistance, typically between 3 to 12 months. For longer-term assistance, Compassion Fund works with the referring agency/school and family to develop holistic and systemic support.;Financial
Chan Chiew Ping Fund (Trailblazer Foundation);Provides various support services.;Upon request;To provide financial support.;Open to those in need.;Grants
ACES Care Limited;Provides a range of services for the community including healthcare and social services.;Upon request;To provide support and services.;Open to those in need.;Misc
Aidha;Offers financial education and empowerment programs for women.;Upon request;To provide support and services.;Open to those in need.;Employment
Alife Ltd;Supports families through various counseling and social services.;Upon request;To provide support and services.;Open to those in need.;Family Service
Alive Community Network;Provides financial assistance and social services to needy individuals.;Amount varies;To provide support and services.;Open to those in need.;Financial
All Saints Home;Offers residential care and medical services for the elderly.;Upon request;To provide support and services.;Open to those in need.;Elderly
Apex Harmony Lodge;Provides specialized care for individuals with dementia.;Upon request;To provide support and services.;Open to those in need.;Elderly
Association for Persons with Special Needs;Supports individuals with special needs through education and training.;Upon request;To provide support and services.;Open to those in need.;Minorities
Assumption Pathway School;Offers alternative education pathways for students.;Upon request;To provide support and services.;Open to those in need.;Education
Babes Pregnancy Crisis Support Ltd;Provides support for pregnant teenagers in crisis.;Upon request;To provide support and services.;Open to those in need.;Helplines
Bethel Community Services;Offers financial aid and social services to families in need.;Amount varies;To provide support and services.;Open to those in need.;Financial
Beyond Social Services;Supports disadvantaged families through social work and community programs.;Upon request;To provide support and services.;Open to those in need.;Family Service
Boys' Town;Provides residential care, education, and therapy for boys.;Upon request;To provide support and services.;Open to those in need.;Children
Bright Hill Evergreen Home;Offers residential care for the elderly.;Upon request;To provide support and services.;Open to those in need.;Elderly
Care Corner Singapore Ltd;Provides counseling and support services for families.;Upon request;To provide support and services.;Open to those in need.;Helplines
Caregivers Alliance Limited;Supports caregivers of individuals with mental health issues.;Upon request;To provide support and services.;Open to those in need.;Support Group
Centre for Fathering Ltd;Promotes active fatherhood through programs and workshops.;Upon request;To provide support and services.;Open to those in need.;Family Service
Club HEAL;Provides mental health support and rehabilitation services.;Upon request;To provide support and services.;Open to those in need.;Mental Health
Daughters Of Tomorrow Ltd;Empowers underprivileged women through employment support.;Upon request;To provide support and services.;Open to those in need.;Employment
Down Syndrome Association (Singapore);Supports individuals with Down Syndrome and their families.;Upon request;To provide support and services.;Open to those in need.;Minorities
Dover Park Hospice;Provides palliative care for the terminally ill.;Upon request;To provide support and services.;Open to those in need.;Physical Health
Eden School;Offers special education for children with autism.;Upon request;To provide support and services.;Open to those in need.;Education
Emmanuel House;Provides shelter and support for the homeless.;Upon request;To provide support and services.;Open to those in need.;Shelter
FaithActs;Offers a range of community services including youth programs and family support.;Upon request;To provide support and services.;Open to those in need.;Family Service
Fei Yue Community Services;Provides social services for families, elderly, and youth.;Upon request;To provide support and services.;Open to those in need.;Family Service
Food from the Heart;Distributes food to needy families and individuals.;Upon request;To provide support and services.;Open to those in need.;Food
Focus on the Family Singapore Limited;Promotes strong family values through educational programs.;Upon request;To provide support and services.;Open to those in need.;Family Service
Habitat for Humanity Singapore Ltd.;Builds and repairs homes for underprivileged families.;Upon request;To provide support and services.;Open to those in need.;Shelter
Handicaps Welfare Association;Supports individuals with disabilities through various services.;Upon request;To provide support and services.;Open to those in need.;Minorities
HCA Hospice Care;Provides hospice care and support for patients and their families.;Upon request;To provide support and services.;Open to those in need.;Physical Health
Home Nursing Foundation;Offers home nursing and healthcare services.;Upon request;To provide support and services.;Open to those in need.;Elderly
I Love Children;Promotes the joys of parenthood and supports families.;Upon request;To provide support and services.;Open to those in need.;Children
Institute of Mental Health;Provides mental health services and support.;Upon request;To provide support and services.;Open to those in need.;Mental Health
Kampung Senang Charity and Education Foundation;Offers holistic care and education programs.;Upon request;To provide support and services.;Open to those in need.;Minorities
KDF Kidney Dialysis Foundation;Provides dialysis treatment and support for kidney patients.;Upon request;To provide support and services.;Open to those in need.;Physical Health
Life Community Services Society;Supports disadvantaged children and families through various programs.;Upon request;To provide support and services.;Open to those in need.;Family Service
Lions Befrienders Service Association (Singapore);Provides befriending and care services for the elderly.;Upon request;To provide support and services.;Open to those in need.;Elderly
Metta Welfare Association;Offers healthcare and social services for various groups.;Upon request;To provide support and services.;Open to those in need.;Physical Health
MINDSET Care Limited;Provides mental health support and advocacy.;Upon request;To provide support and services.;Open to those in need.;Mental Health
Movement for the Intellectually Disabled of Singapore (MINDS);Supports individuals with intellectual disabilities.;Upon request;To provide support and services.;Open to those in need.;Minorities
Muscular Dystrophy Association (Singapore);Supports individuals with muscular dystrophy and their families.;Upon request;To provide support and services.;Open to those in need.;Physical Health
New Hope Community Services;Provides shelter and support services for the homeless.;Upon request;To provide support and services.;Open to those in need.;Shelter
NGO;Provides various unspecified community services.;Upon request;To provide support and services.;Open to those in need.;Misc
Nurture Education Group;Offers early childhood education programs.;Upon request;To provide support and services.;Open to those in need.;Education
NurtureStars Preschool;Provides preschool education with a focus on holistic development.;Upon request;To provide support and services.;Open to those in need.;Education
O'Joy Care Services;Offers healthcare and social services for the elderly.;Upon request;To provide support and services.;Open to those in need.;Elderly
Persatuan Pemudi Islam Singapura (PPIS);Supports women and families through various programs.;Upon request;To provide support and services.;Open to those in need.;Family Service
Pertapis Education and Welfare Centre;Provides educational and social services for needy families.;Upon request;To provide support and services.;Open to those in need.;Family Service
Rainbow Centre;Offers special education for children with disabilities.;Upon request;To provide support and services.;Open to those in need.;Education
Ramakrishna Mission;Provides social services and support for families and individuals.;Upon request;To provide support and services.;Open to those in need.;Family Service
