Name;Description;Amount;Purpose;Eligibility;Category
Brain Tumour Society Singapore Wellness Grant;The BTSS Wellness Fund aims to enhance the well-being of members through various programs such as rehabilitation, swimming, badminton, sewing, barista skills, memory improvement, speed reading, musical instrument playing, composing music, singing, psychotherapy, counselling, social skills training, emotional quotient (EQ) training, and home nursing services.;$600;To support brain tumour patients in enhancing their overall well-being through a range of physical, mental, creative, psychological, and social programs.;Available to all members of the Brain Tumour Society Singapore who are Singaporeans or Singapore Permanent Residents.;Grants
Compassion Fund;Compassion Fund is a crisis response fund that supports students from low-income families facing a recent death, illness, or accident of a family member, resulting in a loss of income. The fund provides short-term financial assistance to offer respite to families during their time of need.;Amount varies;To provide financial assistance to families in crisis, particularly those experiencing loss of income due to a family member's death, illness, or accident.;The fund is geared towards granting short-term assistance, typically between 3 to 12 months. For longer-term assistance, Compassion Fund works with the referring agency/school and family to develop holistic and systemic support.;Financial
EQUAL;EQUAL partners with animals to provide experiential and educational programmes that help empower vulnerable persons such as children, youths, persons with special needs, families, and seniors by enhancing their social and emotional well-being and supporting social integration in a safe environment — building resilience and inclusive communities.;No specific amount;Animal-Assisted Learning (AAL) is an experiential programme facilitated by instructors partnering animals, where participants develop vital social-emotional and relationship skills in a safe and supportive environment.;Clients from various institutions, including schools, children's homes, nursing homes, and other social service organisations.;Family Service
Extra•Ordinary People;Established in July 2017, Extra•Ordinary People is a Singapore-registered charity and Institution of Public Character (IPC) which holistically supports persons with special needs while striving for an inclusive society through family-centred and community-supported initiatives.;No specific amount;To support persons with special needs and promote inclusivity.;Persons with special needs;Family Service
Milk Powder & Diapers Assistance (BCare);We support low-income families by ensuring that their young children aged 0 to 4 receive the required nutrition and care for their growing years. Our service includes provision of milk powder and diapers (up to 6 months), monthly home visits, and equipping parents with parenting skills and knowledge.;No specific amount;To support low-income families with young children by providing essential nutrition and care.;Residents staying in Hougang or Sengkang or Punggol, families with children aged 0 to 4, household income < $3,000 monthly or per capita income < $1,000 monthly;Children's Services
DREAMS;A first-of-its-kind secular, co-ed weekday residential model that provides after-school academic and holistic support, =DREAMS aspires to create a child-centric system of care that empowers children from low-income households to aspire towards their dreams and break out of poverty.;No specific amount;To empower children from low-income households to aspire towards their dreams and break out of poverty.;Children residing in HDB Rental Flats, Singapore Citizens or Permanent Residents;Children's Services
Viriya Elderly Medical Programme;The Viriya Elderly Medical Programme (VEMP) provides financial support to seniors with various medical conditions. Aside from covering their daily expenses, VEMP also provides subsidies to cover other expenses such as transport, TCM treatment, and other consumables.;$100 per month;To provide financial assistance to seniors with medical conditions.;Seniors aged 65 and above, suffering from chronic illnesses, undergoing treatment, with a gross monthly family per capita income of $690 or less;Elderly Services
Viriya Gap Fund;Viriya GAP Fund is set up by Viriya Community Services to help fill service gaps in meeting the needs of individuals and families under their care. The fund focuses on meeting basic needs and supporting educational needs and key development opportunities for disadvantaged individuals.;No specific amount;To fill service gaps and meet basic needs of individuals and families.;Singapore Citizens or PRs, gross per capita monthly household income of $650 and below;Financial Services
Blossom Kaki (Senior Volunteerism) Programme (Blossom Seeds);Blossom Kaki Programme is supported by C3A to recruit and engage seniors to be volunteers and empower them to serve needy seniors. The program aims to develop a sense of purpose, promote community participation, and foster social harmony.;No specific amount;To empower seniors to volunteer and support needy seniors.;Seniors interested in volunteering;Volunteering Opportunities
Bless A BTSS Beneficiary (Brain Tumour Society Singapore);Beneficiaries make a wish-list of activities they would like to do, such as visiting places of interest, organizing a birthday party, or doing spring-cleaning. Volunteers fulfill these wishes, fostering bonding and support.;No specific amount;To connect individuals within the BTSS family, promote bonding, and provide personalized moral and resource support.;Open to all BTSS beneficiaries;Volunteering Opportunities
Animal-Assisted Interactions SG;Singapore’s first social enterprise specializing in animal-assisted interactions and interventions. They provide a range of programs to improve reading, manage anxiety, and bring joy to various settings.;No specific amount;To foster meaningful interactions between humans and animals, promoting well-being.;General public;Social Enterprises
Bizlink Cafe;Bizlink F&B is a social enterprise aimed at providing training and employment to disadvantaged individuals, especially those recovering from mental health conditions. They operate a café at the Institute of Mental Health.;No specific amount;To empower persons with disabilities and the disadvantaged through training and employment.;Persons recovering from mental health conditions;Social Enterprises
Brain Tumour Society Singapore Tuition Grant;The BTSS Tuition Grant aims to help school-going members cope with academic work. The value of this grant is $3300 for one year. Members are assessed based on the financial situation of the family.;$3300 per year;To support school-going members with their academic work.;BTSS members;Grants
Brain Tumour Society Singapore Welfare Grant;A BTSS Welfare Grant provides temporary financial assistance for member adults, young people or children with brain tumours, covering practical needs such as travel to appointments, care, or retraining.;$2800 per annum;To ease hardship caused by additional costs due to a brain tumour.;BTSS members who are Singaporeans or PRs;Grants
Special Needs Trust Company (SNTC);Supported by MSF, SNTC provides affordable trust services for persons with disabilities. Parents can nominate their child with special needs to receive a regular stream of fixed payouts from their CPF savings upon their demise.;No specific amount;To provide financial security for persons with special needs.;Parents or legal guardians of persons with special needs;Financial Services
Singapore Anti Narcotics Association;SANA assists people in recovery from drug addiction, helping them rise above drug abuse and negativity to a meaningful life. They offer counselling, support groups, financial assistance, and job assistance.;No specific amount;To support individuals in recovery from drug addiction.;Individuals in recovery from drug addiction;Miscellaneous
Skills Development for Migrants (ACMI);ACMI provides vocational and language courses for migrants living in Singapore to improve and expand their skillsets holistically.;No specific amount;To enhance skillsets of migrants through vocational and language courses.;Migrants living in Singapore;Miscellaneous
IMDA DigitalAccess@Home;DigitalAccess@Home provides subsidized broadband and laptops/tablets to lower-income households to support their lifestyle needs.;Subsidized broadband and devices;To support digital access for lower-income households.;Low-income households living in HDB flats with at least one Singapore Citizen;Financial Services
Interim Support Scheme (City Harvest Community Services Association);Provides interim financial assistance and referral support while families and individuals seek assistance from public assistance schemes. Assistance is capped at $200 per beneficiary per disbursement up to 3 months.;Up to $200 per disbursement;To support families and individuals in crisis awaiting public assistance.;Social workers can apply on behalf of clients;Financial Services
Accessibility Fund (Building and Construction Authority);Provides grants to building owners for upgrading their existing buildings with essential accessibility and Universal Design features.;Up to 80% of construction costs;To promote an accessible and inclusive built environment.;Private buildings built before 1990 or 2013 that lack basic accessibility features;Grants
