Content,Source URL
"Catergory: WORK & LEARNING Critical Core Skills (CCS) Provides information on the essential skills across 3 skills clusters for employability and career development. SCHEME HIGHLIGHTS Includes 16 competencies across 3 skill clusters Supports employability by aiding in the acquisition of technical skills and competencies SkillsFuture Singapore (SSG) has appointed 13 Approved Training Organisations (ATOs) to deliver CCS-aligned modular training programmes Expand all sections What are the benefits? Enhances employability and career development through 16 competencies across 3 skill clusters: Thinking Critically, Interacting with Others, and Staying Relevant Supports career mobility by providing strategies, direction, and motivation for ongoing technical skill development Who is eligible? How to apply? Where can I find help? Scheme last updated 21 May 2024  Last updated 19 May 2024, 5:03:26 pm.",https://supportgowhere.life.gov.sg/schemes/CRICORESK/critical-core-skills-ccs
"Catergory: WORK & LEARNING Education and Career Guidance (ECG) Support students or adults in early or mid-career phase in making informed education and career decisions at various life stages. SCHEME HIGHLIGHTS ECG Counselling available in secondary schools, junior colleges, Millennia Institute, and post-secondary education institutions MySkillsFuture portal offers self-assessment tools and resources for students and adults SkillsFuture Skills and Training Advisory Services provide guidance to identify skills and training needs Expand all sections What are the benefits? Guidance to develop strengths, interests, and abilities for meaningful contributions to society Tools to explore various education and career pathways for continuous learning and advancement Who is eligible? How to apply? Where can I find help? Scheme last updated 21 May 2024  Last updated 19 May 2024, 5:03:26 pm.",https://supportgowhere.life.gov.sg/schemes/ECG/education-career-guidance-ecg
"Catergory: WORK & LEARNING Jobs-Skills Integrators Targeted at companies building industry-relevant skills and individuals seeking relevant jobs and skills matches. SCHEME HIGHLIGHTS Pilot for Jobs-Skills Integrator in Precision Engineering, Retail, and Wholesale Trade sectors Employers gain access to training courses and skilled jobseekers Individuals receive careers advisory and job matching services Expand all sections What are the benefits? For Individuals: Training courses with integrated career services that can equip you with in-demand skills to help you transit into or within the sector Sector-specific career advisory services and job matching support, including opportunities that will enhance your career prospects Careers advisory for employees to explore development opportunities within the company or sector A central point of contact for referrals to training and job matching services For Employers: Tailored training courses to meet the specific skills needs of your workforce Access to job seekers with the necessary skills ready to start careers in targeted sector Who is eligible? How to apply? Where can I find help? Scheme last updated 21 May 2024  Last updated 19 May 2024, 5:03:26 pm.",https://supportgowhere.life.gov.sg/schemes/JOBSKLINT/jobs-skills-integrators
"Catergory: WORK & LEARNING Singapore Workforce Skills Qualifications A national credential system that trains, develops, assesses and certifies skills and competencies for the workforce. SCHEME HIGHLIGHTS WSQ is a national credential system for skills and competencies certification No academic prerequisites required for entry, recognises prior work experience and credentials Expand all sections What are the benefits? Acquire job role-specific skills and competencies through competency-based training Gain portable credentials to improve employability and mobility Access to bite-sized modules leading to Statements of Attainment and full WSQ qualifications Quality assured qualifications awarded by SkillsFuture Singapore or in partnership with established awarding bodies Who is eligible? How to apply? Where can I find help? Scheme last updated 21 May 2024  Last updated 19 May 2024, 5:03:26 pm.",https://supportgowhere.life.gov.sg/schemes/SGWSQ/singapore-workforce-skills-qualifications
"Catergory: WORK & LEARNING SkillsFuture Fellowships Awards a $10,000 monetary award to support skills mastery for eligible Singapore Citizens. SCHEME HIGHLIGHTS Receive $10,000 to continue your learning journey Open to Singapore Citizens with at least 10 years of working experience in the same (or related) industry or job function Expand all sections What are the benefits? Monetary award of $10,000 for skills mastery and lifelong learning National recognition by the President of the Republic of Singapore Opportunities to inspire and mentor future talent Who is eligible? How to apply? Where can I find help? Scheme last updated 21 May 2024  Last updated 19 May 2024, 5:03:26 pm.",https://supportgowhere.life.gov.sg/schemes/SFFELLOW/skillsfuture-fellowships
"Catergory: WORK & LEARNING SkillsFuture for Digital Workplace Equips Singapore Citizen adults with essential digital skills for the evolving digital economy. SCHEME HIGHLIGHTS Develop a deep understanding of critical digital competencies for the evolving economy Safely navigate technology-rich environments with cybersecurity awareness Master various digital tools, including nationally recognized platforms, for strategic data utilization Expand all sections What are the benefits? Navigate technology-rich environments with awareness of cybersecurity risks, ensuring secure work practices Acquire proficiency in diverse digital applications and tools, including nationally recognized platforms, while understanding the strategic use of data and information Gain insights into essential jobs and digital skills needed in today's and tomorrow's digital economy Who is eligible? How to apply? Where can I find help? Scheme last updated 21 May 2024  Last updated 19 May 2024, 5:03:26 pm.",https://supportgowhere.life.gov.sg/schemes/SFDWP/skillsfuture-digital-workplace
"Catergory: WORK & LEARNING SkillsFuture Leadership Development Initiative Provides leadership development opportunities for eligible Singapore Citizens to become future business leaders. SCHEME HIGHLIGHTS Develop critical leadership competencies through sectoral leadership programmes Join the SG Leaders Network to connect with other leaders Expand all sections What are the benefits? Gain critical leadership competencies and experiences through corporate leadership programmes Who is eligible? How to apply? Where can I find help? Scheme last updated 21 May 2024  Last updated 19 May 2024, 5:03:26 pm.",https://supportgowhere.life.gov.sg/schemes/SFLEADDEV/skillsfuture-leadership-development-initiative
"Catergory: WORK & LEARNING SkillsFuture Mid-Career Enhanced Subsidy Provides up to 90% subsidy on course fees for Singapore Citizens aged 40 and above. SCHEME HIGHLIGHTS Up to 90% subsidy on course fees for Singapore Citizens aged 40 and above At least 90% subsidy on programme costs for MOE-subsidised courses at institutions like Autonomous Universities, Polytechnics, and ITE Expand all sections What are the benefits? Up to 90% subsidy on course fees for courses offered by SkillsFuture Singapore (SSG)-appointed Continuing Education and Training (CET) Centres At least 90% subsidy on programme costs for Ministry of Education (MOE)-subsidised full-time and part-time courses at institutions like Autonomous Universities, Polytechnics, and the Institute of Technical Education For certifiable-skills training courses, up to 70% subsidy on course fees Who is eligible? How to apply? Where can I find help?  Scheme last updated 21 May 2024  Last updated 19 May 2024, 5:03:26 pm.",https://supportgowhere.life.gov.sg/schemes/SFMCES/skillsfuture-mid-career-enhanced-subsidy
"Catergory: WORK & LEARNING SkillsFuture Series Provides short, industry-relevant training for in-demand skills in Care, Digital, Green, and Industry 4.0 sectors. SCHEME HIGHLIGHTS Offers short, industry-relevant training programmes Focus on emerging skills in Care, Digital, Green, and Industry 4.0 sectors Training across Basic, Intermediate, and Advanced levels for different proficiencies Expand all sections What are the benefits? Training across Basic, Intermediate, and Advanced levels to match different skill proficiencies Acquire foundational or advanced skills to boost career prospects and enhance employability Who is eligible? How to apply? Where can I find help? Scheme last updated 21 May 2024  Last updated 19 May 2024, 5:03:26 pm.",https://supportgowhere.life.gov.sg/schemes/SFSERIES/skillsfuture-series
"Catergory: WORK & LEARNING SkillsFuture Work-Study Certificate Provides industry-relevant skills and knowledge related to discipline of study through a work-study arrangement for individuals. SCHEME HIGHLIGHTS Receive a sign-on incentive of S$5,000 Acquire relevant work experience and skills valued by the industry Potential for skills-based wage increments and career advancement upon completion Expand all sections What are the benefits? Full-time employment with a competitive starting salary Industry-recognised certificate upon completion Sign-on incentive of S$5,000 Potential for skills-based wage increments and career advancement based on performance Who is eligible? How to apply? Where can I find help? Scheme last updated 21 May 2024  Last updated 19 May 2024, 5:03:26 pm.",https://supportgowhere.life.gov.sg/schemes/SFWKSTCERT/skillsfuture-work-study-certificate
